Date,Open,High,Low,Close,Volume
2004-05-03,69.59,71.31,69.56,70.86,0
2004-05-04,71.06,72.21,70.65,71.34,0
2004-05-05,71.34,72.1,71.25,71.7,0
2004-05-06,71.69,71.69,69.65,70.34,0
2004-05-07,70.34,71.39,69.25,69.25,0
2004-05-10,68.62,68.62,66.86,67.49,0
2004-05-11,67.96,69.85,67.96,69.85,0
2004-05-12,69.85,69.86,67.3,69.68,0
2004-05-13,69.68,70.93,69.14,70.13,0
2004-05-14,70.13,70.24,68.04,68.14,0
2004-05-17,68.12,68.13,66.49,67.17,0
2004-05-18,67.85,68.2,67.81,68.02,0
2004-05-19,68.84,70.38,68.58,68.68,0
2004-05-20,68.67,69.22,68.2,68.47,0
2004-05-21,68.48,69.36,68.48,69.05,0
2004-05-24,69.07,70.41,69.07,70.06,0
2004-05-25,70.06,72.44,69.46,72.37,0
2004-05-26,72.09,72.91,71.92,72.87,0
2004-05-27,72.87,74.05,72.87,74.0,0
2004-05-28,74.0,74.5,73.25,74.24,0
2004-06-01,73.94,75.92,73.54,75.54,0
2004-06-02,75.55,76.09,75.02,75.56,0
2004-06-03,75.55,75.55,73.94,73.94,0
2004-06-04,74.01,75.55,74.01,75.18,0
2004-06-07,75.17,76.88,75.17,76.88,0
2004-06-08,76.5,77.19,76.29,77.04,0
2004-06-09,76.96,76.96,74.67,74.76,0
2004-06-10,74.76,75.13,74.2,74.6,0
2004-06-14,74.6,74.6,72.71,72.87,0
2004-06-15,72.89,74.87,72.89,74.22,0
2004-06-16,74.22,74.83,73.96,74.4,0
2004-06-17,74.4,74.4,73.35,73.56,0
2004-06-18,73.45,74.32,72.93,73.49,0
2004-06-21,73.49,73.96,72.79,72.87,0
2004-06-22,72.9,74.15,72.61,74.14,0
2004-06-23,74.13,75.72,74.01,75.68,0
2004-06-24,75.68,76.14,75.29,75.5,0
2004-06-25,75.6,76.44,75.56,76.31,0
2004-06-28,76.32,77.9,76.3,76.86,0
2004-06-29,76.84,77.18,76.5,77.08,0
2004-06-30,77.08,78.06,76.69,77.75,0
2004-07-01,77.69,77.69,75.15,75.28,0
2004-07-02,75.26,75.3,74.24,74.82,0
2004-07-06,74.8,74.8,72.12,72.51,0
2004-07-07,72.34,72.62,71.4,71.86,0
2004-07-08,71.54,71.54,68.69,68.7,0
2004-07-09,68.8,69.95,68.8,69.21,0
2004-07-12,69.21,69.3,68.26,68.98,0
2004-07-13,68.98,69.54,68.35,68.45,0
2004-07-14,68.42,69.39,67.69,68.19,0
2004-07-15,68.12,68.7,67.79,67.9,0
2004-07-16,67.96,68.58,66.32,66.33,0
2004-07-19,66.34,66.6,64.29,65.06,0
2004-07-20,65.06,67.88,65.05,67.77,0
2004-07-21,67.77,68.56,65.47,65.48,0
2004-07-22,65.49,66.72,63.92,66.7,0
2004-07-23,66.6,66.6,63.49,63.6,0
2004-07-26,63.57,63.65,62.12,62.8,0
2004-07-27,62.8,65.5,62.8,65.29,0
2004-07-28,65.28,65.54,62.99,64.49,0
2004-07-29,64.56,65.71,64.55,65.67,0
2004-07-30,65.63,66.08,65.01,65.52,0
2004-08-02,65.51,65.52,64.23,65.18,0
2004-08-03,65.19,65.4,63.24,63.25,0
2004-08-04,63.13,63.13,60.8,61.24,0
2004-08-05,61.26,61.49,59.29,59.34,0
2004-08-06,59.33,59.33,57.82,58.03,0
2004-08-09,58.06,58.39,57.54,57.72,0
2004-08-10,57.73,59.67,57.73,59.67,0
2004-08-11,59.58,59.58,57.74,59.06,0
2004-08-12,59.01,59.28,58.31,58.51,0
2004-08-13,58.52,59.27,58.16,58.54,0
2004-08-16,58.53,60.71,58.49,60.14,0
2004-08-17,60.17,61.47,60.17,60.49,0
2004-08-18,60.29,62.13,59.7,62.08,0
2004-08-19,62.06,62.41,61.17,61.55,0
2004-08-20,61.52,63.06,61.29,62.81,0
2004-08-23,62.83,63.56,62.83,62.91,0
2004-08-25,62.91,64.19,62.39,64.11,0
2004-08-26,64.05,64.33,63.52,63.76,0
2004-08-27,63.79,64.13,63.73,63.94,0
2004-08-30,63.94,63.94,62.47,62.5,0
2004-09-01,62.34,63.42,62.12,62.67,0
2004-09-02,62.67,64.08,62.46,63.88,0
2004-09-03,63.89,64.13,62.69,62.74,0
2004-09-07,62.78,64.13,62.78,63.7,0
2004-09-08,63.7,64.25,63.27,63.37,0
2004-09-09,63.7,64.25,62.71,63.59,0
2004-09-10,63.53,65.38,63.44,65.35,0
2004-09-13,65.35,66.97,65.32,66.54,0
2004-09-14,66.54,68.16,66.42,68.15,0
2004-09-15,68.05,68.05,66.71,66.86,0
2004-09-16,66.87,68.53,66.87,67.3,0
2004-09-17,67.35,68.14,67.2,68.11,0
2004-09-20,68.14,68.42,67.15,67.5,0
2004-09-21,67.51,67.8,67.16,67.61,0
2004-09-22,67.52,67.52,65.95,65.98,0
2004-09-23,66.01,66.79,66.01,66.41,0
2004-09-24,66.44,66.65,65.72,65.72,0
2004-09-27,65.72,65.72,64.45,64.58,0
2004-09-28,64.58,65.25,64.2,65.09,0
2004-09-29,65.08,67.12,65.07,67.11,0
2004-09-30,67.09,67.53,66.52,67.19,0
2004-10-01,67.23,69.17,67.23,69.04,0
2004-10-04,69.04,70.7,69.04,70.0,0
2004-10-05,69.89,70.21,69.14,69.46,0
2004-10-06,69.46,70.23,68.81,70.22,0
2004-10-07,70.21,70.66,69.54,69.72,0
2004-10-08,69.72,69.72,68.11,68.2,0
2004-10-11,68.24,68.78,68.03,68.73,0
2004-10-12,68.08,69.15,67.72,68.83,0
2004-10-13,68.95,70.75,68.95,69.24,0
2004-10-14,69.24,69.3,68.5,68.88,0
2004-10-18,68.75,70.22,68.42,70.19,0
2004-10-19,70.19,71.48,70.06,70.06,0
2004-10-20,70.04,70.09,69.07,69.55,0
2004-10-21,70.03,72.94,70.03,72.87,0
2004-10-22,73.04,73.23,70.35,70.39,0
2004-10-25,70.37,71.28,69.93,71.03,0
2004-10-26,71.04,71.73,70.3,71.42,0
2004-10-27,71.31,74.51,71.28,74.42,0
2004-10-28,74.37,74.44,73.35,74.08,0
2004-10-29,74.06,74.47,73.33,73.47,0
2004-11-01,73.49,74.57,73.41,74.44,0
2004-11-02,74.41,75.76,74.41,75.24,0
2004-11-03,75.29,77.59,75.29,76.04,0
2004-11-04,75.97,76.67,74.96,76.49,0
2004-11-05,76.49,77.02,75.35,75.94,0
2004-11-08,76.12,76.58,75.95,76.45,0
2004-11-09,76.44,76.72,75.63,76.04,0
2004-11-10,76.06,76.19,75.34,75.65,0
2004-11-11,75.65,77.61,75.65,77.59,0
2004-11-12,77.68,79.34,77.67,79.25,0
2004-11-15,79.25,80.01,78.78,79.66,0
2004-11-16,79.64,79.64,78.31,78.71,0
2004-11-17,79.04,80.05,78.7,79.42,0
2004-11-18,79.46,80.02,79.25,79.8,0
2004-11-19,79.69,79.96,77.53,77.57,0
2004-11-22,77.57,78.07,76.53,77.97,0
2004-11-23,78.06,78.94,77.61,78.04,0
2004-11-24,78.16,79.88,78.16,79.83,0
2004-11-26,79.83,80.23,79.74,80.01,0
2004-11-29,80.43,80.73,79.25,80.47,0
2004-11-30,80.47,80.83,80.05,80.43,0
2004-12-01,80.41,82.12,80.41,82.11,0
2004-12-02,82.11,83.17,81.78,82.8,0
2004-12-03,82.79,83.32,82.27,82.91,0
2004-12-06,82.91,83.33,82.49,83.33,0
2004-12-07,83.33,83.89,81.04,81.09,0
2004-12-08,81.13,81.54,80.63,80.87,0
2004-12-09,80.83,82.53,80.01,82.44,0
2004-12-10,82.44,83.06,81.86,82.42,0
2004-12-13,82.42,83.17,82.42,83.14,0
2004-12-14,83.12,83.97,83.05,83.92,0
2004-12-15,84.11,85.09,83.99,85.09,0
2004-12-16,85.09,85.09,82.87,82.93,0
2004-12-17,82.9,83.44,82.5,82.55,0
2004-12-20,82.62,83.61,81.55,81.76,0
2004-12-21,81.76,83.22,81.75,83.02,0
2004-12-22,83.0,83.56,82.71,83.56,0
2004-12-23,83.58,83.6,83.17,83.18,0
2004-12-27,83.19,84.91,83.19,84.53,0
2004-12-28,84.51,86.02,84.51,85.94,0
2004-12-29,85.94,86.7,85.87,86.2,0
2004-12-30,86.19,86.58,85.98,86.32,0
2004-12-31,86.31,86.69,85.65,85.79,0
2005-01-03,85.78,87.01,84.28,84.72,0
2005-01-04,84.34,84.51,80.75,81.34,0
2005-01-05,81.34,81.99,80.3,80.32,0
2005-01-06,80.33,81.04,78.99,79.0,0
2005-01-07,79.0,80.47,78.84,79.72,0
2005-01-10,79.72,80.63,79.32,79.75,0
2005-01-11,79.74,79.81,78.37,78.46,0
