Date,Open,High,Low,Close,Volume
2006-04-28,8443.35,8542.02,8389.53,8408.27,0
2006-05-01,8410.94,8459.19,8306.55,8330.55,0
2006-05-02,8330.95,8330.95,8122.82,8221.66,0
2006-05-03,8222.97,8308.13,8172.83,8221.13,0
2006-05-04,8223.0,8267.55,8140.47,8142.69,0
2006-05-05,8145.63,8448.63,8145.63,8379.75,0
2006-05-08,8380.42,8391.42,8249.29,8260.91,0
2006-05-09,8259.43,8281.77,8181.32,8182.83,0
2006-05-10,8183.07,8311.98,8183.07,8246.94,0
2006-05-11,8246.94,8246.94,8009.8,8010.89,0
2006-05-12,8010.23,8010.23,7821.36,7904.86,0
2006-05-15,7902.72,7926.97,7699.04,7791.06,0
2006-05-16,7791.06,7830.15,7656.5,7694.49,0
2006-05-17,7693.15,7693.15,7506.28,7575.77,0
2006-05-18,7578.71,7631.31,7578.39,7584.05,0
2006-05-19,7584.05,7611.46,7471.16,7549.53,0
2006-05-22,7549.53,7549.53,7301.1,7392.32,0
2006-05-23,7395.11,7598.77,7377.19,7377.56,0
2006-05-24,7375.55,7556.12,7267.75,7442.65,0
2006-05-25,7447.4,7506.01,7381.69,7469.51,0
2006-05-26,7467.7,7541.05,7467.7,7489.0,0
2006-05-30,7487.71,7487.71,7255.29,7256.11,0
2006-05-31,7256.67,7267.18,7158.38,7207.97,0
2006-06-01,7209.92,7356.39,7142.64,7345.38,0
2006-06-02,7343.84,7406.04,7162.35,7219.3,0
2006-06-05,7220.56,7220.56,6867.81,6876.72,0
2006-06-06,6876.03,6876.03,6525.1,6637.65,0
2006-06-07,6635.61,6758.69,6595.96,6617.09,0
2006-06-08,6618.1,6656.5,6406.39,6605.44,0
2006-06-09,6607.53,6758.11,6607.53,6660.79,0
2006-06-12,6660.65,6660.65,6435.45,6438.93,0
2006-06-13,6437.53,6516.57,6294.89,6329.04,0
2006-06-14,6328.48,6414.38,6324.17,6367.91,0
2006-06-15,6368.61,6698.28,6366.45,6663.41,0
2006-06-16,6663.41,6721.92,6564.48,6601.56,0
2006-06-19,6601.69,6659.17,6442.84,6471.11,0
2006-06-20,6471.11,6546.12,6372.21,6376.77,0
2006-06-21,6376.65,6601.0,6376.33,6577.99,0
2006-06-22,6578.12,6578.12,6465.71,6523.4,0
2006-06-23,6521.43,6636.6,6463.83,6572.51,0
2006-06-26,6569.68,6787.77,6569.68,6702.19,0
2006-06-27,6702.31,6704.96,6529.6,6535.37,0
2006-06-28,6535.87,6553.21,6444.47,6510.64,0
2006-06-29,6510.15,6733.68,6472.79,6732.69,0
2006-06-30,6732.32,6746.76,6640.9,6667.25,0
2006-07-03,6665.78,6674.69,6574.43,6649.62,0
2006-07-05,6646.3,6646.3,6480.31,6542.1,0
2006-07-06,6542.96,6628.26,6526.97,6558.97,0
2006-07-07,6557.74,6650.98,6486.87,6501.56,0
2006-07-10,6502.15,6543.56,6447.24,6458.39,0
2006-07-11,6457.78,6457.78,6292.58,6359.17,0
2006-07-12,6358.74,6384.64,6166.74,6177.32,0
2006-07-13,6177.2,6215.12,6056.73,6061.27,0
2006-07-14,6062.99,6064.24,5753.8,5826.99,0
2006-07-17,5826.99,5873.52,5738.89,5742.39,0
2006-07-18,5744.12,5798.75,5529.16,5646.59,0
2006-07-19,5646.27,5894.46,5646.27,5893.84,0
2006-07-20,5894.94,5898.17,5631.68,5641.26,0
2006-07-21,5639.67,5679.51,5468.3,5634.89,0
2006-07-24,5634.52,5841.39,5634.52,5836.86,0
2006-07-25,5837.35,6023.44,5752.81,5918.89,0
2006-07-26,5918.4,5939.76,5775.31,5903.35,0
2006-07-27,5904.83,5971.07,5729.48,5762.89,0
2006-07-28,5763.88,5971.7,5763.88,5930.41,0
2006-07-31,5928.2,5928.2,5818.77,5885.15,0
2006-08-01,5883.06,5905.68,5750.59,5868.54,0
2006-08-02,5870.26,5992.04,5849.69,5935.84,0
2006-08-03,5933.63,6239.14,5848.76,6190.98,0
2006-08-04,6190.37,6426.07,6115.74,6205.61,0
2006-08-07,6203.28,6330.82,6148.24,6247.86,0
2006-08-08,6249.94,6343.29,5979.7,6000.07,0
2006-08-09,6000.07,6000.07,5719.26,5737.89,0
2006-08-10,5737.28,5792.93,5678.34,5749.93,0
2006-08-11,5748.7,5748.7,5615.99,5630.6,0
