Date,Open,High,Low,Close,Volume
2018-01-23,52.17,53.62,52.03,53.55,106440
2018-01-24,54.61,56.0,51.55,53.44,216272
2018-01-25,54.41,54.96,52.75,53.4,134687
2018-01-26,54.58,57.81,53.92,57.81,131277
2018-01-29,57.22,60.95,56.03,58.8,239688
2018-01-30,57.5,58.18,54.29,57.15,227994
2018-01-31,58.76,59.7,57.25,58.2,183218
2018-02-01,55.72,58.6,54.94,56.14,115600
2018-02-02,55.15,56.6,52.1,52.53,198709
2018-02-05,49.42,53.88,45.0,46.16,258470
2018-02-06,41.51,49.86,41.2,49.32,170331
2018-02-07,49.92,51.9,48.77,49.65,85769
2018-02-08,53.5,55.2,44.67,44.95,112436
2018-02-09,47.79,48.12,41.6,46.62,145360
2018-02-12,49.27,49.92,46.62,49.02,74340
2018-02-13,48.91,52.44,48.23,51.77,61204
2018-02-14,51.94,56.19,51.94,55.86,94704
2018-02-15,58.22,59.2,55.87,59.2,132295
2018-02-16,59.01,59.89,57.32,58.26,77052
2018-02-20,57.08,60.64,57.08,58.6,106180
2018-02-21,60.0,62.43,59.13,59.23,79130
2018-02-22,61.0,61.23,57.53,58.9,62490
2018-02-23,60.07,62.04,59.31,62.0,72176
2018-02-26,63.6,64.05,62.52,64.0,86239
2018-02-27,64.09,64.14,61.18,61.18,103090
2018-02-28,62.17,62.84,60.0,60.53,71088
2018-03-01,60.99,61.43,55.08,57.71,125111
2018-03-02,54.54,59.34,53.08,58.92,139425
2018-03-05,58.73,63.5,57.25,62.83,93716
2018-03-06,64.5,65.49,63.11,64.61,95492
2018-03-07,62.82,66.07,62.09,66.0,89299
2018-03-08,66.86,66.86,64.44,65.04,53799
2018-03-09,66.96,68.97,66.25,68.86,101605
2018-03-12,70.4,71.49,69.42,70.75,92853
2018-03-13,71.86,71.95,66.0,66.58,196792
2018-03-14,67.72,69.86,67.28,69.0,88235
2018-03-15,70.0,70.35,67.55,69.08,65679
2018-03-16,69.5,69.62,67.64,68.39,50875
2018-03-19,65.5,66.25,60.67,62.32,171307
2018-03-20,62.36,63.13,59.68,61.59,117204
2018-03-21,60.84,63.25,60.32,61.4,75475
2018-03-22,59.07,59.5,55.18,55.4,151977
2018-03-23,55.44,56.59,51.15,51.21,128467
2018-03-26,54.57,56.5,50.0,56.5,127392
2018-03-27,57.88,57.88,45.52,47.11,224297
