Date,Open,High,Low,Close,Volume
2011-02-03,264.98,266.0,264.67,265.51,0
2011-02-04,265.51,267.35,265.06,267.31,0
2011-02-07,267.31,269.68,267.31,268.55,0
2011-02-08,268.48,269.65,267.9,269.57,0
2011-02-09,269.57,269.79,268.21,269.13,0
2011-02-10,268.81,268.81,265.96,268.14,0
2011-02-11,268.05,269.48,267.22,269.21,0
2011-02-14,269.21,269.99,268.84,269.44,0
2011-02-15,269.3,269.3,267.5,268.29,0
2011-02-16,268.29,270.17,268.29,269.91,0
2011-02-17,269.79,270.7,268.62,270.39,0
2011-02-18,270.42,270.88,269.29,270.27,0
2011-02-22,269.49,269.49,263.01,263.53,0
2011-02-23,263.46,263.46,258.71,260.27,0
2011-02-24,260.25,261.89,258.21,261.05,0
2011-02-25,261.38,264.69,261.38,264.41,0
2011-02-28,264.41,266.17,263.75,265.14,0
2011-03-01,265.39,266.36,260.33,266.36,0
2011-03-02,260.62,263.94,260.56,260.57,0
2011-03-03,262.28,266.27,262.28,264.46,0
2011-03-04,265.95,266.18,262.58,265.89,0
2011-03-07,264.51,265.08,259.14,265.08,0
2011-03-08,260.87,263.92,259.92,261.16,0
2011-03-09,262.84,262.84,260.27,261.96,0
2011-03-10,261.03,261.03,256.53,259.02,0
2011-03-11,256.85,258.82,255.8,255.93,0
2011-03-14,258.1,258.32,255.23,256.62,0
2011-03-15,256.84,256.84,248.88,249.56,0
2011-03-16,252.46,252.46,245.1,251.49,0
2011-03-17,248.03,251.52,248.03,250.45,0
2011-03-18,249.43,252.5,249.43,252.05,0
2011-03-21,250.01,255.36,250.01,253.5,0
2011-03-22,253.99,254.45,253.25,254.45,0
2011-03-23,253.62,255.53,251.86,253.06,0
2011-03-24,255.16,259.15,255.16,256.91,0
2011-03-25,259.95,260.91,259.27,260.33,0
2011-03-28,259.53,261.13,258.83,260.32,0
2011-03-29,258.87,260.85,257.41,258.22,0
2011-03-30,260.94,262.35,260.94,261.99,0
2011-03-31,261.72,262.05,260.96,261.21,0
2011-04-01,261.76,262.82,260.09,262.82,0
2011-04-04,260.99,261.46,258.92,261.27,0
2011-04-05,259.93,261.35,259.28,259.71,0
2011-04-06,260.28,261.35,259.6,260.69,0
2011-04-07,260.93,262.02,259.0,260.83,0
2011-04-08,261.08,262.08,258.82,262.08,0
2011-04-11,259.82,260.43,258.4,259.9,0
2011-04-12,259.38,259.38,256.27,257.91,0
2011-04-13,257.21,259.65,257.21,258.51,0
2011-04-14,258.24,258.39,255.93,257.07,0
2011-04-15,258.07,258.17,256.17,258.0,0
2011-04-18,257.42,257.42,252.3,254.71,0
2011-04-19,255.35,256.12,254.51,255.34,0
2011-04-20,256.58,261.87,256.58,259.75,0
