Date,Open,High,Low,Close,Volume
2009-01-08,4.74,5.05,4.73,5.05,129300
2009-01-09,5.09,5.1,4.67,4.78,67600
2009-01-12,4.72,4.72,4.24,4.33,46430
2009-01-13,4.3,4.44,4.19,4.35,119430
2009-01-14,4.19,4.19,3.78,3.87,177612
2009-01-15,3.89,4.18,3.56,4.04,83644
2009-01-16,4.28,4.31,3.88,4.22,164658
2009-01-20,4.22,4.22,3.52,3.54,116794
2009-01-21,3.7,3.95,3.45,3.94,80413
2009-01-22,3.69,3.92,3.51,3.68,112061
2009-01-23,3.41,3.91,3.38,3.79,147138
2009-01-26,3.8,4.09,3.71,3.86,132138
2009-01-27,3.91,4.04,3.81,3.99,57805
2009-01-28,4.24,4.49,4.2,4.43,184042
2009-01-29,4.25,4.27,3.93,3.94,139380
2009-01-30,4.02,4.06,3.54,3.62,156007
2009-02-02,3.42,3.64,3.38,3.61,66386
2009-02-03,3.65,3.81,3.51,3.74,125991
2009-02-04,3.76,3.97,3.66,3.72,147928
2009-02-05,3.63,4.01,3.57,3.92,113491
2009-02-06,3.93,4.33,3.91,4.29,129669
2009-02-09,4.29,4.37,4.2,4.32,42773
2009-02-10,4.21,4.32,3.63,3.71,258222
2009-02-11,3.77,3.86,3.58,3.71,70752
2009-02-12,3.53,3.8,3.44,3.78,88576
2009-02-13,3.83,3.9,3.68,3.72,119548
2009-02-17,3.32,3.59,3.17,3.17,197559
2009-02-18,3.25,3.25,3.01,3.1,86501
2009-02-19,3.19,3.25,2.92,2.95,84062
2009-02-20,2.79,2.99,2.69,2.9,92206
2009-02-23,2.96,2.99,2.55,2.56,58188
2009-02-24,2.63,2.94,2.59,2.92,81521
2009-02-25,2.87,2.97,2.68,2.82,131111
2009-02-26,2.94,2.95,2.64,2.66,71514
2009-02-27,2.54,2.72,2.48,2.55,60624
2009-03-02,2.37,2.4,2.09,2.12,83779
2009-03-03,2.22,2.22,2.0,2.06,58209
2009-03-04,2.22,2.34,2.12,2.24,64480
2009-03-05,2.09,2.15,1.89,1.94,61960
2009-03-06,1.97,2.05,1.77,1.9,118371
2009-03-09,1.85,2.02,1.83,1.85,90585
2009-03-10,1.99,2.23,1.97,2.21,81848
2009-03-11,2.29,2.35,2.19,2.31,83411
2009-03-12,2.28,2.59,2.21,2.56,103838
2009-03-13,2.63,2.64,2.48,2.63,64824
2009-03-16,2.73,2.77,2.54,2.54,75756
2009-03-17,2.54,2.8,2.48,2.8,66423
2009-03-18,2.79,3.13,2.68,3.06,141124
2009-03-19,3.18,3.19,2.97,2.98,86837
2009-03-20,3.02,3.03,2.7,2.75,86605
2009-03-23,3.0,3.35,2.91,3.35,91595
2009-03-24,3.21,3.34,3.05,3.05,71832
2009-03-25,3.21,3.38,2.93,3.2,119266
2009-03-26,3.33,3.52,3.28,3.51,55058
2009-03-27,3.37,3.41,3.26,3.29,86715
2009-03-30,3.05,3.05,2.83,2.93,69699
2009-03-31,3.03,3.18,2.93,3.05,32763
2009-04-01,2.88,3.2,2.83,3.17,45478
2009-04-02,3.43,3.68,3.41,3.53,80323
2009-04-03,3.52,3.71,3.47,3.71,34415
2009-04-06,3.63,3.64,3.46,3.62,40604
2009-04-07,3.41,3.46,3.27,3.27,69359
2009-04-08,3.37,3.47,3.3,3.47,74575
2009-04-09,3.8,3.96,3.69,3.95,140145
2009-04-13,3.85,4.02,3.73,3.93,140250
2009-04-14,3.8,3.96,3.69,3.7,104236
2009-04-15,3.64,3.85,3.59,3.83,35287
2009-04-16,3.97,4.24,3.85,4.15,83120
2009-04-17,4.19,4.37,4.1,4.29,68757
2009-04-20,4.02,4.05,3.67,3.67,113777
