Date,Open,High,Low,Close,Volume
2015-08-19,39.81,39.81,39.81,39.81,100
2015-08-20,38.64,38.72,37.75,37.75,1559
2015-08-21,36.99,37.1,35.23,35.67,611
2015-08-24,34.99,34.99,32.5,32.5,425
2015-08-25,33.15,33.15,33.15,33.15,707
2015-08-26,28.99,28.99,27.97,27.97,575
2015-08-27,31.14,33.52,31.1,33.52,10545
2015-08-28,31.73,33.0,31.73,33.0,843
2015-08-31,31.71,32.52,31.71,32.52,863
2015-09-01,30.32,30.32,29.17,29.17,1402
2015-09-02,30.67,31.43,29.53,31.43,4320
2015-09-03,32.43,33.42,32.43,33.26,7337
2015-09-04,31.63,33.87,30.93,31.07,4196
2015-09-08,30.33,32.12,30.33,32.12,841
2015-09-09,35.0,35.0,32.61,32.61,2245
2015-09-10,31.77,32.8,31.68,32.8,1070
2015-09-14,33.66,33.66,33.66,33.66,225
2015-09-15,33.33,34.0,33.02,33.69,4719
2015-09-16,33.35,33.35,33.09,33.35,3543
2015-09-17,33.89,36.25,33.89,34.55,13680
2015-09-18,34.66,34.66,32.62,32.62,950
2015-09-21,32.95,34.48,31.5,31.89,1693
2015-09-22,31.47,31.47,29.05,29.5,1625
2015-09-23,30.14,30.14,30.1,30.1,610
2015-09-24,28.5,29.04,27.79,29.04,1253
2015-09-25,31.11,31.11,31.11,31.11,183
2015-09-28,28.48,28.48,28.0,28.0,610
2015-09-29,25.15,25.97,24.9,25.04,3398
2015-09-30,25.85,25.86,24.61,24.98,2556
2015-10-01,26.27,27.27,26.16,27.27,2375
2015-10-02,25.99,27.48,25.99,27.48,945
2015-10-05,29.26,30.47,29.26,30.22,1861
2015-10-06,30.13,30.52,28.67,28.83,5595
2015-10-07,29.58,30.2,29.33,30.19,1445
2015-10-08,30.5,30.5,30.5,30.5,235
2015-10-09,31.11,31.59,31.11,31.59,2400
2015-10-13,32.07,32.4,32.07,32.27,1535
2015-10-14,28.82,28.82,28.7,28.7,361
2015-10-16,29.91,29.91,29.74,29.81,400
2015-10-19,29.97,30.39,29.94,29.94,855
2015-10-21,32.17,32.17,32.17,32.17,262
2015-10-22,30.16,31.02,30.15,31.02,650
2015-10-23,30.32,30.73,30.19,30.35,2447
