Date,Open,High,Low,Close,Volume
2017-09-26,2026.5,2036.77,2001.67,2008.7,0
2017-09-27,2031.78,2047.3,2026.33,2039.14,0
2017-09-28,2035.43,2041.81,2027.0,2038.43,0
2017-09-29,2038.43,2063.7,2038.43,2059.23,0
2017-10-02,2059.23,2070.12,2041.0,2055.27,0
2017-10-03,2059.72,2075.41,2052.59,2074.12,0
2017-10-04,2074.12,2092.59,2074.12,2082.43,0
2017-10-05,2092.29,2114.45,2090.32,2114.45,0
2017-10-06,2103.99,2123.6,2103.99,2122.8,0
2017-10-09,2123.95,2137.46,2120.24,2124.95,0
2017-10-10,2141.47,2146.67,2123.11,2138.42,0
2017-10-11,2140.13,2151.96,2136.33,2151.7,0
2017-10-12,2152.12,2169.26,2150.98,2156.31,0
2017-10-13,2169.27,2177.08,2164.48,2170.85,0
2017-10-16,2179.34,2189.2,2166.36,2188.31,0
2017-10-17,2185.8,2191.73,2177.65,2183.11,0
2017-10-18,2187.52,2187.52,2169.97,2178.18,0
2017-10-19,2144.31,2155.04,2130.15,2154.77,0
2017-10-20,2168.13,2169.5,2146.95,2149.09,0
2017-10-23,2155.5,2155.5,2118.28,2120.14,0
2017-10-24,2126.58,2135.4,2116.77,2128.74,0
2017-10-25,2126.05,2138.21,2089.96,2105.37,0
2017-10-26,2105.37,2154.99,2105.37,2145.65,0
2017-10-27,2163.73,2215.42,2162.72,2211.8,0
2017-10-30,2213.24,2239.83,2207.14,2220.35,0
2017-10-31,2227.55,2237.34,2221.97,2233.26,0
2017-11-01,2250.21,2253.14,2223.13,2234.53,0
2017-11-02,2223.33,2228.1,2187.38,2202.7,0
2017-11-03,2216.49,2225.58,2195.66,2221.3,0
2017-11-06,2221.3,2231.02,2216.27,2227.03,0
2017-11-07,2234.78,2240.28,2224.82,2233.29,0
2017-11-08,2232.04,2234.88,2218.07,2228.13,0
2017-11-09,2228.13,2228.13,2187.0,2217.72,0
2017-11-10,2217.72,2233.48,2215.99,2227.97,0
2017-11-13,2227.97,2238.8,2212.89,2229.87,0
2017-11-14,2229.87,2229.87,2207.67,2219.28,0
2017-11-15,2219.28,2219.28,2179.91,2202.64,0
2017-11-16,2202.64,2241.3,2202.64,2233.17,0
2017-11-17,2233.17,2246.77,2226.98,2229.53,0
2017-11-20,2229.53,2240.5,2229.53,2235.73,0
2017-11-21,2235.73,2277.14,2235.73,2277.02,0
2017-11-22,2277.02,2288.4,2271.36,2286.08,0
2017-11-24,2286.08,2302.83,2283.73,2302.26,0
2017-11-27,2302.26,2303.17,2285.31,2290.72,0
2017-11-28,2297.26,2297.27,2268.97,2283.23,0
2017-11-29,2283.23,2283.23,2157.18,2194.39,0
2017-11-30,2194.39,2218.2,2189.99,2205.03,0
2017-12-01,2205.03,2206.21,2158.77,2185.67,0
2017-12-04,2185.67,2205.93,2122.39,2139.47,0
2017-12-05,2139.47,2180.73,2111.58,2150.33,0
2017-12-06,2150.33,2180.15,2131.05,2174.51,0
2017-12-07,2174.51,2201.03,2174.51,2188.99,0
2017-12-08,2209.81,2217.96,2194.86,2200.8,0
2017-12-11,2200.8,2231.01,2200.8,2227.95,0
2017-12-12,2227.95,2228.5,2207.29,2213.39,0
2017-12-13,2213.39,2228.6,2209.56,2214.83,0
2017-12-14,2214.83,2246.13,2208.92,2223.89,0
2017-12-15,2236.73,2241.83,2221.36,2241.83,0
2017-12-18,2241.83,2290.67,2241.83,2287.11,0
2017-12-19,2287.11,2287.11,2259.27,2266.4,0
2017-12-20,2266.4,2275.17,2245.28,2263.33,0
2017-12-21,2263.33,2279.68,2262.51,2270.8,0
2017-12-22,2270.8,2270.8,2255.02,2260.35,0
2017-12-26,2260.35,2260.35,2225.64,2240.59,0
2017-12-27,2240.59,2245.99,2233.12,2237.14,0
2017-12-28,2237.14,2252.09,2237.14,2245.39,0
2017-12-29,2245.39,2247.01,2226.06,2226.06,0
2018-01-02,2226.06,2296.54,2226.06,2294.97,0
2018-01-03,2294.97,2327.63,2294.97,2326.47,0
2018-01-04,2326.47,2344.1,2318.36,2327.01,0
2018-01-05,2327.01,2357.19,2326.8,2357.19,0
2018-01-08,2357.19,2399.45,2357.19,2393.12,0
2018-01-09,2393.12,2402.6,2371.43,2388.44,0
2018-01-10,2388.44,2390.6,2360.29,2388.61,0
2018-01-11,2388.61,2403.53,2388.61,2403.42,0
2018-01-12,2403.42,2427.83,2398.88,2419.06,0
2018-01-16,2419.06,2457.21,2391.95,2406.15,0
2018-01-17,2406.15,2415.48,2381.37,2412.72,0
2018-01-18,2412.72,2421.56,2394.84,2410.99,0
2018-01-19,2410.99,2430.65,2406.95,2420.67,0
2018-01-22,2420.67,2443.16,2409.85,2442.95,0
2018-01-23,2442.95,2502.13,2442.95,2498.67,0
2018-01-24,2498.67,2528.54,2467.29,2495.37,0
2018-01-25,2495.37,2522.44,2488.88,2501.67,0
2018-01-26,2501.67,2564.44,2501.67,2564.42,0
2018-01-29,2564.42,2588.02,2542.95,2577.92,0
2018-01-30,2577.92,2577.92,2517.75,2556.73,0
2018-01-31,2556.73,2593.18,2556.73,2570.3,0
2018-02-01,2570.3,2582.06,2527.92,2542.77,0
2018-02-02,2542.77,2549.8,2481.87,2489.75,0
2018-02-05,2489.75,2511.09,2353.94,2383.96,0
2018-02-06,2320.42,2452.63,2316.26,2450.47,0
2018-02-07,2450.47,2488.62,2436.24,2442.69,0
2018-02-08,2442.69,2546.73,2366.62,2368.51,0
2018-02-09,2368.51,2431.56,2304.98,2415.63,0
2018-02-12,2415.63,2460.57,2402.28,2444.52,0
2018-02-13,2444.52,2498.57,2433.87,2490.04,0
2018-02-14,2490.04,2561.75,2489.2,2553.93,0
2018-02-15,2553.93,2609.65,2553.93,2609.4,0
2018-02-16,2609.4,2615.48,2578.77,2585.82,0
2018-02-20,2585.82,2628.48,2576.15,2597.52,0
2018-02-21,2597.52,2652.69,2597.52,2605.87,0
2018-02-22,2605.87,2625.98,2583.77,2603.88,0
2018-02-23,2603.88,2650.44,2603.88,2649.88,0
2018-02-26,2649.88,2679.36,2649.88,2679.21,0
2018-02-27,2679.21,2681.48,2635.98,2636.09,0
2018-02-28,2649.61,2662.05,2622.59,2624.58,0
2018-03-01,2624.58,2645.46,2547.24,2582.63,0
2018-03-02,2582.63,2617.21,2516.58,2614.96,0
2018-03-05,2614.96,2672.55,2583.54,2663.79,0
2018-03-06,2663.79,2700.8,2663.79,2692.72,0
2018-03-07,2692.72,2712.34,2659.16,2711.53,0
2018-03-08,2711.53,2716.55,2687.06,2697.12,0
2018-03-09,2699.33,2752.53,2699.33,2752.53,0
2018-03-12,2752.53,2785.03,2752.53,2770.53,0
2018-03-13,2770.53,2789.04,2708.86,2719.48,0
2018-03-14,2719.48,2765.96,2719.48,2752.2,0
2018-03-15,2752.2,2770.83,2735.42,2753.81,0
2018-03-16,2753.81,2763.68,2732.69,2743.61,0
2018-03-19,2743.61,2743.61,2639.74,2664.06,0
2018-03-20,2664.06,2678.4,2627.88,2653.71,0
2018-03-21,2653.71,2680.68,2639.1,2652.32,0
2018-03-22,2652.32,2652.32,2561.15,2562.51,0
2018-03-23,2562.51,2583.98,2498.22,2499.8,0
2018-03-26,2499.8,2589.07,2483.58,2587.28,0
2018-03-27,2587.28,2600.23,2418.59,2441.5,0
2018-03-28,2441.5,2441.5,2354.7,2382.89,0
2018-03-29,2382.89,2459.87,2354.68,2442.78,0
2018-04-02,2437.59,2437.59,2334.81,2360.43,0
2018-04-03,2360.43,2411.77,2339.88,2381.64,0
2018-04-04,2381.64,2424.88,2299.43,2419.48,0
2018-04-05,2419.48,2468.96,2419.48,2455.56,0
2018-04-06,2455.56,2460.34,2385.71,2397.17,0
2018-04-09,2421.16,2461.09,2402.4,2404.64,0
2018-04-10,2404.64,2504.15,2404.64,2492.01,0
2018-04-11,2492.01,2506.85,2477.76,2482.67,0
2018-04-12,2482.67,2508.65,2482.67,2496.01,0
2018-04-13,2496.01,2522.81,2470.59,2488.02,0
2018-04-16,2488.02,2499.26,2463.36,2487.39,0
2018-04-17,2487.39,2587.01,2487.39,2580.36,0
2018-04-18,2580.36,2596.26,2570.11,2587.1,0
2018-04-19,2587.1,2591.25,2559.28,2584.1,0
2018-04-20,2584.1,2589.08,2534.71,2544.32,0
2018-04-23,2544.32,2559.12,2496.54,2510.12,0
2018-04-24,2510.12,2524.82,2423.48,2452.9,0
2018-04-25,2452.9,2458.51,2380.46,2436.18,0
2018-04-26,2436.18,2519.41,2436.18,2510.72,0
2018-04-27,2510.72,2566.42,2501.86,2528.78,0
2018-04-30,2528.78,2562.12,2514.71,2536.51,0
2018-05-01,2536.51,2564.57,2521.16,2564.21,0
2018-05-02,2564.21,2603.4,2563.19,2575.6,0
2018-05-03,2575.6,2578.55,2517.5,2570.23,0
2018-05-04,2570.23,2630.42,2553.48,2625.31,0
2018-05-07,2625.31,2689.25,2625.31,2671.39,0
2018-05-08,2671.39,2689.87,2660.94,2689.29,0
2018-05-09,2689.29,2721.53,2689.29,2721.53,0
2018-05-10,2721.53,2758.16,2721.53,2748.31,0
2018-05-11,2748.31,2749.8,2720.25,2732.61,0
2018-05-14,2732.61,2767.6,2732.61,2740.14,0
2018-05-15,2740.14,2740.14,2681.58,2696.85,0
2018-05-16,2696.85,2724.49,2693.75,2718.77,0
2018-05-17,2718.77,2732.2,2691.57,2704.85,0
2018-05-18,2704.85,2704.85,2658.98,2659.78,0
2018-05-21,2659.78,2700.8,2659.78,2679.43,0
2018-05-22,2679.43,2694.34,2652.51,2655.99,0
2018-05-23,2655.99,2694.99,2639.71,2694.67,0
2018-05-24,2694.67,2708.76,2676.42,2697.49,0
2018-05-25,2697.49,2717.42,2691.98,2708.92,0
2018-05-29,2708.92,2732.59,2691.36,2707.47,0
2018-05-30,2707.47,2733.33,2707.47,2730.98,0
2018-05-31,2730.98,2752.02,2725.52,2737.5,0
2018-06-01,2737.5,2805.73,2737.5,2805.57,0
2018-06-04,2805.57,2860.21,2805.57,2858.02,0
2018-06-05,2880.26,2895.42,2863.28,2876.67,0
2018-06-06,2876.67,2906.79,2871.25,2906.33,0
2018-06-07,2906.33,2912.33,2857.69,2877.6,0
2018-06-08,2877.6,2891.93,2854.69,2887.13,0
2018-06-11,2887.13,2918.52,2887.13,2913.12,0
2018-06-12,2913.12,2970.58,2913.12,2950.89,0
2018-06-13,2950.89,2986.73,2950.89,2967.77,0
2018-06-14,2967.77,3039.82,2967.77,3035.96,0
2018-06-15,3035.96,3041.26,3002.74,3018.86,0
2018-06-18,3018.86,3037.45,2983.47,3037.09,0
2018-06-19,3037.09,3037.09,2942.02,3001.41,0
2018-06-20,3001.41,3056.21,3001.41,3045.95,0
2018-06-21,3045.95,3062.88,2987.89,3001.24,0
2018-06-22,3001.24,3018.62,2964.4,2978.36,0
2018-06-25,2978.36,2978.36,2843.18,2877.73,0
2018-06-26,2877.73,2931.96,2877.73,2916.0,0
2018-06-27,2916.0,2956.64,2862.1,2863.88,0
2018-06-28,2863.88,2909.99,2852.0,2901.87,0
2018-06-29,2901.87,2922.09,2871.04,2874.54,0
2018-07-02,2874.54,2906.58,2843.84,2906.42,0
2018-07-03,2906.42,2913.78,2839.75,2842.09,0
2018-07-05,2842.09,2882.78,2832.27,2880.32,0
2018-07-06,2880.32,2940.11,2865.49,2936.74,0
2018-07-09,2936.74,2969.79,2925.98,2965.38,0
