Date,Open,High,Low,Close,Volume
2017-11-15,23.4,23.4,23.4,23.4,336
2017-11-17,24.66,24.66,24.66,24.66,400
2017-11-20,24.39,24.46,24.39,24.46,659
2017-11-21,24.9,24.95,24.9,24.91,5144
2017-11-22,26.0,26.0,25.05,25.52,34813
2017-11-24,25.4,25.54,25.29,25.29,15977
2017-11-27,25.62,27.8,24.73,24.74,20775
2017-11-28,25.15,26.2,25.15,25.22,4365
2017-11-29,26.5,26.5,25.31,25.5,10507
2017-11-30,25.73,26.34,25.71,26.34,7222
2017-12-01,26.22,26.81,22.03,26.36,67146
2017-12-04,28.5,28.5,26.38,26.38,4856
2017-12-05,26.42,26.46,25.72,26.23,3381
2017-12-06,25.47,25.47,23.94,24.86,3752
2017-12-07,24.43,24.83,24.43,24.83,573
2017-12-08,24.51,25.51,24.51,25.51,367
2017-12-11,26.84,28.24,26.84,27.0,2789
2017-12-12,27.21,30.99,27.2,27.49,7009
2017-12-13,28.54,31.01,28.46,28.6,10652
2017-12-14,29.09,29.74,25.9,27.05,6086
2017-12-15,26.7,27.87,25.23,27.71,8218
2017-12-18,29.61,29.61,27.79,28.02,3057
2017-12-19,27.78,27.78,26.19,27.45,5751
2017-12-20,27.87,27.87,26.36,26.96,4890
2017-12-21,27.35,27.7,27.35,27.6,4875
2017-12-22,27.34,27.52,27.23,27.52,3112
2017-12-26,27.52,27.52,27.52,27.52,400
2017-12-27,28.03,28.04,27.8,27.8,2198
2017-12-28,27.67,27.67,26.81,26.81,739
2017-12-29,27.31,27.31,26.95,27.21,1536
2018-01-02,27.22,28.35,27.22,28.35,1012
2018-01-03,29.04,31.04,28.75,29.88,17167
2018-01-04,30.24,30.31,29.23,29.6,6064
2018-01-05,29.6,30.28,29.4,30.28,9967
2018-01-08,30.49,31.59,28.6,29.67,13626
2018-01-09,30.09,31.59,30.09,30.91,4605
2018-01-10,30.99,31.0,29.95,30.36,4781
2018-01-11,30.73,31.58,30.67,31.52,19211
2018-01-12,31.98,33.43,31.75,32.18,18671
2018-01-16,32.8,42.9,31.31,31.85,21254
2018-01-17,32.16,33.09,31.73,32.67,9014
2018-01-18,32.35,33.4,31.6,32.82,9133
2018-01-19,32.82,33.22,32.51,32.8,5773
2018-01-22,32.92,39.49,32.92,33.79,51257
2018-01-23,34.0,35.12,34.0,34.32,18865
2018-01-24,35.75,35.75,31.52,33.5,20084
2018-01-25,34.29,34.96,33.13,33.92,21206
2018-01-26,35.02,37.43,35.02,36.0,40901
2018-01-29,35.59,37.34,35.59,36.51,70894
2018-01-30,36.19,36.19,33.31,33.67,79474
2018-01-31,33.82,34.3,30.0,31.65,43888
2018-02-01,30.46,32.73,30.46,32.28,12293
2018-02-02,31.87,32.22,30.02,30.08,58047
2018-02-05,29.36,30.0,24.85,27.35,20265
2018-02-06,25.31,28.82,25.2,27.5,35856
2018-02-07,28.86,28.93,27.97,28.28,10500
2018-02-08,27.75,27.75,25.0,25.01,9735
2018-02-09,24.47,25.1,21.44,25.1,11918
2018-02-12,25.88,26.67,25.65,26.15,3913
2018-02-13,27.33,27.33,25.76,26.57,2646
2018-02-14,26.6,28.0,26.6,27.87,3023
2018-02-15,28.58,29.11,27.94,28.96,10975
2018-02-16,29.99,29.99,29.05,29.68,12843
2018-02-20,29.0,29.29,27.95,27.95,13366
2018-02-21,28.65,29.94,28.2,28.52,15964
2018-02-22,27.97,30.0,27.14,27.4,9897
2018-02-23,28.3,29.04,27.48,28.41,4884
2018-02-26,28.51,28.74,27.96,28.39,5618
2018-02-27,28.0,28.03,26.72,26.95,7665
2018-02-28,26.85,27.54,25.47,25.86,10448
2018-03-01,25.0,25.6,24.04,24.55,7452
2018-03-02,22.91,25.47,22.91,25.47,4368
2018-03-05,24.86,26.2,24.86,25.98,2432
2018-03-06,26.0,26.0,25.77,25.89,2157
2018-03-07,25.76,26.16,25.67,26.16,1440
2018-03-08,26.2,27.01,26.2,26.82,4426
2018-03-09,28.75,28.75,27.31,28.21,6617
2018-03-12,27.9,28.63,27.9,28.56,9078
2018-03-13,29.18,29.18,28.32,28.34,2583
2018-03-14,28.28,28.57,27.98,28.12,2305
2018-03-15,28.06,28.15,27.37,27.37,3752
2018-03-16,27.63,27.7,27.63,27.7,374
2018-03-19,27.2,27.2,25.9,25.9,3249
2018-03-20,26.25,26.25,25.98,25.98,1096
2018-03-21,26.34,26.39,26.27,26.27,2363
2018-03-22,25.0,25.51,24.16,24.16,5724
2018-03-23,24.2,24.2,23.2,23.2,4135
2018-03-26,23.25,23.75,22.38,23.73,4856
2018-03-27,23.65,23.8,22.13,22.38,4304
2018-03-28,22.04,23.38,22.04,22.99,4133
2018-03-29,23.58,23.69,22.84,23.62,2855
2018-04-02,22.98,23.17,20.99,21.36,6087
2018-04-03,21.36,22.57,21.13,22.3,3462
2018-04-04,21.0,23.69,21.0,23.69,3868
2018-04-05,23.88,23.88,23.58,23.58,2146
2018-04-06,22.86,22.93,21.15,21.47,6594
2018-04-09,22.28,22.54,21.87,22.34,6001
2018-04-10,22.9,23.87,22.84,23.87,7159
2018-04-11,23.3,24.18,23.3,24.1,1913
2018-04-12,24.0,24.05,23.92,23.97,2614
2018-04-13,23.8,23.8,23.22,23.31,625
2018-04-16,23.66,23.66,23.46,23.48,760
2018-04-17,23.77,24.45,23.74,24.45,24659
2018-04-18,24.65,24.65,24.65,24.65,539
2018-04-19,24.0,24.01,23.63,23.99,3986
2018-04-20,23.45,23.45,23.45,23.45,257
2018-04-23,23.59,23.6,23.13,23.13,909
2018-04-24,23.28,23.39,23.23,23.32,1591
