Date,Open,High,Low,Close,Volume
2009-01-16,509.46,520.57,501.98,516.75,0
2009-03-24,530.28,534.28,397.97,486.28,0
2009-03-25,487.23,501.15,476.03,492.18,0
2009-03-26,492.17,511.43,492.17,511.43,0
2009-03-27,509.38,509.38,497.81,498.83,0
2009-03-30,498.71,498.71,476.97,481.41,0
2009-03-31,483.24,497.07,482.36,489.0,0
2009-04-01,488.96,495.42,476.41,494.45,0
2009-04-02,494.45,521.63,494.45,515.52,0
2009-04-03,515.21,524.51,510.91,524.51,0
2009-04-06,522.71,522.71,509.82,517.99,0
2009-04-07,517.87,517.99,500.54,500.87,0
2009-04-08,500.86,509.23,499.82,508.45,0
2009-04-09,510.87,536.43,510.87,536.43,0
2009-04-13,534.65,538.57,524.2,536.07,0
2009-04-14,534.86,535.33,521.77,522.02,0
2009-04-15,521.98,529.55,517.15,529.2,0
2009-04-16,529.19,547.13,527.53,543.59,0
2009-04-17,543.59,552.78,539.94,550.2,0
2009-04-20,546.68,546.68,520.34,520.34,0
2009-04-21,520.34,536.38,517.03,536.38,0
2009-04-22,534.51,550.83,529.2,537.92,0
2009-04-23,538.59,539.61,526.11,535.94,0
2009-04-24,536.96,554.11,536.86,550.32,0
2009-04-27,549.69,552.87,540.98,543.53,0
2009-04-28,542.02,553.74,537.23,546.33,0
2009-04-29,547.96,566.65,547.96,561.68,0
2009-04-30,561.65,574.3,559.78,561.14,0
2009-05-01,560.8,563.96,554.09,558.87,0
2009-05-04,560.57,582.06,560.57,582.06,0
2009-05-05,580.37,581.7,571.52,577.38,0
2009-05-06,578.4,585.19,570.65,582.32,0
2009-05-07,583.86,589.88,564.14,567.77,0
2009-05-08,569.98,586.9,569.89,586.9,0
2009-05-11,575.0,579.74,570.5,573.45,0
2009-05-12,574.94,580.02,557.92,567.55,0
2009-05-13,567.32,567.32,542.21,542.71,0
2009-05-14,542.64,556.49,540.86,551.59,0
2009-05-15,550.87,555.45,542.65,545.71,0
2009-05-18,546.96,566.99,546.96,566.64,0
2009-05-19,566.59,573.87,561.7,567.78,0
2009-05-20,567.76,582.18,563.14,564.26,0
2009-05-21,564.14,564.14,547.93,554.09,0
2009-05-22,554.06,557.96,549.62,551.28,0
2009-05-26,549.96,572.78,547.65,572.17,0
2009-05-27,572.08,576.52,561.8,561.9,0
2009-05-28,563.34,569.07,554.28,566.53,0
2009-05-29,567.32,575.53,566.24,575.52,0
2009-06-01,575.5,599.23,575.5,596.51,0
2009-06-02,596.51,601.48,592.43,598.71,0
2009-06-03,598.64,598.64,583.62,585.17,0
2009-06-04,589.53,596.95,586.44,596.94,0
2009-06-05,596.9,602.51,590.49,596.09,0
2009-06-08,596.07,596.81,584.42,592.21,0
2009-06-09,592.18,601.36,592.18,598.17,0
2009-06-10,598.26,602.42,587.24,595.09,0
2009-06-11,594.9,604.26,594.9,598.64,0
2009-06-12,597.57,597.57,588.49,597.02,0
2009-06-15,597.01,597.01,577.06,581.51,0
2009-06-16,582.9,586.86,570.53,571.87,0
