Date,Open,High,Low,Close,Volume
2010-11-30,2390.36,2416.84,2368.51,2400.08,0
2010-12-01,2403.0,2444.68,2403.0,2427.73,0
2010-12-02,2427.73,2440.17,2412.92,2437.44,0
2010-12-03,2438.64,2452.85,2411.67,2448.81,0
2010-12-06,2450.32,2450.32,2435.7,2445.74,0
2010-12-07,2448.32,2478.87,2433.05,2436.0,0
2010-12-08,2436.15,2441.4,2412.26,2423.24,0
2010-12-09,2426.57,2438.7,2417.46,2433.18,0
2010-12-10,2433.4,2452.99,2426.8,2449.73,0
2010-12-13,2450.82,2456.27,2415.26,2416.51,0
2010-12-14,2416.4,2418.84,2398.93,2407.84,0
2010-12-15,2406.37,2425.35,2401.12,2406.81,0
2010-12-16,2408.03,2444.74,2406.12,2444.33,0
2010-12-17,2444.47,2458.52,2435.81,2455.92,0
2010-12-20,2455.92,2462.98,2443.19,2450.99,0
2010-12-21,2451.59,2460.05,2444.05,2457.66,0
2010-12-22,2458.33,2465.41,2447.95,2453.86,0
2010-12-23,2453.73,2481.51,2453.73,2471.98,0
2010-12-27,2469.59,2469.59,2442.32,2465.24,0
2010-12-28,2465.57,2470.7,2457.36,2460.44,0
2010-12-29,2461.29,2483.12,2461.29,2477.67,0
2010-12-30,2477.39,2496.25,2475.27,2491.85,0
2010-12-31,2490.34,2490.34,2469.19,2472.28,0
2011-01-03,2473.16,2505.31,2473.16,2491.82,0
2011-01-04,2492.55,2492.55,2434.76,2443.99,0
2011-01-05,2442.56,2455.93,2427.22,2444.13,0
2011-01-06,2444.49,2444.49,2405.61,2408.17,0
2011-01-07,2408.1,2419.72,2370.52,2400.62,0
2011-01-10,2400.62,2421.39,2384.72,2418.17,0
2011-01-11,2419.07,2427.13,2380.73,2391.96,0
2011-01-12,2392.77,2423.71,2392.77,2411.92,0
2011-01-13,2412.07,2412.74,2400.15,2405.1,0
2011-01-14,2405.1,2405.1,2390.7,2403.88,0
2011-01-18,2403.45,2406.2,2383.44,2398.41,0
2011-01-19,2398.26,2400.79,2371.28,2374.51,0
2011-01-20,2374.37,2423.57,2371.86,2399.51,0
2011-01-21,2400.0,2408.47,2383.07,2384.84,0
2011-01-24,2384.84,2395.95,2374.86,2393.02,0
2011-01-25,2393.02,2393.82,2363.35,2389.99,0
2011-01-26,2390.05,2405.13,2369.0,2391.14,0
2011-01-27,2391.21,2420.67,2391.21,2418.42,0
2011-01-28,2418.42,2418.42,2363.23,2367.78,0
2011-01-31,2368.26,2384.48,2352.68,2374.51,0
2011-02-01,2376.44,2418.86,2376.44,2405.24,0
2011-02-02,2405.24,2405.24,2359.21,2361.77,0
2011-02-03,2361.76,2427.98,2361.76,2423.79,0
2011-02-04,2423.79,2468.39,2423.79,2461.28,0
2011-02-07,2461.79,2487.91,2461.79,2472.09,0
2011-02-08,2471.8,2499.79,2468.06,2499.77,0
2011-02-09,2498.46,2519.59,2493.51,2503.54,0
2011-02-10,2501.61,2513.44,2484.39,2511.79,0
2011-02-11,2509.41,2537.33,2495.48,2537.03,0
2011-02-14,2537.2,2545.39,2517.34,2527.72,0
2011-02-15,2525.58,2533.22,2512.29,2517.77,0
2011-02-16,2517.77,2573.37,2517.77,2557.43,0
2011-02-17,2556.13,2571.25,2541.01,2559.04,0
2011-02-18,2559.35,2568.89,2551.29,2563.41,0
2011-02-22,2563.23,2567.45,2513.27,2517.1,0
2011-02-23,2516.54,2520.76,2437.42,2469.12,0
2011-02-24,2472.49,2509.39,2450.58,2481.05,0
2011-02-25,2481.05,2517.7,2478.54,2514.24,0
