Date,Open,High,Low,Close,Volume
2008-11-05,14.38,14.72,12.34,12.38,17683
2008-11-06,12.48,12.48,11.2,11.23,57059
2008-11-07,11.44,12.04,10.97,11.82,127032
2008-11-10,12.58,12.62,10.63,10.93,209350
2008-11-11,10.59,11.31,10.07,10.33,281020
2008-11-12,9.77,9.95,8.5,8.5,601389
2008-11-13,8.75,10.65,7.24,10.65,1354020
2008-11-14,9.94,10.28,8.16,8.23,1864063
2008-11-17,8.07,8.75,7.88,8.07,1296019
2008-11-18,8.15,8.45,6.93,7.92,1778149
2008-11-19,7.77,8.0,6.0,6.06,2742011
2008-11-20,5.84,6.28,4.75,4.79,4992789
2008-11-21,5.55,5.62,4.27,5.53,4755794
2008-11-24,5.87,6.93,5.6,6.68,3509975
2008-11-25,7.01,7.11,6.28,7.0,2862716
2008-11-26,6.57,8.32,6.52,8.25,3563016
2008-12-01,7.83,7.93,5.38,5.62,3729025
2008-12-02,5.97,6.53,5.61,6.46,3829670
2008-12-03,6.01,7.24,5.96,7.08,6931525
2008-12-04,6.74,7.49,6.02,6.41,5871796
2008-12-05,6.11,7.29,5.65,7.21,9258283
2008-12-08,7.79,8.39,7.65,8.15,7053400
2008-12-09,7.92,8.81,7.23,7.46,7068589
2008-12-10,7.7,8.31,7.52,7.96,5984653
2008-12-11,7.72,8.06,6.51,6.77,4955153
2008-12-12,6.22,7.5,6.18,7.42,10029281
2008-12-15,7.61,7.69,6.4,6.74,6432699
2008-12-16,7.12,8.06,7.08,7.96,6843053
2008-12-17,7.85,8.65,7.65,8.27,6907466
2008-12-18,8.27,8.7,7.53,8.07,5703650
2008-12-19,8.37,8.86,8.0,8.25,7057843
2008-12-22,8.34,8.36,6.93,7.7,6256980
2008-12-23,7.88,8.0,7.19,7.32,6557646
2008-12-24,7.39,7.55,7.13,7.44,2402950
2008-12-26,7.68,7.75,7.36,7.69,2157497
2008-12-29,7.66,7.75,6.98,7.27,4236031
2008-12-30,7.5,7.97,7.35,7.93,4712438
2008-12-31,8.01,9.04,7.97,8.52,6789372
2009-01-02,8.76,9.24,8.46,8.98,7262097
2009-01-05,9.14,9.34,8.57,9.15,6384165
2009-01-06,9.36,9.91,9.18,9.6,7977129
2009-01-07,9.01,9.14,8.34,8.72,6987294
2009-01-08,8.54,8.94,8.44,8.9,7885320
2009-01-09,8.91,8.93,7.75,7.88,9945716
2009-01-12,7.77,7.85,7.08,7.17,6065049
2009-01-13,7.12,7.58,7.02,7.45,7202149
2009-01-14,6.97,7.13,6.43,6.47,10053778
2009-01-15,6.51,7.02,5.88,6.84,14348902
2009-01-16,7.24,7.25,6.36,6.99,12177262
2009-01-20,6.73,6.88,5.6,5.61,11580000
2009-01-21,5.85,6.5,5.49,6.4,10251536
2009-01-22,6.01,6.37,5.55,5.87,14477384
2009-01-23,5.43,6.22,5.35,5.97,12207815
2009-01-26,5.95,6.55,5.88,6.13,12108874
2009-01-27,6.23,6.53,6.09,6.35,9517440
2009-01-28,6.74,7.22,6.69,7.08,11243784
