Date,Open,High,Low,Close,Volume
2019-11-07,25.23,29.1,24.54,24.54,3051
2019-11-08,24.64,24.9,24.35,24.89,2794
2019-11-11,24.7,24.7,24.4,24.69,4628
2019-11-12,24.8,25.3,24.77,24.77,4479
2019-11-13,24.63,24.63,24.35,24.52,4806
2019-11-14,24.36,24.49,24.3,24.49,825
2019-11-15,25.0,25.33,24.86,25.29,2602
2019-11-18,25.13,25.61,25.05,25.54,5444
2019-11-19,26.02,26.07,25.94,25.94,2082
2019-11-20,26.0,26.0,25.49,25.68,5130
2019-11-21,25.72,25.73,25.58,25.58,1094
2019-11-22,25.47,25.88,25.47,25.87,3071
2019-11-25,26.25,26.99,26.25,26.94,6393
2019-11-26,27.12,27.31,27.11,27.24,11971
2019-11-27,27.8,27.81,27.29,27.55,3802
2019-11-29,27.41,27.56,27.22,27.25,3724
2019-12-02,26.79,26.79,25.23,25.79,17914
2019-12-03,24.91,25.67,24.41,25.62,8215
2019-12-04,25.83,25.83,25.5,25.5,3674
2019-12-05,25.46,25.5,25.18,25.25,3214
2019-12-06,25.55,25.79,25.52,25.52,2488
2019-12-09,25.49,25.49,25.49,25.49,4
2019-12-10,25.28,25.28,24.93,24.98,1604
2019-12-11,25.01,25.27,24.99,25.21,3156
2019-12-12,25.5,25.81,25.39,25.71,3512
2019-12-13,25.7,26.3,25.7,25.82,2155
2019-12-16,27.0,27.32,26.48,27.32,4226
2019-12-17,27.05,27.05,26.5,26.76,2162
2019-12-18,27.06,27.36,27.06,27.06,2870
2019-12-19,27.4,27.82,27.39,27.8,7526
2019-12-20,29.52,29.52,27.54,27.54,2365
2019-12-23,27.94,28.19,27.82,27.92,3758
2019-12-24,27.96,28.0,27.96,28.0,3740
2019-12-26,28.31,28.67,28.31,28.5,5792
2019-12-27,29.0,29.0,28.26,28.35,15479
2019-12-30,27.45,27.77,27.26,27.44,6478
2019-12-31,27.49,27.82,27.49,27.82,1521
2020-01-02,28.52,29.18,28.52,29.18,4136
2020-01-03,28.5,29.0,28.41,28.58,10939
2020-01-06,28.0,29.73,27.94,29.73,5890
2020-01-07,30.12,30.12,29.7,29.81,4611
2020-01-08,30.32,31.05,30.07,30.64,5611
2020-01-09,31.43,31.56,30.91,31.32,13425
2020-01-10,31.25,31.41,30.87,30.95,6990
