Date,Open,High,Low,Close,Volume
1999-01-14,18.91,19.18,18.82,19.18,64900
1999-01-15,18.91,19.18,18.82,19.18,64900
1999-01-19,19.49,19.49,18.83,19.08,38900
1999-01-20,19.29,19.53,19.11,19.31,58500
1999-01-21,19.06,19.15,18.83,18.88,354300
1999-01-22,18.78,18.88,18.65,18.88,82600
1999-01-25,18.85,18.93,18.68,18.91,136000
1999-01-26,18.98,19.02,18.78,18.92,87100
1999-01-27,19.03,19.03,18.68,18.68,32800
1999-01-28,18.63,19.01,18.63,18.96,28500
1999-01-29,19.07,19.38,18.8,19.36,52900
1999-02-01,19.44,19.44,19.03,19.03,36300
1999-02-02,18.88,18.98,18.64,18.83,83900
1999-02-03,18.73,19.06,18.59,18.97,46500
1999-02-04,18.83,18.93,18.55,18.68,29900
1999-02-05,18.47,18.58,18.25,18.37,66100
1999-02-08,18.5,18.52,18.2,18.32,104400
1999-02-09,18.32,18.37,17.94,18.07,213000
1999-02-10,18.12,18.22,17.92,18.22,23200
1999-02-11,18.68,18.98,18.64,18.96,47700
1999-02-12,18.85,18.96,18.47,18.68,76900
1999-02-16,18.85,19.08,18.47,18.96,372300
1999-02-17,19.03,19.41,18.85,19.03,394000
1999-02-18,19.13,19.34,19.03,19.22,47600
1999-02-19,19.36,19.64,19.27,19.29,43500
1999-02-22,19.44,19.98,19.44,19.93,52100
1999-02-23,19.98,20.17,19.82,20.1,81600
1999-02-24,20.17,20.2,19.39,19.41,181300
1999-02-25,19.16,19.41,18.91,19.31,127600
1999-02-26,19.31,19.62,19.22,19.46,69100
1999-03-01,19.59,19.88,19.51,19.74,150200
1999-03-02,19.9,20.07,19.67,19.79,59800
1999-03-03,19.9,19.92,19.5,19.6,36000
1999-03-04,19.67,20.1,19.67,20.05,31200
1999-03-05,20.81,20.81,20.3,20.56,345000
1999-03-08,20.56,20.61,20.31,20.42,75300
1999-03-09,20.45,20.77,20.35,20.58,65100
1999-03-10,20.77,20.96,20.63,20.96,57800
1999-03-11,21.01,21.29,20.87,21.14,137000
1999-03-12,21.14,21.27,20.94,21.06,130500
1999-03-15,21.11,21.27,21.01,21.16,49000
1999-03-16,21.37,21.37,20.86,20.86,120800
1999-03-17,20.76,20.76,20.48,20.68,91100
1999-03-18,20.53,21.16,20.53,21.16,135400
1999-03-19,21.16,21.16,20.72,20.76,167700
1999-03-22,20.66,20.83,20.61,20.66,336500
1999-03-23,20.48,20.48,20.0,20.05,202700
1999-03-24,20.1,20.2,19.9,20.0,101200
1999-03-25,20.71,20.71,20.25,20.45,55100
1999-03-26,20.31,20.45,20.23,20.38,44200
1999-03-29,20.58,20.8,20.53,20.73,44500
1999-03-30,20.58,20.63,20.39,20.49,107000
1999-03-31,20.61,20.61,20.17,20.49,72700
1999-04-01,20.2,20.33,20.15,20.28,34100
1999-04-05,20.61,20.78,20.58,20.71,55400
1999-04-06,20.83,20.83,20.5,20.56,103200
1999-04-07,20.75,21.21,20.56,20.56,211600
1999-04-08,21.32,21.54,21.27,21.49,122400
1999-04-09,21.42,21.57,21.21,21.49,93800
1999-04-12,21.32,21.85,21.29,21.82,122600
1999-04-13,22.03,22.08,21.75,21.8,139000
1999-04-14,21.93,22.1,21.52,21.52,86800
1999-04-15,21.65,21.65,21.19,21.32,74000
1999-04-16,21.42,21.42,21.04,21.21,49600
1999-04-19,21.62,21.95,21.21,21.21,81400
1999-04-20,21.62,21.95,21.32,21.49,53700
1999-04-21,21.52,21.82,21.49,21.82,52800
1999-04-22,21.9,22.1,21.82,22.03,43900
1999-04-23,22.18,22.18,21.82,21.98,117400
1999-04-26,22.0,22.0,21.58,21.65,133300
1999-04-27,21.84,22.1,21.65,22.03,51900
1999-04-28,22.05,22.15,21.8,21.9,136700
1999-04-29,21.9,22.2,21.87,21.98,62100
1999-04-30,21.98,22.05,21.29,21.65,320600
1999-05-03,21.62,21.93,21.49,21.93,195100
1999-05-04,21.77,21.87,21.24,21.34,274800
1999-05-05,21.28,21.42,20.96,21.37,172200
1999-05-06,21.14,21.34,20.91,21.01,153000
1999-05-07,21.29,21.54,21.25,21.42,628900
1999-05-10,21.57,21.65,21.29,21.34,39200
1999-05-11,21.6,21.87,21.52,21.6,39300
1999-05-12,21.54,21.93,21.42,21.9,24400
1999-05-13,21.93,22.15,21.93,22.1,25000
1999-05-14,21.62,21.62,21.16,21.42,134400
1999-05-17,21.11,21.24,20.78,21.14,173000
1999-05-18,21.16,21.34,20.73,21.06,124800
1999-05-19,21.11,21.21,20.94,21.19,61000
1999-05-20,21.19,21.34,20.94,20.94,133500
1999-05-21,20.88,21.01,20.72,20.88,71600
1999-05-24,20.58,20.68,20.2,20.43,413900
1999-05-25,20.3,20.42,19.9,19.9,67000
1999-05-26,20.0,20.54,19.79,20.54,173400
1999-05-27,20.36,20.36,19.96,20.05,37700
1999-05-28,20.2,20.43,20.06,20.36,33900
1999-06-01,20.25,20.35,19.84,20.07,197700
1999-06-02,20.0,20.1,19.62,19.95,36700
1999-06-03,20.2,20.2,19.87,19.93,58200
1999-06-04,20.17,20.38,20.05,20.3,71500
1999-06-07,20.43,20.71,20.35,20.68,44800
1999-06-08,20.63,20.63,20.31,20.31,186900
1999-06-09,20.38,20.57,20.19,20.26,29500
1999-06-10,20.02,20.02,19.74,19.88,92100
1999-06-11,19.92,20.2,19.77,19.92,78100
1999-06-14,20.0,20.0,19.74,19.77,16700
1999-06-15,19.95,20.07,19.84,19.92,119300
1999-06-16,20.4,20.62,20.38,20.44,160100
1999-06-17,20.53,20.88,20.5,20.83,143900
1999-06-18,20.66,20.86,20.64,20.81,47100
1999-06-21,20.88,20.96,20.71,20.94,103800
1999-06-22,20.91,20.94,20.71,20.71,63000
1999-06-23,20.71,20.71,20.33,20.5,29200
1999-06-24,20.43,20.43,19.97,20.17,47200
1999-06-25,20.3,20.35,20.17,20.17,72900
1999-06-28,20.36,20.76,20.36,20.69,45700
1999-06-29,20.63,20.86,20.5,20.76,35100
1999-06-30,20.86,21.37,20.53,21.19,119100
1999-07-01,20.94,21.42,20.94,21.42,161200
1999-07-02,21.32,21.62,21.32,21.42,51100
1999-07-06,21.47,21.77,21.47,21.6,98900
1999-07-07,21.42,21.62,21.39,21.49,66600
1999-07-08,21.37,21.65,21.29,21.44,41700
1999-07-09,21.43,21.57,21.34,21.47,55500
1999-07-12,21.43,21.52,21.29,21.29,61000
1999-07-13,21.01,21.19,21.01,21.06,20800
1999-07-14,21.01,21.19,20.99,21.11,455000
1999-07-15,21.32,21.32,21.19,21.3,128700
1999-07-16,21.29,21.49,21.11,21.49,8900
1999-07-19,21.52,21.52,21.27,21.27,111200
1999-07-20,21.19,21.34,20.96,21.0,33800
1999-07-21,21.09,21.09,20.66,20.76,40800
1999-07-22,20.68,21.04,20.63,20.78,46100
1999-07-23,20.88,20.88,20.35,20.78,54300
1999-07-26,20.35,20.76,20.35,20.63,103100
1999-07-27,20.86,20.99,20.71,20.91,49400
1999-07-28,20.76,20.91,20.63,20.66,33900
1999-07-29,20.38,20.48,20.2,20.35,106900
1999-07-30,20.25,20.35,19.87,19.9,269700
1999-08-02,20.0,20.23,19.74,19.74,164300
1999-08-03,19.84,19.84,19.44,19.54,439700
1999-08-04,19.54,19.79,19.24,19.29,121700
1999-08-05,19.18,19.39,18.89,19.36,116800
1999-08-06,19.18,19.24,18.7,18.85,117900
1999-08-09,18.82,19.11,18.82,18.91,183700
1999-08-10,18.91,18.91,18.47,18.58,150200
1999-08-11,18.85,19.02,18.72,18.93,272400
1999-08-12,19.08,19.27,18.96,18.96,122100
1999-08-13,19.41,19.69,19.35,19.64,100600
1999-08-16,19.62,19.67,19.46,19.57,61900
1999-08-17,19.97,20.28,19.95,20.28,107700
1999-08-18,20.12,20.17,19.92,20.06,151300
1999-08-19,19.79,20.0,19.76,19.79,24600
1999-08-20,19.87,20.1,19.82,20.07,33400
1999-08-23,20.3,20.61,20.3,20.61,55000
1999-08-24,20.56,20.95,20.43,20.66,168200
1999-08-25,20.12,20.5,20.0,20.49,189300
1999-08-26,20.57,20.57,20.02,20.02,233900
1999-08-27,20.0,20.02,19.69,19.69,214500
1999-08-30,19.73,19.73,19.01,19.05,144700
1999-08-31,19.08,19.24,18.83,19.02,247500
1999-09-01,19.11,19.11,18.88,19.11,119700
1999-09-02,18.74,18.88,18.65,18.74,394000
1999-09-03,19.45,19.68,19.45,19.69,320500
1999-09-07,19.58,19.59,19.16,19.16,31400
1999-09-08,18.97,19.29,18.91,19.03,496000
1999-09-09,18.97,19.29,18.58,18.74,58100
1999-09-10,18.96,19.08,18.83,18.94,118800
1999-09-13,18.8,18.91,18.73,18.77,40600
1999-09-14,18.52,18.55,18.35,18.42,272000
1999-09-15,18.7,18.73,18.27,18.33,326500
1999-09-16,18.41,18.41,18.07,18.27,157300
1999-09-17,18.44,18.63,18.35,18.6,343600
1999-09-20,18.5,18.5,18.35,18.39,102400
1999-09-21,18.16,18.3,18.0,18.03,329500
1999-09-22,18.07,18.14,17.8,18.08,110500
1999-09-23,18.12,18.3,17.8,17.84,192200
1999-09-24,17.84,18.09,17.81,18.07,122200
