Date,Open,High,Low,Close,Volume
1999-01-15,34.0,34.8,33.84,34.78,585400
1999-01-19,35.63,36.0,35.02,35.98,394200
1999-01-20,36.88,37.48,36.25,36.31,990400
1999-01-21,36.25,36.31,35.16,35.38,1393700
1999-01-22,34.75,35.41,34.39,35.38,1087700
1999-01-25,35.19,35.38,34.63,35.36,868200
1999-01-26,35.75,36.81,35.75,36.78,602700
1999-01-27,37.25,37.48,36.03,36.03,1153900
1999-01-28,36.75,37.28,36.61,37.27,777600
1999-01-29,37.38,37.81,36.97,37.78,802500
1999-02-01,38.16,38.38,37.56,37.84,821100
1999-02-02,38.0,38.0,36.63,37.2,1122000
1999-02-03,38.06,38.06,36.88,37.47,1224100
1999-02-04,37.75,37.75,35.88,36.06,1776800
1999-02-05,36.0,36.22,34.75,35.31,1584100
1999-02-08,35.81,36.09,35.14,35.91,1098200
1999-02-09,36.0,36.03,34.31,34.34,1957100
1999-02-10,35.41,35.41,34.27,34.75,1243000
1999-02-11,35.53,36.25,35.53,36.22,2473800
1999-02-12,35.38,35.78,34.63,34.84,2636900
1999-02-16,35.75,35.78,34.53,34.84,1536000
1999-02-17,34.97,34.97,33.67,33.84,2590300
1999-02-18,34.31,34.41,33.34,34.03,1817700
1999-02-19,34.63,34.88,34.16,34.34,1540800
1999-02-22,34.59,35.66,34.34,35.63,2168400
1999-02-23,36.0,36.47,35.78,36.03,1780300
1999-02-24,36.38,36.44,34.13,35.03,2313000
1999-02-25,34.38,35.13,34.22,35.13,2342700
1999-02-26,35.06,35.13,33.78,34.06,2133500
1999-03-01,33.63,34.16,33.44,33.91,905100
1999-03-02,34.19,34.48,33.0,33.0,2274700
1999-03-03,33.5,33.69,32.88,33.56,1362200
1999-03-04,34.36,34.44,33.19,33.91,2920900
1999-03-05,34.88,35.0,34.27,34.69,1564100
1999-03-08,35.5,35.72,35.06,35.69,1416500
1999-03-09,35.5,36.17,35.19,35.31,670100
1999-03-10,35.31,35.53,34.89,35.31,343900
1999-03-11,35.5,35.86,34.94,35.25,886200
1999-03-12,35.56,35.56,34.56,34.94,745900
1999-03-15,35.06,35.5,34.69,35.5,322300
1999-03-16,35.53,36.23,35.44,36.11,583800
1999-03-17,36.09,36.11,35.63,35.88,311000
1999-03-18,35.75,36.38,35.64,36.38,195200
