Date,Open,High,Low,Close,Volume
1998-12-22,25.31,25.47,25.31,25.47,3700
1998-12-23,25.5,25.75,25.47,25.58,12000
1998-12-24,25.94,26.05,25.81,26.05,1600
1998-12-28,25.92,25.94,25.81,25.81,8600
1998-12-29,25.89,26.38,25.89,26.38,1100
1998-12-30,26.36,26.41,26.16,26.16,31700
1998-12-31,26.16,26.25,26.13,26.13,32400
1999-01-04,26.16,26.53,25.91,25.97,5200
1999-01-05,26.13,26.41,26.13,26.41,1300
1999-01-06,26.72,27.16,26.72,27.16,8100
1999-01-07,27.03,27.31,27.0,27.13,13700
1999-01-08,27.28,27.41,27.11,27.16,18600
1999-01-11,27.25,27.28,26.8,27.02,63100
1999-01-12,26.61,26.69,26.28,26.31,3300
1999-01-13,25.69,26.44,25.69,26.44,3400
1999-01-14,26.19,26.31,25.72,25.84,36600
1999-01-15,26.19,26.2,26.05,26.17,34800
1999-01-19,26.47,26.58,26.16,26.16,4000
1999-01-20,26.53,26.84,26.42,26.59,3500
1999-01-21,26.53,26.56,26.28,26.34,31400
1999-01-22,25.94,26.55,25.88,26.47,12300
1999-01-25,26.34,26.47,26.22,26.41,6100
1999-01-26,26.56,27.03,26.48,27.03,3600
1999-01-27,27.06,27.13,27.0,27.0,1700
1999-01-28,27.06,27.28,27.06,27.28,3800
1999-01-29,27.38,27.56,27.19,27.47,6400
1999-02-01,27.59,27.61,27.44,27.53,6100
1999-02-02,27.31,27.31,26.94,27.19,20900
1999-02-03,27.13,27.66,27.09,27.63,23100
1999-02-04,27.8,27.83,27.44,27.47,18800
1999-02-05,27.19,27.36,26.78,26.78,5200
1999-02-08,27.02,27.22,26.67,27.22,8200
1999-02-09,26.88,26.91,26.38,26.38,8900
1999-02-10,26.34,26.53,26.22,26.38,7200
1999-02-11,26.53,27.27,26.45,27.23,12200
1999-02-12,26.88,26.91,26.58,26.75,5500
1999-02-16,26.98,27.25,26.97,27.09,9300
1999-02-17,27.16,27.55,27.0,27.0,14700
1999-02-18,27.0,27.03,26.77,27.03,3500
1999-02-19,27.06,27.17,26.98,27.17,900
1999-02-22,27.25,27.86,27.25,27.86,13700
1999-02-23,27.88,27.91,27.5,27.72,6800
1999-02-24,27.91,28.09,27.38,27.38,9000
1999-02-25,27.31,27.34,26.66,27.06,19100
1999-02-26,27.03,27.41,27.03,27.3,8500
1999-03-01,27.22,27.31,27.06,27.31,6300
1999-03-02,27.38,27.7,27.38,27.38,17300
1999-03-03,27.41,27.45,27.23,27.23,1000
1999-03-04,27.84,27.91,27.56,27.81,4000
1999-03-05,28.44,28.84,28.44,28.66,15900
1999-03-08,28.88,28.88,28.41,28.78,10600
1999-03-09,28.72,29.03,28.64,28.86,11000
1999-03-10,28.88,28.92,28.72,28.78,5600
1999-03-11,29.0,29.27,28.92,29.09,13100
1999-03-12,29.41,29.56,28.5,29.22,13700
1999-03-15,29.19,29.3,29.0,29.28,5900
1999-03-16,29.47,29.47,29.0,29.13,6200
1999-03-17,29.09,29.09,28.72,29.0,5500
1999-03-18,28.81,29.5,28.81,29.5,4500
1999-03-19,29.47,29.47,29.06,29.06,13100
1999-03-22,29.0,29.0,28.63,28.75,17100
1999-03-23,28.53,28.53,27.81,27.88,9800
1999-03-24,28.0,28.0,27.59,27.66,12200
1999-03-25,28.09,28.5,27.94,28.5,10200
1999-03-26,28.44,28.56,28.19,28.31,6000
1999-03-29,28.8,29.0,28.73,29.0,4300
1999-03-30,28.88,29.09,28.78,29.03,36000
1999-03-31,29.19,29.22,28.59,28.59,24400
1999-04-01,28.75,28.75,28.39,28.56,4100
1999-04-05,28.75,29.03,28.66,28.94,9600
1999-04-06,29.05,29.28,28.94,29.09,10900
1999-04-07,29.33,29.41,29.25,29.34,13600
1999-04-08,29.44,30.0,29.44,30.0,20700
1999-04-09,29.88,30.33,29.88,30.28,72900
1999-04-12,29.81,30.66,29.81,30.53,20100
1999-04-13,30.63,30.66,30.22,30.38,32100
1999-04-14,30.38,30.44,29.69,29.69,31900
1999-04-15,29.88,29.94,29.19,29.63,35800
1999-04-16,29.63,29.75,29.41,29.72,11600
1999-04-19,30.19,30.56,28.97,29.06,29400
1999-04-20,29.25,29.56,29.16,29.44,15600
1999-04-21,29.63,29.94,29.47,29.94,45100
1999-04-22,30.09,30.31,29.88,30.02,34800
1999-04-23,30.13,30.41,30.13,30.34,2000
1999-04-26,30.47,30.5,30.16,30.16,94400
1999-04-27,30.34,30.38,30.13,30.23,2900
1999-04-28,30.41,30.59,30.13,30.13,6000
1999-04-29,29.88,30.09,29.31,29.44,17900
1999-04-30,29.72,29.78,28.47,29.34,31100
1999-05-03,29.41,30.09,29.41,30.06,8900
1999-05-04,30.41,30.44,29.53,29.72,185200
1999-05-05,29.78,29.78,29.0,29.47,49700
1999-05-06,29.19,29.31,28.81,28.81,10500
1999-05-07,29.16,29.47,29.13,29.47,25600
1999-05-10,29.56,29.91,29.25,29.44,15800
1999-05-11,29.72,30.22,29.72,30.03,31100
1999-05-12,30.06,30.22,29.69,30.22,12500
1999-05-13,30.41,30.41,29.88,30.06,11000
1999-05-14,29.38,29.63,29.34,29.47,10200
1999-05-17,29.0,29.16,28.56,28.88,7100
1999-05-18,29.09,29.53,29.06,29.06,3200
1999-05-19,29.34,29.34,28.72,28.72,700
1999-05-20,29.13,29.19,28.97,28.97,5900
1999-05-21,28.94,28.94,28.75,28.78,3600
1999-05-24,28.72,28.88,28.16,28.16,3200
1999-05-25,28.56,28.59,27.88,27.88,5600
1999-05-26,28.16,28.19,27.81,28.19,5100
1999-05-27,28.0,28.03,27.63,27.63,11900
1999-05-28,27.84,28.19,27.84,28.02,1100
1999-06-01,28.06,28.19,27.77,28.19,27200
1999-06-02,28.5,28.53,28.13,28.13,6400
1999-06-03,28.84,28.88,28.66,28.78,3900
1999-06-04,29.16,29.16,28.88,29.0,4900
1999-06-07,28.88,29.13,28.88,29.08,2800
1999-06-08,28.97,29.0,28.64,28.64,4200
1999-06-09,28.53,28.59,28.36,28.36,3700
1999-06-10,28.22,28.22,27.89,27.95,7800
1999-06-11,28.09,28.25,27.77,27.81,1700
1999-06-14,28.06,28.13,27.84,27.84,1200
1999-06-15,27.88,27.88,27.63,27.66,2600
1999-06-16,28.19,28.45,28.16,28.41,16800
1999-06-17,28.34,28.41,28.25,28.27,3200
1999-06-18,28.19,28.47,28.16,28.44,4500
1999-06-21,28.59,28.94,28.59,28.94,3900
1999-06-22,28.81,28.88,28.66,28.75,2800
1999-06-23,28.56,28.56,28.16,28.34,3100
1999-06-24,28.25,28.28,27.88,28.28,4700
1999-06-25,28.38,28.38,28.16,28.19,900
1999-06-28,28.28,28.81,28.28,28.73,2100
1999-06-29,28.86,29.22,28.86,29.22,7600
1999-06-30,28.97,29.78,28.97,29.78,9900
1999-07-01,29.56,29.94,29.56,29.94,2000
1999-07-02,29.81,30.25,29.81,30.09,7800
1999-07-06,30.19,30.58,30.16,30.34,17000
1999-07-07,30.22,30.25,30.06,30.06,20000
1999-07-08,29.72,30.13,29.72,29.81,4200
1999-07-09,29.84,30.0,29.81,29.81,16000
1999-07-12,29.84,29.84,29.61,29.63,3100
1999-07-13,29.59,29.63,29.34,29.41,20400
1999-07-14,29.5,29.63,29.41,29.47,20100
1999-07-15,29.84,29.97,29.72,29.86,108400
1999-07-16,29.94,30.03,29.81,30.03,2300
1999-07-19,30.06,30.06,29.81,29.97,5000
1999-07-20,29.75,29.81,29.19,29.19,22700
1999-07-21,29.38,29.39,28.91,28.91,8400
1999-07-22,28.88,29.0,28.44,28.53,10700
1999-07-23,28.53,28.53,28.31,28.31,1500
1999-07-26,28.16,28.66,28.16,28.47,27100
1999-07-27,28.75,28.75,28.41,28.63,23900
1999-07-28,28.44,28.66,28.31,28.53,2100
1999-07-29,28.31,28.31,27.69,28.09,7100
1999-07-30,27.84,27.84,27.44,27.56,14500
1999-08-02,27.66,27.84,27.36,27.36,157800
1999-08-03,27.56,27.56,27.0,27.02,9000
1999-08-04,27.09,27.09,26.47,26.47,2400
1999-08-05,26.28,26.28,25.81,26.23,49400
1999-08-06,26.06,26.27,25.84,26.03,12100
1999-08-09,26.13,26.13,25.56,25.69,1400
1999-08-10,25.55,25.75,25.16,25.69,6800
1999-08-11,26.13,26.28,26.11,26.25,3000
1999-08-12,26.56,26.78,26.56,26.56,5200
1999-08-13,26.88,27.09,26.88,27.09,6700
1999-08-16,27.06,27.47,26.97,27.47,11000
1999-08-17,27.69,27.69,27.25,27.41,23900
1999-08-18,27.38,27.59,27.31,27.31,3900
1999-08-19,27.16,27.16,26.86,27.08,4400
1999-08-20,27.34,27.38,27.27,27.38,2200
1999-08-23,27.73,27.84,27.67,27.81,2900
1999-08-24,27.88,27.97,27.59,27.78,8200
1999-08-25,27.63,28.06,27.5,28.06,3000
1999-08-26,28.0,28.0,27.47,27.52,20100
1999-08-27,27.53,27.53,27.19,27.41,3300
1999-08-30,27.19,27.2,26.81,26.81,6100
1999-08-31,26.44,26.5,26.09,26.5,2300
1999-09-01,26.64,26.69,26.53,26.53,900
1999-09-02,26.0,26.25,26.0,26.22,19900
1999-09-03,26.84,26.94,26.66,26.94,5000
1999-09-07,26.63,26.81,26.48,26.52,32200
1999-09-08,26.23,26.55,26.23,26.38,5500
1999-09-09,26.63,26.63,26.38,26.47,5100
1999-09-10,26.89,27.05,26.8,26.97,15500
1999-09-13,26.84,26.89,26.77,26.89,1200
1999-09-14,26.67,26.86,26.67,26.75,1600
1999-09-15,26.84,26.94,26.52,26.52,2500
1999-09-16,26.08,26.08,25.67,25.95,5800
1999-09-17,26.06,26.34,26.06,26.28,1700
1999-09-20,26.2,26.3,26.13,26.25,4900
1999-09-21,25.89,25.91,25.66,25.66,5500
1999-09-22,25.8,25.94,25.75,25.94,13300
1999-09-23,26.02,26.08,25.83,26.06,6000
1999-09-24,25.59,25.81,25.53,25.53,5400
1999-09-27,25.95,26.02,25.84,25.97,4100
1999-09-28,25.8,25.89,25.34,25.89,6200
1999-09-29,25.73,25.81,25.7,25.7,1700
1999-09-30,25.78,26.31,25.78,26.08,75100
1999-10-01,26.22,26.34,26.05,26.22,1600
1999-10-04,26.56,27.08,26.56,27.06,6100
1999-10-05,27.34,27.59,26.86,27.11,7900
1999-10-06,27.17,27.59,26.95,27.41,8600
1999-10-07,27.5,27.61,27.33,27.33,3300
1999-10-08,27.91,28.11,27.78,28.11,77900
1999-10-11,27.25,28.39,27.25,28.31,104200
1999-10-12,28.0,28.0,27.73,27.73,8700
1999-10-13,27.63,27.75,27.41,27.41,2900
1999-10-14,26.75,27.11,26.63,27.02,5000
1999-10-15,26.5,26.66,26.33,26.33,4400
1999-10-18,26.3,26.5,25.91,26.5,7800
1999-10-19,26.84,27.16,26.67,26.77,5200
1999-10-20,26.73,27.23,26.7,27.23,46700
1999-10-21,26.78,27.0,26.73,27.0,1500
1999-10-22,27.33,27.8,27.28,27.7,4600
1999-10-25,27.16,27.47,27.16,27.22,2200
1999-10-26,27.31,27.31,26.3,26.55,19100
1999-10-27,26.5,26.63,26.22,26.63,15000
1999-10-28,27.13,27.75,27.13,27.63,8200
1999-10-29,28.63,29.06,28.39,28.39,12300
1999-11-01,28.5,28.63,28.19,28.19,12700
1999-11-02,28.05,28.55,27.98,27.98,3300
1999-11-03,28.06,28.09,27.75,27.75,2600
1999-11-04,27.94,28.13,27.94,28.09,14500
1999-11-05,28.36,28.5,28.2,28.28,5600
1999-11-08,28.22,28.38,28.19,28.19,2000
1999-11-09,28.06,28.06,27.78,27.89,11900
1999-11-10,28.08,28.2,28.0,28.0,3400
1999-11-11,28.06,28.22,28.03,28.06,4800
1999-11-12,28.56,28.72,28.22,28.72,7900
1999-11-15,28.47,29.03,28.47,28.77,6200
1999-11-16,28.88,29.13,28.69,28.89,5100
1999-11-17,28.97,29.09,28.63,28.64,13500
1999-11-18,28.83,28.83,28.61,28.77,2100
1999-11-19,28.67,28.72,28.45,28.5,14700
1999-11-22,28.13,28.22,28.09,28.17,1300
1999-11-23,28.09,28.13,27.89,28.06,6500
1999-11-24,28.0,28.28,27.95,28.22,4200
1999-11-26,28.22,28.56,28.22,28.56,6000
1999-11-29,28.47,28.88,28.47,28.81,6400
1999-11-30,28.86,28.97,28.41,28.41,6900
1999-12-01,28.75,28.86,28.67,28.75,6800
1999-12-02,28.63,28.63,28.39,28.63,132700
1999-12-03,28.89,29.19,28.88,28.95,8800
1999-12-06,28.97,29.22,28.75,29.0,11900
1999-12-07,28.78,28.91,28.52,28.52,4900
1999-12-08,28.44,28.69,28.25,28.36,6700
1999-12-09,29.23,29.23,28.22,28.31,13700
1999-12-10,28.94,29.09,28.91,29.09,16100
1999-12-13,29.38,29.97,29.38,29.97,3700
1999-12-14,29.91,30.0,29.56,29.58,20900
1999-12-15,29.38,29.73,29.38,29.72,600
1999-12-16,29.94,30.38,29.86,30.38,8500
1999-12-17,30.34,30.41,30.11,30.19,753900
1999-12-20,30.03,30.14,29.23,29.31,878100
1999-12-21,29.31,29.5,29.28,29.44,595200
1999-12-22,29.47,29.52,29.28,29.5,553500
1999-12-23,29.59,30.19,29.59,30.08,177600
1999-12-27,30.53,30.56,30.31,30.38,1388800
1999-12-28,30.22,30.84,30.22,30.69,9800
1999-12-29,30.61,30.81,30.61,30.81,800
1999-12-30,30.53,30.97,30.53,30.72,2000
1999-12-31,30.97,31.09,30.81,31.06,19100
2000-01-03,31.0,31.0,29.86,30.13,205900
2000-01-04,29.69,29.81,29.03,29.22,165200
2000-01-05,29.34,29.34,28.72,28.86,124600
2000-01-06,29.05,29.41,29.0,29.19,135800
2000-01-07,29.5,30.56,29.5,30.56,64500
2000-01-10,30.53,30.59,30.16,30.41,41900
2000-01-11,30.5,30.63,30.09,30.23,29600
2000-01-12,30.31,30.31,29.94,30.06,53100
2000-01-13,30.22,30.31,29.95,30.22,70600
2000-01-14,30.25,30.33,30.14,30.14,101800
2000-01-18,30.0,30.13,29.66,29.97,53800
2000-01-19,29.95,30.27,29.91,29.91,113800
2000-01-20,30.06,30.06,29.34,29.5,148300
2000-01-21,29.53,29.53,28.89,28.89,166000
2000-01-24,29.09,29.13,27.81,27.81,5100
2000-01-25,27.91,28.06,27.63,27.98,63000
2000-01-26,27.72,28.2,27.72,28.19,38100
2000-01-27,28.41,28.41,27.66,28.11,119100
2000-01-28,27.66,27.77,26.91,27.0,12400
2000-01-31,26.88,27.2,26.88,27.2,10800
2000-02-01,27.44,28.19,27.44,28.19,126600
2000-02-02,28.25,28.28,28.0,28.0,3400
2000-02-03,28.28,28.28,28.03,28.11,26200
2000-02-04,28.36,28.36,28.0,28.06,23100
2000-02-07,27.88,27.88,27.47,27.47,17700
2000-02-08,27.69,28.27,27.69,28.09,205700
2000-02-09,28.19,28.19,27.58,27.63,27000
2000-02-10,27.67,27.67,27.28,27.38,10100
2000-02-11,27.55,27.55,26.77,26.98,30100
2000-02-14,26.97,27.31,26.97,27.13,2000
2000-02-15,27.16,27.19,26.75,27.19,6800
2000-02-16,27.0,27.0,26.13,26.13,14800
2000-02-17,26.31,26.31,25.25,25.38,67000
2000-02-18,25.23,25.33,24.83,25.0,5200
2000-02-22,25.34,25.38,24.78,25.06,70700
2000-02-23,25.31,25.31,24.84,24.98,341700
2000-02-24,24.78,24.78,23.89,24.19,106200
2000-02-25,24.19,24.66,24.19,24.28,31300
2000-02-28,24.69,25.22,24.52,25.16,259700
2000-02-29,25.44,25.84,25.44,25.69,17600
2000-03-01,25.7,25.7,25.19,25.39,345700
2000-03-02,25.66,25.69,25.33,25.36,208600
2000-03-03,25.75,26.0,25.64,25.83,208000
2000-03-06,25.58,25.63,25.0,25.22,600200
2000-03-07,25.13,25.13,24.33,24.52,6300
2000-03-08,24.09,24.91,24.03,24.81,172200
2000-03-09,24.52,25.34,24.28,25.31,306400
2000-03-10,25.09,25.3,24.88,24.97,440300
