Date,Open,High,Low,Close,Volume
2011-06-15,4.97,4.97,4.97,4.97,1000
2011-06-16,4.84,4.84,4.78,4.78,500
2011-06-17,4.91,4.91,4.91,4.91,100
2011-06-20,4.94,4.96,4.94,4.96,200
2011-06-21,5.05,5.06,5.05,5.06,600
2011-06-22,5.08,5.1,5.04,5.04,7183
2011-06-23,5.0,5.0,4.82,4.82,1450
2011-06-24,4.85,4.86,4.83,4.86,750
2011-06-27,4.86,4.89,4.84,4.89,6513
2011-06-28,5.11,5.11,5.09,5.09,550
2011-06-29,5.14,5.14,5.08,5.13,3650
2011-06-30,5.18,5.2,5.15,5.17,2620
2011-07-01,5.28,5.37,5.28,5.37,2400
2011-07-05,5.37,5.37,5.29,5.3,1920
2011-07-06,5.35,5.35,5.35,5.35,100
2011-07-07,5.32,5.33,5.32,5.33,800
2011-07-08,5.22,5.27,5.21,5.27,895
2011-07-11,5.13,5.14,5.04,5.04,13820
2011-07-12,5.08,5.14,5.08,5.11,2800
2011-07-13,5.16,5.26,5.11,5.11,3107
2011-07-14,5.11,5.11,5.1,5.1,1100
2011-07-15,5.14,5.14,5.01,5.01,1730
2011-07-18,4.94,4.97,4.82,4.84,1959
2011-07-19,4.9,5.0,4.9,4.99,737
2011-07-20,4.98,5.02,4.98,5.02,2000
2011-07-21,5.12,5.24,5.09,5.21,15238
2011-07-22,5.19,5.19,5.13,5.16,2400
2011-07-25,5.04,5.09,5.04,5.07,2214
2011-07-26,4.92,4.96,4.88,4.88,4400
2011-07-27,4.76,4.78,4.65,4.66,4100
2011-07-28,4.65,4.76,4.65,4.65,3550
2011-07-29,4.5,4.62,4.43,4.59,2850
2011-08-01,4.69,4.69,4.19,4.29,4609
2011-08-02,4.25,4.26,4.06,4.06,3751
2011-08-03,4.05,4.06,3.87,4.06,9500
2011-08-04,3.76,3.88,3.59,3.59,2500
2011-08-05,3.69,3.75,3.46,3.7,5200
2011-08-08,3.54,3.54,3.22,3.23,5401
2011-08-09,3.27,3.31,2.95,3.04,4710
2011-08-10,3.18,3.18,3.18,3.18,400
2011-08-11,3.04,3.51,3.04,3.44,2500
2011-08-12,3.52,3.6,3.49,3.5,3480
2011-08-15,3.63,3.71,3.54,3.71,4980
2011-08-16,3.63,3.75,3.62,3.75,800
2011-08-17,3.7,3.78,3.66,3.66,880
2011-08-18,3.43,3.43,3.26,3.32,5050
2011-08-19,3.28,3.38,3.28,3.35,2400
2011-08-22,3.44,3.44,3.3,3.3,2700
2011-08-23,3.32,3.61,3.32,3.57,2200
2011-08-24,3.64,3.74,3.63,3.74,3900
2011-08-25,3.74,3.74,3.53,3.56,1950
2011-08-26,3.48,3.69,3.44,3.69,2601
2011-08-29,3.8,3.96,3.8,3.96,3650
2011-08-30,3.94,4.06,3.88,4.06,3480
2011-08-31,4.13,4.13,4.0,4.03,2700
2011-09-01,4.09,4.19,4.01,4.01,3401
2011-09-02,3.8,3.91,3.74,3.74,3850
2011-09-06,3.56,3.77,3.52,3.69,5356
2011-09-07,3.87,4.03,3.79,4.03,2740
2011-09-08,4.07,4.07,3.91,3.91,4900
2011-09-09,3.78,3.78,3.56,3.56,2575
2011-09-12,3.43,3.48,3.43,3.47,1375
2011-09-13,3.68,3.68,3.59,3.68,4200
2011-09-14,3.73,3.9,3.65,3.9,1325
2011-09-15,3.82,3.9,3.82,3.9,3552
2011-09-16,3.94,4.0,3.94,3.96,10800
2011-09-19,3.79,3.87,3.77,3.87,2100
2011-09-20,4.0,4.07,3.96,3.96,4513
2011-09-21,3.85,3.9,3.68,3.68,3650
2011-09-22,3.4,3.49,3.31,3.41,8974
2011-09-23,3.35,3.45,3.35,3.43,2770
2011-09-26,3.49,3.57,3.43,3.57,1830
2011-09-27,3.79,3.88,3.78,3.81,3755
2011-09-28,3.72,3.75,3.66,3.66,1000
2011-09-29,3.71,3.71,3.45,3.67,1425
2011-09-30,3.59,3.59,3.54,3.56,450
2011-10-03,3.43,3.54,3.18,3.18,5100
2011-10-04,3.08,3.11,2.98,2.98,6387
2011-10-05,3.24,3.43,3.24,3.43,3555
2011-10-06,3.44,3.53,3.39,3.53,4400
2011-10-07,3.54,3.59,3.51,3.54,4130
2011-10-10,3.64,3.78,3.64,3.73,2600
2011-10-11,3.73,3.75,3.73,3.75,970
2011-10-12,3.79,3.86,3.79,3.83,1250
2011-10-13,3.71,3.76,3.69,3.75,800
2011-10-14,3.88,3.88,3.8,3.85,2000
2011-10-17,3.75,3.75,3.69,3.69,1350
2011-10-18,3.56,3.72,3.56,3.72,700
2011-10-19,3.82,3.83,3.69,3.69,7150
2011-10-20,3.73,3.75,3.62,3.69,9700
2011-10-21,3.87,3.91,3.85,3.91,3060
2011-10-24,4.0,4.09,4.0,4.09,7225
2011-10-25,4.01,4.04,3.93,3.93,1100
2011-10-26,3.91,4.03,3.91,4.03,570
2011-10-27,4.22,4.3,4.17,4.25,7080
2011-10-28,4.28,4.33,4.28,4.33,2965
2011-10-31,4.23,4.23,4.21,4.21,350
2011-11-01,3.88,3.96,3.82,3.85,52087
2011-11-02,3.9,3.93,3.87,3.89,41787
2011-11-03,3.97,4.05,3.94,4.05,6400
2011-11-04,3.87,3.93,3.87,3.93,1200
2011-11-07,3.94,4.07,3.94,4.06,7400
2011-11-08,4.13,4.22,4.04,4.22,4005
2011-11-09,3.87,3.87,3.87,3.87,100
2011-11-10,4.03,4.04,4.01,4.01,400
2011-11-11,4.23,4.26,4.22,4.26,400
2011-11-14,4.11,4.15,4.1,4.15,1500
2011-11-15,4.09,4.19,4.08,4.19,8100
2011-11-16,4.0,4.0,4.0,4.0,500
2011-11-17,3.87,3.88,3.73,3.78,5200
2011-11-18,3.83,3.83,3.78,3.79,4850
2011-11-21,3.69,3.89,3.25,3.6,3200
2011-11-22,3.58,3.63,3.54,3.59,2800
2011-11-23,3.45,3.5,3.44,3.44,1300
2011-11-25,3.41,3.41,3.4,3.4,500
2011-11-28,3.65,3.65,3.62,3.62,900
2011-11-29,3.69,3.77,3.69,3.71,1250
2011-11-30,3.94,4.05,3.94,4.05,405
2011-12-01,4.14,4.16,4.12,4.12,5000
2011-12-02,4.19,4.19,3.96,4.0,2940
2011-12-05,4.11,4.11,3.97,3.97,2400
2011-12-06,4.02,4.12,4.02,4.06,2226
2011-12-07,4.01,4.19,4.01,4.13,900
2011-12-08,4.0,4.01,3.94,3.94,1100
2011-12-09,4.08,4.08,4.08,4.08,100
2011-12-12,3.92,3.93,3.92,3.93,637
2011-12-13,3.9,3.91,3.81,3.81,2250
2011-12-15,3.95,3.96,3.91,3.96,1050
2011-12-16,3.98,3.98,3.91,3.91,200
2011-12-19,3.99,3.99,3.88,3.88,400
2011-12-21,4.17,4.23,4.15,4.23,2403
2011-12-22,4.26,4.31,4.26,4.3,6525
2011-12-23,4.34,4.41,4.33,4.41,10836
2011-12-27,4.47,4.47,4.06,4.43,3653
2011-12-28,4.31,4.31,4.26,4.26,3050
2011-12-29,4.28,4.35,4.28,4.33,1100
2011-12-30,4.37,4.41,4.37,4.39,2686
2012-01-03,4.72,4.72,4.49,4.54,3548
2012-01-04,4.5,4.5,4.41,4.45,4125
2012-01-05,4.37,4.5,4.37,4.5,1484
2012-01-06,4.51,4.53,4.46,4.52,2400
2012-01-09,4.44,4.53,4.44,4.53,1600
2012-01-10,4.63,4.66,4.63,4.64,2101
2012-01-11,4.63,4.66,4.58,4.65,3560
2012-01-12,4.68,4.69,4.65,4.69,2075
2012-01-13,4.61,4.61,4.54,4.57,950
2012-01-17,4.77,4.77,4.73,4.74,3300
2012-01-18,4.7,4.79,4.7,4.79,2437
2012-01-19,4.79,4.79,4.72,4.79,2681
2012-01-20,4.76,4.8,4.76,4.8,709
2012-01-23,4.8,4.81,4.71,4.75,1168
2012-01-24,4.74,4.75,4.74,4.75,1300
2012-01-25,4.67,4.83,4.67,4.83,2250
2012-01-27,4.74,4.8,4.74,4.8,2780
2012-01-30,4.7,4.74,4.69,4.74,1327
2012-01-31,4.74,4.76,4.74,4.74,732
2012-02-01,4.93,4.95,4.92,4.92,800
2012-02-02,4.86,4.86,4.78,4.86,1750
2012-02-03,4.93,4.93,4.91,4.92,1381
2012-02-06,4.88,4.9,4.86,4.88,1386
2012-02-08,4.89,4.89,4.89,4.89,700
2012-02-09,4.89,4.89,4.79,4.85,1290
2012-02-10,4.75,4.77,4.72,4.76,3200
2012-02-13,4.88,4.88,4.87,4.87,970
2012-02-15,4.89,4.89,4.89,4.89,200
2012-02-16,4.88,4.98,4.88,4.98,770
2012-02-17,4.96,4.96,4.93,4.93,400
2012-02-21,4.83,4.83,4.83,4.83,150
2012-02-22,4.81,4.83,4.81,4.83,500
2012-02-23,4.85,4.85,4.81,4.83,3800
2012-02-24,4.91,4.93,4.91,4.93,700
2012-02-27,4.93,4.93,4.93,4.93,396
2012-02-28,4.99,4.99,4.99,4.99,412
2012-02-29,4.99,4.99,4.96,4.96,684
2012-03-01,4.95,4.95,4.95,4.95,500
2012-03-02,4.95,4.95,4.95,4.95,800
2012-03-05,4.93,4.93,4.91,4.92,16728
2012-03-06,4.84,4.87,4.81,4.81,5528
2012-03-07,4.79,4.79,4.79,4.79,100
2012-03-08,4.93,4.98,4.93,4.98,200
2012-03-09,5.0,5.01,5.0,5.01,300
2012-03-12,5.03,5.03,5.01,5.01,2300
2012-03-13,5.13,5.2,5.13,5.2,300
2012-03-14,5.23,5.23,5.23,5.23,250
2012-03-15,5.14,5.26,5.14,5.25,1500
2012-03-16,5.27,5.3,5.15,5.22,2702
2012-03-19,5.23,5.27,5.23,5.27,300
2012-03-21,5.14,5.14,5.14,5.14,100
2012-03-22,5.08,5.1,5.08,5.1,1600
2012-03-23,5.13,5.13,5.13,5.13,8900
2012-03-26,5.31,5.36,5.31,5.36,1336
2012-03-27,5.46,5.48,5.45,5.46,1054
2012-03-28,5.48,5.48,5.36,5.36,2000
2012-03-29,5.39,5.43,5.39,5.43,375
2012-03-30,5.53,5.59,5.53,5.57,3500
2012-04-02,5.56,5.66,5.56,5.63,1870
2012-04-03,5.63,5.63,5.63,5.63,150
2012-04-04,5.57,5.57,5.5,5.53,4505
2012-04-05,5.56,5.56,5.46,5.46,310
2012-04-09,5.26,5.35,5.26,5.32,2266
2012-04-10,5.21,5.21,5.14,5.14,1329
2012-04-11,5.35,5.35,5.26,5.26,200
2012-04-13,5.14,5.14,5.14,5.14,150
2012-04-16,5.14,5.14,5.14,5.14,200
2012-04-17,5.26,5.29,5.26,5.29,2100
2012-04-20,5.44,5.44,5.37,5.4,650
2012-04-23,5.28,5.28,5.25,5.25,1500
2012-04-25,5.46,5.51,5.46,5.5,3892
2012-04-26,5.37,5.46,5.37,5.46,600
2012-04-27,5.54,5.54,5.47,5.52,1450
2012-04-30,5.46,5.46,5.46,5.46,250
2012-05-01,5.52,5.55,5.43,5.55,600
2012-05-03,5.59,5.59,5.47,5.47,2320
2012-05-04,5.44,5.44,5.25,5.25,1110
2012-05-07,5.1,5.26,5.1,5.26,1400
2012-05-09,5.22,5.22,5.2,5.2,670
2012-05-14,5.14,5.14,5.13,5.13,524
2012-05-17,5.06,5.06,5.0,5.0,1120
2012-05-18,4.96,4.97,4.91,4.91,632
2012-05-22,4.95,4.95,4.95,4.95,478
2012-05-30,4.97,4.97,4.97,4.97,300
2012-06-04,4.65,4.66,4.58,4.65,1083
2012-06-06,4.85,4.88,4.85,4.88,1533
2012-06-08,5.06,5.06,5.05,5.05,499
2012-06-11,5.13,5.13,5.0,5.0,4100
2012-06-13,5.13,5.14,5.1,5.1,2700
2012-06-14,5.17,5.29,5.17,5.29,15500
2012-06-15,5.31,5.37,5.31,5.36,1545
2012-06-18,5.43,5.43,5.1,5.43,4160
2012-06-19,5.56,5.6,5.52,5.6,550
2012-06-20,5.54,5.56,5.53,5.54,1070
2012-06-21,5.54,5.54,5.33,5.33,6025
2012-06-22,5.39,5.51,5.39,5.51,2395
2012-06-25,5.3,5.3,5.27,5.27,514
2012-06-27,5.54,5.54,5.51,5.52,1400
2012-06-28,5.54,5.54,5.28,5.31,6700
2012-06-29,5.65,5.71,5.65,5.69,4675
2012-07-02,5.76,5.77,4.86,5.72,6221
2012-07-03,5.75,5.82,5.63,5.76,4910
2012-07-05,5.71,5.71,5.71,5.71,1050
2012-07-06,5.61,5.61,5.51,5.54,1900
2012-07-09,5.63,5.63,5.63,5.63,320
2012-07-12,5.56,5.56,5.56,5.56,560
2012-07-13,5.75,5.77,5.74,5.77,610
2012-07-16,5.75,5.81,5.71,5.81,5190
2012-07-17,5.88,6.04,5.79,6.04,1757
