Date,Open,High,Low,Close,Volume
2017-05-03,24.62,24.62,24.62,24.62,242
2017-05-04,24.95,24.95,24.53,24.53,1119
2017-05-05,25.0,25.35,24.96,25.35,9758
2017-05-08,25.75,25.75,25.15,25.26,4712
2017-05-09,25.74,25.74,25.34,25.35,3583
2017-05-10,25.67,25.67,24.63,24.94,4025
2017-05-11,24.28,25.07,24.28,24.99,2311
2017-05-12,25.09,25.09,24.65,24.69,5222
2017-05-15,25.0,25.0,25.0,25.0,949
2017-05-16,25.35,25.35,25.13,25.13,1244
2017-05-17,24.48,24.48,23.79,23.79,5098
2017-05-18,23.03,23.93,23.03,23.66,2400
2017-05-19,24.0,24.95,24.0,24.71,13405
2017-05-22,26.65,26.72,25.27,25.38,54077
2017-05-23,25.55,25.85,25.16,25.7,101195
2017-05-24,26.32,26.54,25.99,26.27,30523
2017-05-25,26.8,27.01,26.49,27.01,36377
2017-05-26,27.0,27.11,26.8,26.97,29567
2017-05-30,26.81,26.97,26.37,26.52,17226
2017-05-31,26.84,27.1,26.15,27.1,27919
2017-06-01,27.47,27.48,26.81,27.39,14941
2017-06-02,28.01,28.41,27.56,28.0,20361
2017-06-05,28.13,28.22,27.07,27.13,25072
2017-06-06,26.65,26.83,26.2,26.45,13876
2017-06-07,26.36,26.47,26.13,26.36,13957
2017-06-08,26.01,27.15,26.01,26.97,15463
2017-06-09,27.28,28.23,26.76,27.02,10913
2017-06-12,27.85,27.85,26.2,26.55,14815
2017-06-13,26.26,27.22,26.26,27.09,5436
2017-06-14,27.46,27.5,27.02,27.16,8074
2017-06-15,27.11,27.31,26.82,27.27,4007
2017-06-16,27.36,27.59,27.31,27.31,2644
2017-06-19,27.75,27.96,27.55,27.86,22255
2017-06-20,28.18,28.18,27.19,27.19,25047
2017-06-21,27.0,27.52,26.7,26.81,14197
2017-06-22,26.76,26.81,26.55,26.55,12037
2017-06-23,26.21,27.0,26.05,26.46,38714
2017-06-26,26.83,27.11,26.3,26.31,20858
2017-06-27,26.26,26.37,25.75,25.76,15237
2017-06-28,25.76,27.0,25.76,26.98,6695
2017-06-29,27.0,27.0,25.75,26.27,11343
2017-06-30,26.51,27.01,26.46,26.82,6850
2017-07-03,27.25,27.54,27.23,27.41,10187
2017-07-05,27.57,28.2,27.42,28.17,32838
2017-07-06,27.83,28.14,27.39,27.4,19950
2017-07-07,27.86,28.56,27.66,28.35,14122
2017-07-10,28.62,28.97,28.23,28.57,10611
2017-07-11,28.62,29.03,28.25,29.02,17741
2017-07-12,29.35,29.88,29.31,29.35,25984
2017-07-13,29.3,29.5,28.84,29.1,12534
2017-07-14,29.58,29.88,29.5,29.82,20734
2017-07-17,30.0,30.11,29.5,29.85,22283
2017-07-18,30.07,30.07,29.43,29.45,9336
2017-07-19,29.72,30.15,29.72,30.04,19459
2017-07-20,30.65,30.65,30.02,30.02,34901
2017-07-21,30.0,30.28,29.74,30.28,15271
2017-07-24,30.27,30.5,30.17,30.47,15203
2017-07-25,31.0,31.37,30.26,30.46,19234
2017-07-26,30.85,31.5,30.31,30.51,12846
2017-07-27,30.83,30.83,29.8,30.16,15286
2017-07-28,30.23,31.2,30.23,31.2,16416
2017-07-31,31.44,31.45,30.55,30.75,15956
2017-08-01,31.5,31.5,30.65,30.86,19642
2017-08-02,30.78,31.58,30.78,31.53,18875
2017-08-03,31.75,32.31,31.28,32.31,28560
2017-08-04,33.87,33.87,31.94,32.33,37549
2017-08-07,32.5,32.9,32.44,32.72,34645
2017-08-08,32.93,33.69,32.59,32.64,59689
2017-08-09,33.45,33.45,32.49,32.69,73928
2017-08-10,32.92,32.92,31.64,31.64,76964
2017-08-11,31.83,32.5,31.7,32.09,43322
2017-08-14,32.61,33.02,32.33,32.96,64646
2017-08-15,33.5,33.5,32.39,32.48,51000
2017-08-16,32.61,32.85,32.37,32.4,30554
2017-08-17,32.31,32.31,31.07,31.07,46404
2017-08-18,31.0,31.27,30.5,30.92,41631
2017-08-21,30.92,31.24,30.56,31.04,20127
2017-08-22,31.45,32.23,31.45,32.18,64319
2017-08-23,31.88,32.14,31.63,31.63,13847
2017-08-24,31.74,32.21,31.61,31.85,13998
2017-08-25,32.28,32.28,31.72,31.77,9913
2017-08-28,31.9,31.91,31.55,31.55,8907
2017-08-29,32.21,32.89,31.8,32.88,44813
2017-08-30,33.18,33.44,33.04,33.26,49136
2017-08-31,33.3,34.0,33.3,33.91,32377
2017-09-01,34.64,34.88,33.83,33.84,36719
2017-09-05,34.45,34.45,32.63,32.77,81929
2017-09-06,32.96,32.96,32.0,32.01,34943
2017-09-07,32.0,32.25,31.56,32.21,66020
2017-09-08,32.29,32.49,31.82,32.25,17735
2017-09-11,32.43,33.1,32.43,32.93,29948
2017-09-12,33.09,33.19,32.86,33.03,39029
2017-09-13,33.0,33.12,32.52,32.84,11775
2017-09-14,32.68,33.3,32.59,33.24,22914
2017-09-15,33.34,33.9,33.25,33.87,26062
2017-09-18,34.24,35.8,34.2,35.77,59538
2017-09-19,35.84,36.66,35.57,36.65,87974
2017-09-20,36.75,37.43,36.55,37.3,95176
2017-09-21,37.3,37.87,37.24,37.79,99787
2017-09-22,38.19,38.65,38.0,38.16,115066
2017-09-25,38.39,39.75,36.97,37.56,101102
2017-09-26,37.87,38.74,37.62,38.47,64269
2017-09-27,38.47,39.25,38.27,39.13,59368
2017-09-28,39.35,39.35,38.27,38.3,66954
2017-09-29,38.3,38.65,38.02,38.65,46583
2017-10-02,38.98,40.11,38.98,40.11,65703
2017-10-03,40.37,40.53,39.86,40.27,79591
2017-10-04,40.41,40.55,40.26,40.53,46860
2017-10-05,40.66,41.61,40.58,41.33,73241
2017-10-06,41.35,41.35,40.85,41.23,46810
2017-10-09,41.54,41.67,41.3,41.49,65663
2017-10-10,41.86,41.86,41.14,41.36,68647
2017-10-11,41.45,41.5,40.9,41.07,45957
2017-10-12,40.9,41.89,40.9,41.75,47833
2017-10-13,42.12,42.24,41.28,41.3,52892
2017-10-16,41.33,41.66,41.0,41.3,50800
2017-10-17,41.09,41.17,40.58,40.77,59375
2017-10-18,40.59,41.1,40.38,40.93,50369
2017-10-19,40.75,40.99,39.63,40.92,42377
2017-10-20,41.2,42.5,41.2,42.5,78869
2017-10-23,42.87,42.87,41.64,41.68,60049
2017-10-24,41.57,42.15,41.16,41.86,43036
2017-10-25,41.82,42.01,40.55,41.42,70935
2017-10-26,41.45,41.76,39.76,40.43,87602
2017-10-27,40.53,40.53,39.91,40.11,66008
2017-10-30,40.0,40.58,39.86,39.93,39551
2017-10-31,40.53,40.7,40.0,40.0,33255
2017-11-01,40.24,40.5,39.8,40.0,31376
2017-11-02,40.25,42.24,40.22,42.09,65763
2017-11-03,42.59,42.59,40.72,41.05,56365
2017-11-06,41.12,41.66,41.12,41.33,54344
2017-11-07,41.75,41.99,40.98,41.3,63196
2017-11-08,41.79,41.8,41.16,41.66,32673
2017-11-09,41.35,41.35,39.33,39.81,100014
2017-11-10,39.75,39.75,38.88,39.1,42377
2017-11-13,39.1,39.1,38.01,38.52,74361
2017-11-14,38.33,38.78,37.96,38.64,49422
2017-11-15,38.25,38.57,37.76,37.96,48827
2017-11-16,38.33,39.11,38.33,38.91,36611
2017-11-17,38.79,39.54,38.21,38.21,28474
2017-11-20,38.05,39.29,38.0,39.27,29006
2017-11-21,39.7,40.52,39.7,40.51,59273
2017-11-22,40.99,40.99,39.93,40.02,24163
2017-11-24,40.15,40.36,40.02,40.25,16528
