Date,Open,Close
10/26/12,17.37,17.14
10/31/12,16.5,17.03
11/1/12,17.06,17.23
11/2/12,16.99,17
11/5/12,16.79,16.71
11/6/12,16.52,17.01
11/7/12,16.75,17.06
11/8/12,16.29,16.75
11/9/12,16.33,16.55
11/12/12,16.46,16.5
11/13/12,16.52,16.04
11/14/12,15.97,16.05
11/15/12,16.38,16.7
11/16/12,16.91,16.82
11/19/12,17,17.12
11/20/12,17.14,17.13
11/21/12,17.12,17.2
11/23/12,17.4,17.32
11/26/12,17.3,17.26
11/27/12,17.18,17.23
11/28/12,17.45,17.25
11/29/12,17.46,18.16
11/30/12,18.16,18
12/3/12,18.01,18.1
12/4/12,18.23,17.83
12/5/12,17.58,17.98
12/6/12,17.76,17.62
12/7/12,17.69,17.75
12/10/12,17.7,17.62
12/11/12,17.41,17.54
12/12/12,17.47,17.64
12/13/12,17.7,17.88
12/14/12,17.43,17.57
12/17/12,17.66,17.98
12/18/12,17.93,18.8
12/19/12,18.8,19.18
12/20/12,18.95,19.02
12/21/12,18.62,18.98
12/24/12,19.05,18.64
12/26/12,18.75,18.65
12/27/12,18.57,18.54
12/28/12,18.41,18.78
12/31/12,18.74,19.12
1/2/13,19.46,19.24
1/3/13,19.24,19.14
1/4/13,19.25,20.05
1/7/13,19.89,20.77
1/8/13,20.69,20.6
1/9/13,20.71,20.47
1/10/13,20.54,21.63
1/11/13,21.6,21.67
1/14/13,21.68,21.8
1/15/13,21.67,21.72
1/16/13,21.08,21.28
1/17/13,21.37,21.12
1/18/13,21.17,20.54
1/22/13,20.6,21.79
1/23/13,21.74,21.43
1/24/13,21.24,21.43
1/25/13,21.55,22
1/28/13,22,21.64
1/29/13,21.68,22.13
1/30/13,22.04,22.67
1/31/13,22.53,22.42
2/1/13,22.56,22.7
2/4/13,22.65,22.54
2/5/13,22.58,22.63
2/6/13,22.49,22.63
2/7/13,22.06,22.42
2/8/13,22.39,22.05
2/11/13,22.1,21.56
2/12/13,21.52,21.57
2/13/13,21.38,21.56
2/14/13,21.55,22
2/15/13,22.07,22.3
2/19/13,22.32,22.82
2/20/13,22.81,21.28
2/21/13,21.29,20.73
2/22/13,22.25,20.98
2/25/13,21,19.74
2/26/13,19.84,20.05
2/27/13,20.09,20.96
2/28/13,20.98,22.71
