Date,Open,High,Low,Close,Volume
2008-11-06,38.54,38.54,33.81,34.13,10313
2008-11-07,34.44,36.12,33.38,35.41,15107
2008-11-10,40.77,40.77,30.56,32.06,14537
2008-11-11,33.33,33.33,28.02,30.32,43443
2008-11-12,28.82,29.4,24.31,24.79,84624
2008-11-13,25.83,30.17,20.3,30.09,231986
2008-11-14,28.47,29.92,24.51,24.65,276923
2008-11-17,23.72,24.79,20.92,21.23,345878
2008-11-18,22.24,22.24,18.19,20.69,775926
2008-11-19,20.29,20.39,13.89,14.56,1662060
2008-11-20,13.91,14.56,9.59,10.17,6045515
2008-11-21,12.26,13.12,8.14,11.11,8174816
2008-11-24,12.94,16.63,12.03,14.58,5992545
2008-11-25,17.01,18.49,15.06,17.22,6345241
2008-11-26,16.0,20.14,15.62,19.96,3623824
2008-12-01,19.12,19.24,11.86,12.15,5067500
2008-12-02,12.72,14.0,11.27,13.75,8520084
2008-12-03,12.54,16.06,12.37,15.8,8918652
2008-12-04,15.16,17.98,14.49,15.19,8313268
2008-12-05,14.58,18.92,14.51,18.59,10174230
2008-12-08,21.08,22.69,20.35,21.88,9761114
2008-12-09,20.94,22.57,18.93,19.12,9447896
2008-12-10,20.12,20.24,17.64,19.24,8803359
2008-12-11,18.17,18.65,14.58,15.11,9089904
2008-12-12,12.99,15.99,12.72,15.74,11890818
2008-12-15,15.88,15.88,13.39,14.08,7441031
2008-12-16,14.87,18.25,14.81,18.12,11127352
2008-12-17,17.3,19.41,16.91,17.85,11903227
2008-12-18,18.4,18.83,15.85,16.51,8123493
2008-12-19,16.72,17.68,15.74,16.39,7932351
2008-12-22,16.72,16.78,14.31,15.12,6545085
2008-12-23,15.43,15.6,14.24,14.24,6535449
2008-12-24,14.36,14.86,14.04,14.69,2296604
2008-12-26,15.28,15.62,14.5,14.86,2319774
2008-12-29,15.1,15.15,13.81,14.42,3827794
2008-12-30,14.52,16.06,14.52,15.97,4401829
2008-12-31,16.1,17.81,15.91,17.69,6493211
2009-01-02,17.63,18.51,16.38,17.98,7083752
2009-01-05,17.66,18.36,16.92,17.32,6560926
2009-01-06,17.86,18.75,17.53,18.15,8081105
2009-01-07,17.24,17.36,15.62,15.66,7107409
2009-01-08,15.35,16.11,15.06,15.87,6918529
2009-01-09,16.06,16.11,14.11,14.21,8066518
2009-01-12,14.13,14.2,11.63,12.06,10905012
2009-01-13,11.48,12.94,11.33,12.47,14904163
2009-01-14,11.42,11.67,10.43,10.54,18497166
2009-01-15,10.61,10.69,8.37,9.42,39817592
2009-01-16,10.49,10.68,7.84,8.9,40488880
2009-01-20,7.84,7.88,5.21,5.3,72400456
2009-01-21,5.79,6.97,5.28,6.87,74282064
2009-01-22,6.06,6.75,5.37,5.82,82849384
2009-01-23,5.13,6.47,5.01,6.26,79527464
2009-01-26,6.58,7.06,5.77,6.01,73441648
2009-01-27,6.4,6.63,6.06,6.46,57536716
2009-01-28,7.74,8.7,7.66,8.57,87000800
2009-01-29,7.74,7.98,6.76,6.86,59939728
2009-01-30,7.1,7.27,6.08,6.37,81851456
2009-02-02,5.81,6.49,5.74,6.37,65922504
2009-02-03,6.64,6.67,5.8,6.06,69459184
2009-02-04,6.22,6.56,5.79,5.85,68825368
2009-02-05,5.72,6.6,5.31,6.22,111395696
2009-02-06,6.69,7.59,6.58,7.44,79155088
2009-02-09,7.64,8.01,7.3,7.73,65631608
2009-02-10,7.47,7.62,5.5,5.65,161285840
2009-02-11,5.85,6.28,5.75,6.24,89279672
2009-02-12,5.76,6.14,5.14,6.04,138105456
2009-02-13,5.76,6.01,5.46,5.51,97520424
2009-02-17,4.87,4.9,4.16,4.17,133787288
2009-02-18,4.42,4.43,3.78,4.06,149910160
2009-02-19,4.26,4.35,3.44,3.5,124306680
2009-02-20,2.97,3.75,2.72,3.4,205512048
2009-02-23,3.71,3.77,3.06,3.06,155118432
2009-02-24,3.14,3.96,3.04,3.9,174083888
2009-02-25,3.81,4.37,3.33,3.89,225246448
2009-02-26,4.28,4.57,3.91,4.03,173308704
2009-02-27,3.37,3.87,3.33,3.4,157474832
2009-03-02,3.11,3.19,2.71,2.76,160707072
2009-03-03,2.97,3.01,2.51,2.65,183579376
2009-03-04,2.97,2.97,2.38,2.58,238493856
2009-03-05,2.42,2.44,1.78,1.91,292866144
2009-03-06,1.97,2.08,1.61,1.83,234674336
2009-03-09,1.76,2.06,1.7,1.87,296631520
2009-03-10,2.19,2.62,2.15,2.59,294389696
2009-03-11,2.87,3.03,2.61,2.79,351718656
