Date,Open,Close
2006-07-07,20.54,20.38
2006-07-10,20.54,20.54
2006-07-11,20.09,20.09
2006-07-13,19.78,19.8
2006-07-14,19.33,19.39
2006-07-18,19.37,19.37
2006-07-19,19.47,19.47
2006-07-20,19.27,19.27
2006-07-24,19.25,19.25
2006-07-25,19.28,19.28
2006-07-28,19.02,19.03
2006-07-31,18.99,18.99
2006-08-01,18.8,18.8
2006-08-02,18.75,18.75
2006-08-07,19,19
2006-08-08,19.11,19.11
2006-08-10,19.03,19.03
2006-08-11,18.81,18.81
2006-08-16,19.73,19.9
2006-08-17,19.9,19.9
2006-08-18,20.22,20.34
2006-08-21,19.93,19.95
2006-08-22,20.07,20.03
2006-08-23,19.76,19.81
2006-08-24,19.76,19.67
2006-08-25,19.67,19.64
2006-08-28,19.93,19.94
2006-08-30,20.36,20.42
2006-08-31,20.39,20.39
2006-09-01,20.37,20.51
2006-09-05,20.6,20.63
2006-09-06,20.18,20.14
2006-09-07,20.06,19.87
2006-09-08,20.14,20.16
2006-09-11,19.96,20.27
2006-09-12,20.58,20.58
2006-09-13,20.7,20.95
2006-09-14,21.09,21.1
2006-09-15,21.33,21.24
2006-09-18,21.22,21.08
2006-09-19,21.05,20.5
2006-09-20,20.86,20.81
2006-09-21,20.9,20.6
2006-09-22,20.47,20.52
2006-09-25,20.76,20.79
2006-09-26,20.93,21.03
2006-09-27,20.99,20.71
2006-09-28,20.8,20.97
2006-09-29,20.96,20.98
2006-10-02,20.98,20.71
2006-10-03,20.67,20.95
2006-10-04,21.4,21.5
2006-10-05,21.55,21.66
2006-10-06,21.52,21.55
2006-10-09,21.51,21.55
2006-10-10,21.56,21.35
2006-10-11,21.14,21.05
2006-10-12,21.25,21.32
2006-10-13,21.32,21.4
2006-10-16,21.35,21.38
2006-10-17,21.23,21.1
2006-10-18,21.04,20.99
2006-10-19,21.03,21.27
2006-10-20,21.31,21.26
2006-10-23,21.22,21.74
2006-10-24,21.62,21.73
2006-10-25,21.75,22.12
2006-10-26,22.19,22.49
2006-10-27,22.43,22.21
2006-10-30,22.18,22.23
2006-10-31,22.5,22.37
2006-11-01,22.24,21.88
2006-11-02,21.95,22.19
2006-11-03,22.27,22.01
2006-11-06,22.11,22.38
2006-11-07,22.47,22.52
2006-11-08,22.62,22.72
2006-11-09,22.8,22.44
2006-11-10,22.49,22.66
2006-11-13,22.68,22.85
2006-11-14,22.92,23.15
2006-11-15,23.19,23.33
2006-11-16,23.25,23.16
2006-11-17,23.06,23.17
2006-11-20,23.12,23.11
2006-11-21,23.35,23.36
2006-11-22,23.6,23.76
2006-11-27,23.49,22.83
2006-11-28,22.64,22.63
2006-11-29,22.98,22.93
2006-11-30,23.06,23.22
2006-12-01,23.01,22.59
2006-12-04,22.8,23.05
2006-12-05,23.09,23.16
2006-12-06,23.1,23.12
2006-12-07,23.21,22.93
2006-12-08,22.94,23.02
2006-12-11,22.96,23.08
2006-12-12,23.05,22.94
2006-12-13,23.16,23.04
2006-12-14,23.1,23.3
2006-12-15,23.43,23.44
2006-12-18,23.52,23.01
2006-12-19,22.75,22.97
2006-12-20,23.05,22.89
2006-12-21,22.91,22.73
2006-12-22,22.59,22.58
2006-12-26,22.58,22.55
2006-12-27,22.73,22.88
2006-12-28,22.74,22.76
2006-12-29,22.67,22.58
2007-01-03,22.7,22.3
2007-01-04,22.77,23.22
2007-01-05,22.99,22.99
2007-01-08,22.92,22.97
2007-01-09,23.04,22.98
2007-01-10,22.83,23.12
2007-01-11,23.26,23.42
2007-01-12,23.44,23.56
2007-01-16,23.76,23.74
2007-01-17,23.66,23.52
2007-01-18,23.22,23.06
2007-01-19,22.98,23.11
2007-01-22,23.15,22.8
2007-01-23,22.81,22.75
2007-01-24,23.14,23.47
2007-01-25,23.74,23.3
2007-01-26,23.2,23.29
2007-01-29,23.16,23.38
2007-01-30,23.3,23.49
2007-01-31,23.4,23.69
2007-02-01,23.99,23.77
2007-02-02,23.78,23.85
2007-02-05,23.81,23.8
2007-02-06,23.81,23.83
2007-02-07,23.91,24.18
2007-02-08,24.1,24.33
2007-02-09,24.38,23.98
2007-02-12,23.96,23.73
2007-02-13,23.86,23.85
2007-02-14,23.97,24.27
2007-02-15,24.26,24.38
2007-02-16,24.42,24.45
2007-02-20,24.26,24.61
2007-02-21,24.5,24.65
2007-02-22,24.77,24.65
2007-02-23,24.61,24.48
2007-02-26,24.38,24.28
2007-02-27,23.72,23.36
2007-02-28,23.24,23.4
2007-03-01,22.7,23.26
2007-03-02,23.08,22.75
2007-03-05,22.5,22.51
2007-03-06,22.9,22.96
2007-03-07,22.94,22.81
2007-03-08,23.06,22.95
2007-03-09,22.93,22.83
2007-03-12,22.93,23
2007-03-13,22.89,22.54
2007-03-14,22.52,22.76
2007-03-15,22.87,22.83
2007-03-16,22.81,22.71
2007-03-19,22.93,22.94
2007-03-20,22.91,23.03
2007-03-21,23.02,23.54
2007-03-22,23.6,23.64
2007-03-23,23.64,23.57
2007-03-26,23.63,23.69
2007-03-27,23.62,23.65
2007-03-28,23.45,23.44
2007-03-29,23.62,23.34
2007-03-30,23.4,23.32
2007-04-02,23.36,23.32
2007-04-03,23.57,23.79
2007-04-04,23.73,23.66
2007-04-05,23.7,23.72
2007-04-09,23.72,23.67
2007-04-10,23.72,23.8
2007-04-11,23.77,23.67
2007-04-12,23.62,23.97
2007-04-13,24,24.04
2007-04-16,24.45,24.54
2007-04-17,24.46,24.45
2007-04-18,24.07,24.14
2007-04-19,23.8,23.76
2007-04-20,24.17,23.95
2007-04-23,24.04,24.06
2007-04-24,24,23.97
2007-04-25,24.55,24.58
2007-04-26,24.58,24.91
2007-04-27,24.82,24.84
2007-04-30,24.85,24.53
2007-05-01,24.48,24.46
2007-05-02,24.66,24.68
2007-05-03,24.65,24.76
2007-05-04,25.34,25.14
2007-05-07,25.08,24.81
2007-05-08,24.8,24.88
2007-05-09,24.69,25.16
2007-05-10,24.97,24.81
2007-05-11,24.79,25.02
2007-05-14,24.94,24.65
2007-05-15,24.7,24.27
2007-05-16,24.37,24.58
2007-05-17,24.62,24.62
2007-05-18,25.22,25.28
2007-05-21,25.4,25.72
2007-05-22,25.78,25.79
2007-05-23,25.86,25.68
2007-05-24,25.64,25.44
2007-05-25,25.52,25.61
2007-05-29,25.57,25.7
2007-05-30,25.52,26.05
2007-05-31,26.2,26.19
2007-06-01,26.27,26.16
2007-06-04,26.06,26.31
2007-06-05,26.27,26.34
2007-06-06,26.23,26.23
2007-06-07,26.36,25.69
2007-06-08,25.71,26.18
2007-06-11,26.12,26.1
2007-06-12,25.96,25.61
2007-06-13,25.73,25.88
2007-06-14,26.12,26.08
2007-06-15,26.45,26.17
2007-06-18,26.16,26.2
2007-06-19,26.15,26.09
2007-06-20,26.11,25.9
2007-06-21,25.73,26.05
2007-06-22,26.09,25.91
2007-06-25,25.93,25.83
2007-06-26,25.89,25.65
2007-06-27,25.54,25.97
2007-06-28,26.12,26.02
2007-06-29,26.01,25.95
2007-07-02,26.03,26.1
2007-07-03,26.22,26.21
2007-07-05,26.14,26.12
2007-07-06,26.25,26.4
2007-07-09,26.41,26.57
2007-07-10,26.47,26.17
2007-07-11,26.1,26.36
2007-07-12,26.47,26.65
2007-07-13,26.76,26.82
2007-07-16,26.66,26.71
2007-07-17,26.71,26.84
2007-07-18,26.57,26.55
2007-07-19,26.7,26.44
2007-07-20,26.17,26.08
2007-07-23,26,25.9
2007-07-24,25.64,25.38
2007-07-25,26.1,25.92
2007-07-26,25.36,25.2
2007-07-27,24.9,24.78
2007-07-30,24.5,24.76
2007-07-31,24.84,24.2
2007-08-01,23.96,24
2007-08-02,24.17,24.3
2007-08-03,24.34,23.69
2007-08-06,23.6,23.65
2007-08-07,23.9,24.14
2007-08-08,24.4,24.55
2007-08-09,24.1,24.03
2007-08-10,23.65,24.16
2007-08-13,24.39,24.21
2007-08-14,24.26,23.67
2007-08-15,23.64,23.29
2007-08-16,23.01,23.02
2007-08-17,23.1,23.5
2007-08-20,23.58,23.49
2007-08-21,23.58,23.84
2007-08-22,24.17,24.1
2007-08-23,24.11,24
2007-08-24,23.92,24.25
2007-08-27,24.2,24.01
2007-08-28,23.92,23.49
2007-08-29,23.62,23.89
2007-08-30,23.84,23.94
2007-08-31,24.15,24.27
2007-09-04,24.41,24.79
2007-09-05,24.77,24.76
2007-09-06,24.87,24.88
2007-09-07,24.49,24.43
2007-09-11,24.38,24.62
2007-09-12,24.7,24.63
2007-09-13,24.67,24.8
2007-09-14,24.7,25.08
2007-09-17,24.92,24.94
2007-09-18,25.01,25.49
2007-09-19,25.66,25.73
2007-09-20,25.7,25.58
2007-09-21,25.7,25.85
2007-09-24,25.79,25.68
2007-09-25,25.66,25.93
2007-09-26,25.94,25.98
2007-09-27,26.1,26.02
2007-09-28,26.12,26.05
2007-10-01,26.22,26.47
2007-10-02,26.44,26.46
2007-10-03,26.43,26.51
2007-10-04,26.56,26.51
2007-10-05,26.78,26.89
2007-10-08,27.01,27.08
2007-10-09,27.23,27.49
2007-10-10,27.5,27.67
2007-10-11,27.88,27.13
2007-10-12,27.57,28
2007-10-15,27.87,27.47
2007-10-16,27.21,27.06
2007-10-17,27.66,27.51
2007-10-18,27.13,27.37
2007-10-19,27.28,26.9
2007-10-22,26.7,27.2
2007-10-23,27.43,27.78
2007-10-24,27.33,27.13
2007-10-25,27.36,27.16
2007-10-26,27.63,27.78
2007-10-29,27.97,27.91
2007-10-30,27.72,27.75
2007-10-31,27.93,27.94
2007-11-01,27.72,27.35
2007-11-02,27.43,27.36
2007-11-05,27,27.3
2007-11-06,27.45,27.4
2007-11-07,27.01,26.66
2007-11-08,26.43,25.98
2007-11-09,25.75,25.59
2007-11-12,25.22,24.6
2007-11-13,25.18,25.51
2007-11-14,25.51,25.24
2007-11-15,25.18,24.84
2007-11-16,24.81,25.29
2007-11-19,25.11,24.8
2007-11-20,25.06,24.67
2007-11-21,24.59,24.45
2007-11-27,24.84,25.08
2007-11-28,25.55,25.92
2007-11-29,25.87,25.76
2007-11-30,26.27,25.97
2007-12-03,25.94,25.63
2007-12-04,25.43,25.44
2007-12-05,25.81,25.85
2007-12-06,26.09,26.26
2007-12-07,26.21,26.16
2007-12-10,26.07,26.08
2007-12-11,26.1,25.41
2007-12-12,25.62,25.33
2007-12-13,25.18,25.34
2007-12-14,24.93,24.94
2007-12-17,24.6,24.1
2007-12-19,24.3,24.52
2007-12-20,24.77,25.02
2007-12-21,25.32,25.42
2007-12-26,25.55,25.74
2007-12-27,25.61,25.35
2007-12-28,25.43,25.36
2007-12-31,25.15,25.13
2008-01-02,25.37,24.86
2008-01-03,24.97,24.84
2008-01-04,24.51,23.86
2008-01-07,23.76,23.59
2008-01-08,23.6,22.99
2008-01-09,22.83,23.01
2008-01-10,22.81,23.39
2008-01-11,23.23,22.8
2008-01-14,23.05,23.28
2008-01-15,22.95,22.67
2008-01-16,22.68,22.7
2008-01-17,22.46,22.28
2008-01-18,22.28,22.17
2008-01-22,20.94,21.8
2008-01-23,21.2,21.89
2008-01-24,21.74,22.44
2008-01-25,23,22.23
2008-01-28,22.27,22.2
2008-01-29,22.41,22.31
2008-01-30,22.19,22.16
2008-01-31,21.74,22.15
2008-02-01,23.74,23.74
2008-02-04,23.7,23.58
2008-02-05,23.13,22.98
2008-02-06,22.96,22.48
2008-02-07,22.46,22.83
2008-02-08,22.91,23
2008-02-11,23.19,23.36
2008-02-12,23.5,23.25
2008-02-13,23.59,23.89
2008-02-14,23.92,23.63
2008-02-15,23.39,23.61
2008-02-19,23.65,23.27
2008-02-20,22.99,23.27
2008-02-21,23.46,23.03
2008-02-22,23.05,23.23
2008-02-25,23.25,23.29
2008-02-26,23.13,23.38
2008-02-27,23.17,23.31
2008-02-28,23.16,22.95
2008-02-29,22.59,22.4
2008-03-03,22.22,22.14
2008-03-04,21.85,22.11
2008-03-05,22.45,22.4
2008-03-06,22.34,21.91
2008-03-07,21.75,21.85
2008-03-10,21.8,21.35
2008-03-11,21.8,22.08
2008-03-12,21.95,22
2008-03-13,21.64,22.12
2008-03-14,22.07,21.74
2008-03-17,21.48,21.15
2008-03-18,21.69,22.24
2008-03-19,22.26,21.61
2008-03-20,21.56,22.22
2008-03-24,22.44,23.05
2008-03-25,23.1,22.99
2008-03-26,23.74,22.81
2008-03-27,22.47,22.37
2008-03-28,22.51,22.18
2008-03-31,22.04,22.26
2008-04-01,22.63,23.15
2008-04-02,23.09,23.2
2008-04-03,22.97,23.15
2008-04-04,23.1,23.26
2008-04-07,23.49,23.16
2008-04-08,23.26,23.1
2008-04-09,23.18,22.76
2008-04-10,22.65,22.9
2008-04-11,22.77,22.32
2008-04-14,22.35,22.24
2008-04-15,22.36,22.26
2008-04-16,22.55,22.76
2008-04-17,22.72,24
2008-04-18,24.46,23.7
2008-04-21,23.41,23.68
2008-04-22,23.46,23.51
2008-04-23,23.34,23.51
2008-04-24,23.44,23.62
2008-04-25,23.7,23.83
2008-04-28,23.94,23.95
2008-04-29,23.91,24.04
2008-04-30,24.02,24.09
2008-05-01,24.29,24.38
2008-05-05,24.06,24.02
2008-05-06,23.98,24.31
2008-05-07,24.26,23.75
2008-05-09,24,24.05
2008-05-12,24.33,24.48
2008-05-13,24.47,24.63
2008-05-14,24.91,24.77
2008-05-15,25.12,25.41
2008-05-16,25.4,25.35
2008-05-19,25.37,25.31
2008-05-20,25.28,25.16
2008-05-21,25.29,24.68
2008-05-22,24.59,24.71
2008-05-23,24.5,24.47
2008-05-27,24.49,24.79
2008-05-28,24.85,24.92
2008-05-29,25.07,25.13
2008-05-30,25.1,25.15
2008-06-02,24.76,24.73
2008-06-03,24.89,24.73
2008-06-04,24.95,25.11
2008-06-05,25.34,25.46
2008-06-06,25,24.67
2008-06-09,24.76,24.37
2008-06-10,24.12,24.28
2008-06-11,24.1,23.62
2008-06-12,23.89,23.55
2008-06-13,23.74,24.12
2008-06-16,24.05,24.29
2008-06-17,24.5,24.25
2008-06-18,24.05,24.13
2008-06-19,23.95,24.42
2008-06-20,24.03,23.77
2008-06-23,23.81,23.45
2008-06-24,23.2,23.35
2008-06-25,23.66,23.68
2008-06-26,23.13,22.88
2008-06-27,22.89,22.74
2008-06-30,22.59,22.38
2008-07-01,22.22,22.45
2008-07-02,22.6,22.05
2008-07-07,22.47,22.33
2008-07-08,22.15,22.73
2008-07-09,22.66,22.08
2008-07-10,22.29,22.12
2008-07-11,21.61,22.08
2008-07-14,21.66,21.55
2008-07-15,21.08,21.44
2008-07-16,21.52,22.41
2008-07-17,22.31,22.36
2008-07-18,21.73,21.73
2008-07-21,21.65,21.58
2008-07-22,21.33,21.58
2008-07-23,22.57,21.73
2008-07-24,22.14,21.65
2008-07-25,22.16,22.19
2008-07-28,22.03,21.71
2008-07-29,22.16,22.18
2008-07-30,22.17,22.26
2008-07-31,21.98,21.89
2008-08-01,21.58,21.81
2008-08-04,21.66,21.61
2008-08-05,21.85,22.34
2008-08-06,22.04,22.27
2008-08-07,21.92,21.94
2008-08-08,21.83,22.57
2008-08-11,23.75,23.15
2008-08-12,23,22.86
2008-08-13,22.7,22.86
2008-08-14,24.54,23.08
2008-08-15,23.83,23.04
2008-08-18,23.11,22.68
2008-08-19,23.2,22.21
2008-08-20,23.11,22.15
2008-08-21,21.82,21.81
2008-08-22,22.19,22.37
2008-08-25,22.19,21.85
2008-08-26,21.78,21.69
2008-08-27,21.51,21.86
2008-08-28,22,22.28
2008-08-29,22.02,21.86
2008-09-02,22.23,21.72
2008-09-03,21.69,21.59
2008-09-04,21.26,20.86
2008-09-05,20.44,20.99
2008-09-08,21.72,21.03
2008-09-09,21.65,20.45
2008-09-10,19.81,20.51
2008-09-11,20.21,20.9
2008-09-12,20.2,20.8
2008-09-15,21.57,20.33
2008-09-16,19.87,20.45
2008-09-17,19.65,19.5
2008-09-18,18.94,20.7
2008-09-19,22.02,21.27
2008-09-22,20.56,20.11
2008-09-23,19.73,19.89
2008-09-24,19.88,19.76
2008-09-25,20.05,19.96
2008-09-26,19.55,19.72
2008-09-29,19.37,18.03
2008-09-30,17.91,18.74
2008-10-01,18.62,18.46
2008-10-02,18.25,17.42
2008-10-03,17.59,17.15
2008-10-06,16.67,16.59
2008-10-07,16.37,15.35
2008-10-08,15.14,15.52
2008-10-09,15.71,14.65
2008-10-10,13.93,14.55
2008-10-13,15.53,16.21
2008-10-14,17.03,15.72
2008-10-15,15.07,14
2008-10-16,14,14.58
2008-10-17,14.73,14.93
2008-10-20,15.31,15.26
2008-10-21,14.97,14.52
2008-10-22,14.52,14.24
2008-10-23,14.02,13.91
2008-10-24,13.16,13.51
2008-10-27,13.31,13.31
2008-10-28,13.88,13.89
2008-10-29,14.12,14.78
2008-10-30,14.82,14.53
2008-10-31,14.75,14.61
2008-11-03,14.89,14.39
2008-11-04,14.92,15.07
2008-11-05,14.83,14.21
2008-11-06,13.8,13.64
2008-11-07,13.56,13.76
2008-11-10,13.84,13.51
2008-11-11,13.13,12.98
2008-11-12,12.72,12.22
2008-11-13,12.15,13.17
2008-11-14,12.89,12.5
2008-11-17,12.39,12.42
2008-11-18,12.39,12.06
2008-11-19,12.06,11.18
2008-11-20,11.02,10.75
2008-11-21,11.01,11.34
2008-11-24,11.58,12.04
2008-11-25,12.29,12.41
2008-11-26,12.57,13.07
2008-12-01,12.79,12.21
2008-12-02,12.49,12.47
2008-12-03,12.38,12.82
2008-12-04,13.04,12.36
2008-12-05,12.5,12.98
2008-12-08,13.7,13.97
2008-12-09,13.61,13.86
2008-12-10,13.89,14
2008-12-11,13.83,13.92
2008-12-12,13.36,13.83
2008-12-15,13.72,13.47
2008-12-16,13.59,14.25
2008-12-17,14.1,14.36
2008-12-18,14.32,13.87
2008-12-19,13.99,14.04
2008-12-22,13.65,13.5
2008-12-23,13.36,13.56
2008-12-24,13.6,13.6
2008-12-26,13.67,13.62
2008-12-29,13.58,13.26
2008-12-30,13.44,13.68
2008-12-31,13.87,14.03
2009-01-02,14.01,14.51
2009-01-05,14.59,14.54
2009-01-06,14.64,15.04
2009-01-07,14.54,14.42
2009-01-08,14.42,14.36
2009-01-09,14.67,14.34
2009-01-12,13.83,13.73
2009-01-13,13.73,13.63
2009-01-14,13.5,13.25
2009-01-15,13.03,13.45
2009-01-16,13.61,13.4
2009-01-20,13.35,12.74
2009-01-21,12.98,13.38
2009-01-22,12.93,13.08
2009-01-23,12.87,13.33
2009-01-26,13.37,13.26
2009-01-27,13.39,13.47
2009-01-28,13.9,14.05
