Date,Open,High,Low,Close,Volume
2025-02-20,24.34,24.52,23.38,24.23,15350
2025-02-21,24.15,24.23,22.0,22.71,85265
2025-02-24,22.29,22.29,20.68,20.79,96840
2025-02-25,20.56,20.56,18.89,19.87,126793
2025-02-26,20.25,21.55,20.06,20.66,241706
2025-02-27,21.48,22.03,18.51,19.01,217165
2025-02-28,18.75,19.48,17.85,19.47,207621
2025-03-03,19.97,20.03,17.26,17.81,1024089
2025-03-04,17.36,18.68,16.4,17.81,2092295
2025-03-05,17.6,18.44,16.86,18.23,956424
2025-03-06,17.05,17.81,15.75,16.66,1388851
2025-03-07,15.9,16.45,14.58,16.0,1080298
2025-03-10,14.84,14.88,13.16,13.7,1651409
2025-03-11,13.78,15.11,13.78,14.42,1148713
2025-03-12,15.45,15.78,14.7,15.45,2204639
2025-03-13,15.22,15.34,14.0,14.06,1183747
2025-03-14,14.82,15.54,14.64,15.52,1243111
2025-03-17,15.45,16.1,15.3,15.67,1145270
2025-03-18,15.2,15.32,14.33,14.72,1127826
2025-03-19,15.0,16.07,14.69,15.6,1717037
2025-03-20,15.12,15.96,14.96,15.21,860055
2025-03-21,14.55,15.44,14.53,15.38,1598950
2025-03-24,16.19,16.46,15.93,16.39,1094763
2025-03-25,16.58,17.12,16.58,16.95,1263163
2025-03-26,16.72,16.72,15.25,15.46,2649738
2025-03-27,15.05,15.49,14.78,14.93,1300249
2025-03-28,14.7,14.81,13.32,13.49,1562755
2025-03-31,12.61,13.39,12.03,13.31,2631230
2025-04-01,13.19,13.87,12.95,13.83,1819612
2025-04-02,13.14,14.56,13.09,14.15,2352947
2025-04-03,11.87,12.21,11.3,11.36,4079770
2025-04-04,10.1,10.4,9.13,9.5,5773599
2025-04-07,8.24,11.03,7.95,9.8,4204948
2025-04-08,11.24,11.47,8.96,9.49,3916198
2025-04-09,9.44,13.41,9.44,13.19,5276190
2025-04-10,12.14,12.29,10.28,11.5,3720773
2025-04-11,11.3,12.2,11.09,12.15,2115280
2025-04-14,13.1,13.12,11.83,12.22,2669612
2025-04-15,12.36,12.8,12.3,12.45,1491268
2025-04-16,11.54,11.98,10.63,11.26,2226340
2025-04-17,11.51,11.51,10.7,10.88,1585190
2025-04-21,10.27,10.54,9.67,10.14,1912174
2025-04-22,10.51,11.21,10.39,10.9,1493634
2025-04-23,12.27,12.69,11.86,11.98,2914135
2025-04-24,12.47,13.92,12.47,13.89,3239343
2025-04-25,14.14,14.65,13.83,14.58,2371595
2025-04-28,14.63,14.69,13.78,14.44,2482332
2025-04-29,14.19,14.76,14.06,14.61,5769685
2025-04-30,13.77,14.74,13.35,14.68,55461977
2025-05-01,15.66,16.14,15.45,15.5,3522305
2025-05-02,16.06,16.58,15.76,16.35,3093311
2025-05-05,15.73,16.37,15.61,16.03,3458134
2025-05-06,15.42,16.16,15.32,15.68,2584609
2025-05-07,15.6,15.94,14.98,15.7,3742290
2025-05-08,16.21,16.43,15.57,16.01,6087509
2025-05-09,16.0,16.19,15.33,15.68,5181199
2025-05-12,17.35,17.74,16.93,17.67,13384016
2025-05-13,17.91,19.28,17.83,18.98,13144256
2025-05-14,19.08,19.49,18.93,19.36,8305352
2025-05-15,18.91,19.54,18.67,19.09,6736464
2025-05-16,19.51,19.51,18.8,19.35,5984738
2025-05-19,18.43,19.38,18.28,19.29,6303715
2025-05-20,19.0,19.14,18.6,19.05,4436737
2025-05-21,18.45,19.76,18.31,18.6,9714941
2025-05-22,18.6,19.43,18.52,18.85,5218117
2025-05-23,17.95,18.8,17.86,18.36,6594819
2025-05-27,19.17,19.89,19.06,19.84,7143135
2025-05-28,20.0,20.23,19.68,19.82,5641867
2025-05-29,20.59,20.67,19.46,19.76,6901328
2025-05-30,19.66,20.0,18.69,19.78,5931944
2025-06-02,19.58,20.5,19.54,20.46,5916174
2025-06-03,20.53,21.09,20.37,20.89,6561329
2025-06-04,20.54,21.15,20.5,21.07,9469157
2025-06-05,21.28,21.78,20.79,21.07,9616555
2025-06-06,21.4,21.82,21.2,21.39,7185472
2025-06-09,21.53,21.67,21.21,21.32,4247563
2025-06-10,21.39,21.49,20.56,21.33,5430516
2025-06-11,21.48,21.91,21.17,21.45,6474631
2025-06-12,21.2,21.84,21.13,21.66,3814065
2025-06-13,20.9,21.5,20.63,20.87,7591833
2025-06-16,21.27,21.91,21.23,21.69,5090991
2025-06-17,21.5,21.86,21.31,21.49,5547850
2025-06-18,21.64,21.84,21.12,21.23,5441500
2025-06-20,21.7,21.7,20.5,20.68,5693827
