Date,Open,High,Low,Close,Volume
2019-11-07,36.83,39.74,36.06,36.15,6081
2019-11-08,36.0,36.62,35.36,36.62,6553
2019-11-11,35.71,36.53,35.71,36.32,3372
2019-11-12,36.81,37.23,36.31,36.59,4446
2019-11-13,35.76,36.26,35.76,36.07,290
2019-11-14,36.24,36.25,35.4,36.22,425
2019-11-15,37.14,37.36,37.14,37.31,528
2019-11-18,36.6,36.79,36.47,36.72,3948
2019-11-19,36.33,36.6,35.87,36.56,301
2019-11-20,35.97,36.39,35.74,35.74,218
2019-11-21,35.43,35.83,35.43,35.68,2000
2019-11-22,36.01,36.17,36.01,36.17,431
2019-11-25,37.67,38.0,37.67,38.0,120
2019-11-26,38.0,38.0,37.6,37.66,1813
2019-11-27,37.87,38.36,37.83,38.31,3728
2019-11-29,37.87,37.91,37.5,37.5,519
2019-12-02,36.42,37.31,36.2,36.2,536
2019-12-03,34.73,34.73,33.41,34.49,5476
2019-12-04,35.66,36.2,35.66,35.89,2794
2019-12-05,36.22,36.22,35.71,35.83,1080
2019-12-06,37.59,37.7,37.49,37.67,1630
2019-12-09,37.53,37.6,37.24,37.31,1127
2019-12-10,37.34,37.73,37.06,37.12,1229
2019-12-11,37.71,38.08,37.71,38.08,225
2019-12-12,39.57,40.85,39.57,40.85,2146
2019-12-13,40.84,41.61,39.97,40.14,8537
2019-12-16,42.5,42.5,41.31,41.32,1991
2019-12-17,41.57,41.69,41.47,41.69,1569
2019-12-18,41.81,42.43,41.81,42.18,1786
2019-12-19,42.39,42.82,42.39,42.82,1254
2019-12-20,43.86,51.57,43.09,43.33,10694
2019-12-23,45.41,49.73,43.6,44.26,9849
2019-12-24,45.0,45.0,44.14,44.2,4825
2019-12-26,44.84,44.87,44.41,44.43,7586
2019-12-27,46.74,46.74,43.81,43.95,6411
2019-12-30,43.22,43.84,43.01,43.12,8786
2019-12-31,43.26,43.83,42.86,43.83,6662
2020-01-02,44.87,45.54,44.49,45.54,5902
2020-01-03,45.37,45.37,43.89,43.97,8379
2020-01-06,42.14,44.1,42.14,44.1,10989
2020-01-07,44.24,45.31,44.24,45.14,2551
2020-01-08,45.21,46.07,44.49,45.43,14693
2020-01-09,46.79,49.18,45.29,46.05,19407
2020-01-10,46.03,46.03,44.97,45.2,5187
2020-01-13,47.46,47.81,45.43,46.26,7441
2020-01-14,46.26,47.01,46.01,46.47,16264
2020-01-15,46.11,46.24,45.76,45.76,1372
2020-01-16,47.04,47.43,47.04,47.43,7552
2020-01-17,47.77,49.39,47.27,47.82,8170
2020-01-21,47.09,47.34,46.66,46.98,7940
2020-01-22,46.97,47.19,46.05,46.05,8845
2020-01-23,45.46,46.66,44.59,46.66,9622
2020-01-24,46.89,46.89,43.86,44.36,6252
2020-01-27,42.14,43.39,39.04,40.3,6607
2020-01-28,42.59,42.59,40.59,42.09,7419
2020-01-29,44.0,44.0,41.13,41.13,22793
2020-01-30,41.11,41.19,37.06,41.19,8663
2020-01-31,41.06,41.06,38.13,38.21,17570
2020-02-03,40.1,40.1,38.86,39.12,14974
2020-02-04,41.36,42.5,41.36,42.3,15120
2020-02-05,44.16,45.89,43.44,44.43,16984
2020-02-06,45.06,45.06,44.17,44.52,13314
2020-02-07,46.73,46.73,42.45,42.46,9049
2020-02-10,42.26,43.03,42.06,42.99,8445
2020-02-11,44.07,45.66,44.07,44.53,14431
2020-02-12,46.41,46.41,45.77,46.27,14293
2020-02-13,45.14,46.87,43.51,45.7,6646
2020-02-14,46.0,46.0,44.49,45.05,14068
2020-02-18,43.48,44.6,43.48,44.6,3866
2020-02-19,45.86,46.11,44.24,46.1,24583
2020-02-20,46.36,46.9,43.71,45.88,7051
2020-02-21,44.6,44.6,42.76,42.98,5972
2020-02-24,37.34,38.78,35.8,36.87,18791
2020-02-25,39.1,39.1,32.2,32.34,38509
2020-02-26,33.37,33.81,30.98,30.98,18956
2020-02-27,28.4,32.25,26.51,28.17,39365
2020-02-28,24.26,27.63,23.57,27.42,60069
2020-03-02,31.2,31.2,26.53,29.89,38187
2020-03-03,30.67,32.14,26.35,27.13,29794
2020-03-04,31.11,31.11,27.21,30.0,21525
2020-03-05,27.09,27.09,24.4,25.59,54354
2020-03-06,23.41,24.21,20.81,22.21,55061
2020-03-09,20.0,20.17,14.95,17.69,100363
2020-03-10,19.46,19.51,14.07,16.07,88690
2020-03-11,14.89,18.97,12.44,12.79,100963
2020-03-12,11.43,13.07,8.51,8.59,170071
2020-03-13,10.71,12.29,8.66,10.43,233251
2020-03-16,9.39,10.36,7.44,8.29,174483
2020-03-17,8.73,8.73,6.29,7.63,108705
2020-03-18,6.43,7.29,6.43,6.46,95101
2020-03-19,6.57,7.48,6.43,6.57,113194
2020-03-20,7.23,7.43,6.18,6.84,127640
2020-03-23,7.53,7.56,6.0,6.53,266961
2020-03-24,7.17,7.21,6.29,6.59,282450
2020-03-25,6.93,8.44,5.64,7.09,328705
2020-03-26,7.11,8.56,7.11,8.1,227950
2020-03-27,7.29,7.46,6.76,7.07,166573
2020-03-30,7.0,7.84,6.27,7.06,170058
2020-03-31,7.34,7.54,6.74,6.92,42284
2020-04-01,6.43,6.43,5.4,5.67,229077
2020-04-02,6.61,6.73,5.57,5.84,218551
2020-04-03,6.17,6.17,5.43,5.56,99296
