Date,Open,High,Low,Close,Volume
2000-05-26,9.14,9.14,9.14,9.14,40000
2000-05-30,9.44,9.49,9.44,9.49,52100
2000-05-31,9.48,9.48,9.48,9.48,100
2000-06-01,9.48,9.65,9.48,9.65,10200
2000-06-02,10.06,10.07,10.03,10.03,41100
2000-06-05,9.97,9.97,9.94,9.95,65300
2000-06-06,9.94,10.01,9.89,9.89,119500
2000-06-07,9.8,9.88,9.8,9.88,700
2000-06-08,9.89,9.9,9.83,9.83,301700
2000-06-09,9.92,9.97,9.92,9.93,1700
2000-06-12,9.96,9.96,9.76,9.76,73000
2000-06-13,9.81,9.81,9.71,9.78,102200
2000-06-14,9.93,9.93,9.8,9.8,35700
2000-06-15,9.93,9.95,9.78,9.95,225300
2000-06-16,9.92,9.98,9.91,9.91,302000
2000-06-19,9.92,10.1,9.9,10.08,5800
2000-06-20,10.11,10.15,10.05,10.14,76700
2000-06-21,10.1,10.11,10.09,10.11,100600
2000-06-22,9.97,10.01,9.83,9.83,230300
2000-06-23,9.83,9.85,9.74,9.75,150500
2000-06-26,9.82,9.82,9.76,9.8,27200
2000-06-27,9.82,9.82,9.71,9.74,48800
2000-06-28,9.73,9.85,9.73,9.85,2000
2000-06-29,9.77,9.9,9.77,9.89,181900
2000-06-30,9.7,9.7,9.7,9.7,4300
2000-07-03,9.7,9.83,9.7,9.83,52000
2000-07-05,9.74,9.79,9.71,9.71,5000
2000-07-06,9.72,9.81,9.71,9.81,407400
2000-07-07,9.87,9.96,9.87,9.94,26800
2000-07-10,10.01,10.09,10.01,10.08,102200
2000-07-11,10.01,10.18,10.01,10.14,132100
2000-07-12,10.2,10.28,10.2,10.28,123400
2000-07-13,10.33,10.33,10.29,10.3,24600
2000-07-14,10.33,10.36,10.29,10.36,78600
2000-07-17,10.33,10.37,10.29,10.36,12000
2000-07-18,10.33,10.34,10.23,10.23,170600
2000-07-19,10.24,10.24,10.13,10.13,87700
2000-07-20,10.27,10.27,10.13,10.24,9300
2000-07-21,10.14,10.15,10.1,10.1,35800
2000-07-24,10.11,10.11,10.0,10.01,51400
2000-07-25,10.02,10.02,9.95,9.96,82300
2000-07-26,10.02,10.02,9.82,9.93,66100
2000-07-28,9.85,9.85,9.63,9.69,30200
2000-07-31,9.79,9.79,9.63,9.79,600
2000-08-01,9.85,9.87,9.63,9.83,3200
2000-08-02,9.85,9.98,9.63,9.83,3600
2000-08-03,9.74,9.92,9.74,9.92,500
2000-08-04,10.07,10.1,10.07,10.09,11900
2000-08-07,10.24,10.25,10.22,10.22,600
2000-08-08,10.24,10.27,10.24,10.26,6900
2000-08-09,10.3,10.31,10.15,10.15,65100
2000-08-10,10.16,10.18,10.11,10.11,103600
2000-08-11,10.11,10.28,10.09,10.28,99600
2000-08-14,10.3,10.39,10.3,10.38,75800
2000-08-15,10.32,10.35,10.31,10.31,153800
2000-08-16,10.39,10.39,10.33,10.33,4300
2000-08-17,10.37,10.45,10.37,10.44,69800
2000-08-18,10.52,10.53,10.45,10.49,15600
2000-08-21,10.52,10.54,10.47,10.5,8500
2000-08-22,10.52,10.54,10.49,10.54,56500
2000-08-23,10.48,10.54,10.42,10.54,121500
2000-08-24,10.57,10.63,10.52,10.63,80400
2000-08-25,10.63,10.67,10.63,10.64,22900
2000-08-28,10.67,10.74,10.67,10.7,195400
2000-08-29,10.67,10.73,10.66,10.73,301900
2000-08-30,10.71,10.74,10.71,10.74,6900
2000-08-31,10.8,10.91,10.8,10.89,274300
2000-09-01,10.97,10.99,10.93,10.99,21100
2000-09-05,10.96,10.96,10.88,10.88,26200
2000-09-06,10.81,10.86,10.8,10.83,44800
2000-09-07,10.9,11.01,10.88,11.01,108300
2000-09-08,10.96,10.96,10.91,10.93,226600
2000-09-11,10.88,11.02,10.88,10.93,45000
2000-09-12,10.98,11.0,10.85,10.87,211500
2000-09-13,10.85,10.88,10.8,10.83,206800
2000-09-14,10.93,10.98,10.93,10.93,115400
2000-09-15,10.87,10.91,10.83,10.84,128600
2000-09-18,10.87,10.87,10.52,10.53,474600
2000-09-19,10.57,10.66,10.53,10.66,238300
2000-09-20,10.67,10.67,10.52,10.65,293800
2000-09-21,10.55,10.58,10.49,10.49,98900
2000-09-22,10.4,10.51,10.36,10.5,144900
2000-09-25,10.62,10.68,10.6,10.6,27600
2000-09-26,10.59,10.67,10.54,10.55,129200
2000-09-27,10.66,10.67,10.54,10.58,249600
2000-09-28,10.61,10.87,10.61,10.87,241200
2000-09-29,10.84,10.84,10.75,10.75,161400
2000-10-02,10.83,10.83,10.64,10.64,195700
2000-10-03,10.71,10.71,10.5,10.5,107200
2000-10-04,10.41,10.48,10.37,10.46,55500
2000-10-05,10.49,10.52,10.45,10.48,36900
2000-10-06,10.5,10.5,10.22,10.26,132400
2000-10-09,10.26,10.28,10.1,10.25,47600
2000-10-10,10.25,10.28,10.01,10.01,119500
2000-10-11,9.91,10.02,9.83,9.95,125400
2000-10-12,9.86,9.9,9.68,9.7,168800
2000-10-13,9.71,10.01,9.71,10.01,59500
2000-10-16,10.03,10.11,9.97,10.09,27600
2000-10-17,10.13,10.13,9.8,9.85,134500
2000-10-18,9.54,9.91,9.54,9.91,8400
2000-10-19,10.01,10.18,10.01,10.18,103700
2000-10-20,10.2,10.37,10.2,10.35,35200
2000-10-23,10.33,10.42,10.31,10.35,9200
2000-10-24,10.34,10.34,10.2,10.23,63700
2000-10-25,10.01,10.17,9.94,9.94,76600
2000-10-26,9.93,10.04,9.78,10.04,95900
2000-10-27,10.07,10.13,9.98,10.1,58800
2000-10-30,10.07,10.19,10.07,10.15,48200
2000-10-31,10.23,10.45,10.23,10.4,100200
2000-11-01,10.39,10.49,10.37,10.44,131700
2000-11-02,10.5,10.62,10.48,10.62,45000
2000-11-03,10.6,10.65,10.55,10.61,63100
2000-11-06,10.63,10.68,10.6,10.62,40000
2000-11-07,10.58,10.59,10.51,10.59,7100
2000-11-08,10.6,10.63,10.42,10.42,179200
2000-11-09,10.32,10.37,10.14,10.29,125000
2000-11-10,10.2,10.21,10.06,10.06,91600
2000-11-13,9.89,9.99,9.7,9.9,117200
2000-11-14,10.02,10.13,10.02,10.1,38400
2000-11-15,10.1,10.32,10.1,10.28,222900
2000-11-16,10.22,10.25,10.13,10.13,78500
2000-11-17,10.13,10.26,10.09,10.11,19900
2000-11-20,10.02,10.02,9.86,9.92,89500
2000-11-21,9.93,9.95,9.81,9.89,68100
2000-11-22,9.83,9.83,9.7,9.75,118600
2000-11-24,9.85,10.01,9.85,10.0,4900
2000-11-27,10.17,10.2,10.08,10.08,65700
2000-11-28,10.03,10.04,9.84,9.88,52300
2000-11-29,9.85,9.87,9.74,9.8,156100
2000-11-30,9.68,9.68,9.47,9.68,126700
2000-12-01,9.72,9.96,9.72,9.81,23400
2000-12-04,9.8,9.85,9.74,9.8,27400
2000-12-05,9.95,10.16,9.95,10.16,134200
2000-12-06,10.27,10.31,10.05,10.08,241400
2000-12-07,9.99,10.12,9.99,10.11,58000
2000-12-08,10.31,10.48,10.31,10.48,19500
2000-12-11,10.53,10.75,10.53,10.69,92100
2000-12-12,10.59,10.59,10.39,10.39,124800
2000-12-13,10.38,10.38,10.14,10.14,176100
2000-12-14,10.12,10.18,9.98,9.99,39600
2000-12-15,9.88,9.89,9.79,9.88,11400
2000-12-18,9.98,10.06,9.97,9.99,66400
2000-12-19,9.98,10.15,9.89,9.9,79300
2000-12-20,9.71,9.71,9.56,9.58,68600
2000-12-21,9.58,9.75,9.52,9.65,144200
2000-12-22,9.78,10.0,9.78,10.0,116500
2000-12-26,10.06,10.12,10.03,10.12,33000
2000-12-27,10.06,10.29,10.06,10.29,103600
2000-12-28,10.29,10.53,10.29,10.53,42000
2000-12-29,10.55,10.56,10.32,10.33,35800
2001-01-02,10.23,10.23,9.86,9.86,7100
2001-01-03,9.8,10.29,9.7,10.24,73200
2001-01-04,10.26,10.26,10.03,10.04,70000
2001-01-05,10.05,10.05,9.72,9.76,177800
2001-01-08,9.72,9.77,9.61,9.77,16500
2001-01-09,9.8,9.81,9.69,9.75,127900
2001-01-10,9.7,9.99,9.7,9.99,204400
2001-01-11,10.0,10.14,10.0,10.11,92400
2001-01-12,10.1,10.2,10.03,10.16,234100
2001-01-16,10.12,10.13,10.06,10.12,3900
2001-01-17,10.3,10.31,10.16,10.16,46400
2001-01-18,10.12,10.17,10.1,10.16,164400
2001-01-19,10.23,10.23,10.08,10.08,53600
2001-01-22,10.13,10.16,10.11,10.12,82000
2001-01-23,10.14,10.39,10.14,10.39,76000
2001-01-24,10.4,10.48,10.39,10.4,67500
2001-01-25,10.3,10.41,10.3,10.33,103200
2001-01-26,10.29,10.37,10.22,10.36,94900
2001-01-29,10.37,10.53,10.37,10.52,61500
2001-01-30,10.57,10.59,10.49,10.59,66000
2001-01-31,10.63,10.67,10.49,10.49,199700
2001-02-01,10.49,10.53,10.45,10.51,50200
2001-02-02,10.5,10.52,10.33,10.33,69900
2001-02-05,10.33,10.39,10.31,10.38,35600
2001-02-06,10.4,10.6,10.4,10.49,54800
2001-02-07,10.41,10.49,10.38,10.49,3000
2001-02-08,10.5,10.53,10.43,10.43,45000
2001-02-09,10.4,10.45,10.35,10.37,246600
2001-02-12,10.37,10.5,10.36,10.5,41900
2001-02-13,10.53,10.61,10.48,10.48,3500
2001-02-14,10.43,10.43,10.35,10.43,92400
2001-02-15,10.54,10.59,10.52,10.56,15200
2001-02-16,10.35,10.43,10.31,10.38,5300
2001-02-20,10.42,10.42,10.2,10.2,8900
2001-02-21,10.18,10.19,10.04,10.04,26300
2001-02-22,10.0,10.01,9.84,9.95,10800
2001-02-23,9.88,9.97,9.73,9.95,13400
2001-02-26,10.03,10.21,10.03,10.21,30400
2001-02-27,10.19,10.19,10.02,10.03,49900
2001-02-28,10.06,10.07,9.86,9.9,46200
2001-03-01,9.89,9.92,9.71,9.92,45100
2001-03-02,9.78,10.11,9.78,10.02,3800
2001-03-05,10.03,10.07,9.99,10.01,13100
2001-03-06,10.1,10.17,10.1,10.14,9100
2001-03-07,10.18,10.22,10.13,10.22,7400
2001-03-08,10.21,10.21,10.1,10.15,34100
2001-03-09,10.02,10.03,9.93,9.93,61000
2001-03-12,9.82,9.82,9.51,9.53,71500
2001-03-13,9.55,9.62,9.42,9.62,51100
2001-03-14,9.45,9.63,9.4,9.45,40300
2001-03-15,9.54,9.54,9.39,9.39,7300
2001-03-16,9.38,9.38,9.17,9.17,40300
2001-03-19,9.2,9.41,9.13,9.41,34000
2001-03-20,9.42,9.5,9.19,9.22,41900
2001-03-21,9.16,9.19,9.0,9.0,13600
2001-03-22,8.91,8.93,8.66,8.91,91900
2001-03-23,9.02,9.14,8.98,9.14,120700
2001-03-26,9.22,9.32,9.2,9.22,29000
2001-03-27,9.19,9.35,9.16,9.34,7100
2001-03-28,9.19,9.22,9.11,9.16,20600
2001-03-29,9.05,9.22,9.05,9.09,5200
2001-03-30,9.17,9.27,9.16,9.17,10800
2001-04-02,9.19,9.2,8.97,8.97,35900
2001-04-03,8.9,8.9,8.68,8.7,12100
2001-04-04,8.75,8.78,8.63,8.65,16000
2001-04-05,8.88,9.11,8.86,9.08,33100
2001-04-06,8.98,9.01,8.92,8.92,35000
2001-04-09,9.01,9.13,8.98,9.05,25900
2001-04-10,9.14,9.36,9.14,9.33,8000
2001-04-11,9.5,9.5,9.32,9.32,27100
2001-04-12,9.3,9.49,9.28,9.49,38300
2001-04-16,9.39,9.47,9.31,9.31,80100
2001-04-17,9.38,9.5,9.38,9.48,24500
2001-04-18,9.66,9.95,9.65,9.84,104900
2001-04-19,9.8,9.94,9.79,9.94,57900
2001-04-20,9.88,9.93,9.75,9.83,66300
2001-04-23,9.78,9.78,9.68,9.71,18700
2001-04-24,9.7,9.82,9.65,9.65,24900
2001-04-25,9.7,9.87,9.64,9.87,31200
2001-04-26,9.91,10.04,9.91,10.0,62200
2001-04-27,10.07,10.13,10.04,10.13,52300
2001-04-30,10.18,10.31,10.18,10.21,11700
2001-05-01,10.17,10.3,10.1,10.3,21200
2001-05-02,10.33,10.33,10.16,10.25,13900
2001-05-03,10.13,10.14,10.07,10.09,37100
2001-05-04,9.96,10.25,9.96,10.25,57200
2001-05-07,10.35,10.37,10.24,10.24,9600
2001-05-08,10.3,10.31,10.2,10.25,33600
2001-05-09,10.18,10.27,10.18,10.22,25500
2001-05-10,10.3,10.31,10.21,10.21,14600
2001-05-11,10.23,10.24,10.13,10.16,33200
2001-05-14,10.15,10.16,10.1,10.16,14500
2001-05-15,10.14,10.25,10.14,10.22,31300
2001-05-16,10.16,10.49,10.16,10.48,31900
2001-05-17,10.49,10.6,10.47,10.58,17600
2001-05-18,10.62,10.66,10.59,10.65,13100
2001-05-21,10.65,10.9,10.63,10.9,17800
2001-05-22,10.87,10.96,10.87,10.89,44300
2001-05-23,10.84,10.84,10.65,10.65,101000
2001-05-24,10.67,10.71,10.58,10.69,50300
2001-05-25,10.67,10.7,10.66,10.67,7600
2001-05-29,10.61,10.61,10.5,10.51,9500
2001-05-30,10.44,10.45,10.28,10.29,45400
2001-05-31,10.41,10.48,10.38,10.43,114600
2001-06-01,10.46,10.56,10.41,10.56,17300
2001-06-04,10.61,10.63,10.56,10.62,7200
2001-06-05,10.64,10.82,10.64,10.81,21200
2001-06-06,10.74,10.76,10.65,10.67,23300
2001-06-07,10.67,10.73,10.67,10.73,9100
2001-06-08,10.7,10.7,10.58,10.64,20600
2001-06-11,10.6,10.6,10.45,10.5,46600
2001-06-12,10.36,10.5,10.29,10.5,30300
2001-06-13,10.5,10.57,10.39,10.39,33400
2001-06-14,10.3,10.3,10.15,10.15,38900
2001-06-15,10.11,10.22,10.07,10.16,36500
2001-06-18,10.18,10.21,10.09,10.11,40100
2001-06-19,10.17,10.2,10.06,10.07,14700
2001-06-20,10.05,10.23,10.05,10.23,14300
2001-06-21,10.22,10.26,10.19,10.25,7100
2001-06-22,10.22,10.22,10.04,10.09,14600
2001-06-25,10.15,10.16,10.02,10.06,22200
2001-06-26,9.97,10.12,9.97,10.1,12700
2001-06-27,10.1,10.17,10.08,10.15,32900
2001-06-28,10.21,10.32,10.21,10.25,213100
2001-06-29,10.3,10.4,10.3,10.37,25400
2001-07-02,10.31,10.34,10.3,10.3,7400
2001-07-03,10.29,10.33,10.28,10.33,7700
2001-07-05,10.29,10.33,10.24,10.24,13900
2001-07-06,10.19,10.19,10.03,10.11,6000
2001-07-09,10.05,10.12,10.02,10.04,41000
2001-07-10,10.07,10.07,9.93,9.94,146800
2001-07-11,9.91,9.93,9.81,9.91,6900
2001-07-12,9.99,10.14,9.98,10.14,14400
2001-07-13,10.11,10.22,10.11,10.18,7200
2001-07-16,10.18,10.18,10.03,10.04,11600
2001-07-17,10.0,10.16,10.0,10.16,15600
2001-07-18,10.13,10.16,10.09,10.11,11100
2001-07-19,10.21,10.27,10.12,10.16,7000
2001-07-20,10.13,10.22,10.13,10.19,70000
2001-07-23,10.24,10.24,10.08,10.08,11700
2001-07-24,10.07,10.07,9.85,9.88,66200
2001-07-25,9.9,9.99,9.84,9.99,16500
2001-07-26,9.97,10.14,9.96,10.11,11100
2001-07-27,10.15,10.22,10.12,10.22,161400
2001-07-30,10.21,10.21,10.13,10.18,16700
2001-07-31,10.21,10.29,10.17,10.17,14500
2001-08-01,10.24,10.32,10.24,10.26,10000
2001-08-02,10.34,10.34,10.2,10.26,24600
2001-08-03,10.25,10.27,10.16,10.27,47200
2001-08-06,10.21,10.22,10.1,10.1,4500
2001-08-07,10.1,10.13,10.05,10.08,53100
2001-08-08,10.07,10.13,9.94,9.94,38500
2001-08-09,9.93,9.94,9.84,9.91,13100
2001-08-10,9.97,10.0,9.84,9.99,58100
2001-08-13,9.99,10.07,9.97,10.06,77900
2001-08-14,10.11,10.11,10.06,10.09,8300
2001-08-15,10.11,10.11,10.01,10.06,39300
2001-08-16,10.0,10.07,9.95,10.07,10600
2001-08-17,9.98,9.98,9.88,9.88,11500
2001-08-20,9.92,9.95,9.87,9.95,21100
2001-08-21,9.96,10.03,9.87,9.87,3300
2001-08-22,9.92,9.98,9.86,9.96,10400
2001-08-23,9.97,10.04,9.96,9.96,38100
2001-08-24,10.02,10.08,10.02,10.06,15300
2001-08-27,10.08,10.12,10.03,10.09,14500
2001-08-28,10.06,10.07,9.95,9.96,41700
2001-08-29,9.99,9.99,9.89,9.92,12200
2001-08-30,9.87,9.92,9.77,9.8,23400
2001-08-31,9.82,9.89,9.82,9.89,8800
2001-09-04,9.88,9.99,9.84,9.85,6400
2001-09-05,9.81,9.84,9.65,9.73,16700
2001-09-06,9.68,9.68,9.56,9.56,10900
2001-09-07,9.51,9.53,9.36,9.42,20900
2001-09-10,9.37,9.39,9.32,9.34,10000
2001-09-17,8.78,9.08,8.78,8.93,57000
2001-09-18,8.78,9.08,8.74,8.77,25700
2001-09-19,8.8,8.8,8.33,8.56,17400
2001-09-20,8.43,8.46,8.23,8.28,67200
2001-09-21,7.91,8.14,7.91,8.11,41500
2001-09-24,8.3,8.39,8.3,8.35,42100
2001-09-25,8.4,8.44,8.32,8.39,10800
2001-09-26,8.44,8.44,8.27,8.32,32700
