Date,Open,High,Low,Close,Volume
2015-05-28,3087.2,3270.4,3087.2,3132.62,45679
2015-05-29,3224.8,3349.6,3160.0,3277.6,25939
2015-06-01,3414.4,3667.2,3148.8,3299.2,204988
2015-06-02,3281.6,3372.79,3156.8,3268.0,67551
2015-06-03,3350.4,3408.0,3248.0,3391.2,136565
2015-06-04,3344.0,3437.6,3185.6,3326.4,144314
2015-06-05,3305.6,3497.44,3200.0,3480.8,142572
2015-06-08,3523.2,3563.19,3408.0,3486.4,165760
2015-06-09,3485.6,3485.6,3211.52,3321.6,170445
2015-06-10,3324.0,3414.42,3240.0,3414.42,136202
2015-06-11,3467.2,3476.0,3354.4,3474.11,104675
2015-06-12,3460.0,3460.0,3280.0,3314.4,144760
2015-06-15,3240.0,3357.6,3143.2,3343.2,140678
2015-06-16,3334.4,3440.0,3296.0,3364.0,81141
2015-06-17,3428.8,3548.0,3420.0,3495.2,324546
2015-06-18,3560.8,3848.8,3560.8,3794.4,174307
2015-06-19,3860.0,3880.0,3707.2,3858.4,233956
2015-06-22,4000.0,4197.6,3932.8,4188.8,491403
2015-06-23,4298.4,4336.8,4031.2,4180.8,383970
2015-06-24,4161.6,4202.4,3858.78,3909.6,249040
2015-06-25,4000.8,4016.0,3680.0,3807.2,302933
2015-06-26,3863.2,3909.6,3547.2,3732.8,289076
2015-06-29,3558.4,3728.8,3348.0,3363.2,311121
2015-06-30,3616.0,3831.2,3507.2,3816.8,334378
2015-07-01,3980.0,4000.0,3552.8,3650.4,303010
2015-07-02,3777.6,3779.2,3496.8,3560.0,100488
2015-07-06,3420.0,3804.0,3404.8,3696.8,153792
2015-07-07,3712.8,3749.31,3424.16,3736.0,230677
2015-07-08,3568.0,3620.0,3302.48,3341.6,443849
2015-07-09,3501.6,3583.2,3455.2,3527.2,300385
2015-07-10,3708.8,3784.8,3560.8,3773.6,323780
2015-07-13,3884.8,4108.38,3880.0,4065.6,397338
2015-07-14,4101.6,4370.88,4043.2,4344.0,410161
2015-07-15,4468.8,4609.6,4256.34,4320.0,560675
2015-07-16,4488.0,4587.2,4356.0,4567.2,376891
2015-07-17,4633.2,4648.51,4409.61,4648.0,287966
2015-07-20,4728.8,4785.6,4497.6,4632.8,361313
2015-07-21,4632.8,4632.8,4216.0,4416.01,364432
2015-07-22,4126.4,4500.0,4100.0,4456.8,234760
2015-07-23,4506.4,4613.6,4312.0,4340.0,311782
2015-07-24,4194.4,4378.4,3868.8,3890.4,670610
2015-07-27,3770.4,3780.8,3540.0,3698.4,572348
2015-07-28,3844.0,4052.0,3628.4,4003.2,351942
2015-07-29,4104.0,4105.6,3626.41,3749.6,568618
2015-07-30,3744.8,3778.4,3434.4,3717.6,328977
2015-07-31,3764.0,3994.4,3664.0,3851.2,413072
2015-08-03,3885.6,4014.4,3721.6,3843.2,402864
2015-08-04,3876.0,3962.39,3792.01,3847.2,285199
2015-08-05,3924.0,4044.0,3848.0,3898.4,240161
2015-08-06,3880.0,3886.84,3225.6,3300.17,932083
2015-08-07,3296.8,3297.6,2820.0,3056.0,983932
2015-08-10,3240.0,3294.4,3090.4,3139.2,343646
2015-08-11,2964.8,3240.0,2822.4,2937.6,523732
2015-08-12,2800.8,3060.0,2600.8,3004.0,861923
2015-08-13,3049.6,3116.0,2836.0,2849.6,351518
2015-08-14,2824.0,2887.09,2572.0,2723.2,660822
2015-08-17,2658.4,3073.52,2640.0,3052.0,683846
2015-08-18,3044.0,3055.19,2828.0,2845.6,321050
2015-08-19,2782.4,2838.4,2600.0,2720.0,604404
2015-08-20,2613.6,2712.79,2274.56,2277.6,976745
2015-08-21,2151.2,2488.0,2098.41,2283.2,1222927
2015-08-24,1680.0,2392.0,1628.0,1960.8,952937
2015-08-25,2320.0,2360.0,1984.0,1992.01,1032645
2015-08-26,2161.6,2301.6,1918.4,2300.8,954123
2015-08-27,2420.0,2525.6,2313.05,2473.6,1064689
2015-08-28,2440.0,2632.0,2399.2,2632.0,633453
2015-08-31,2620.0,2719.2,2388.8,2397.6,1143602
2015-09-01,2161.6,2372.0,2155.2,2193.6,732559
2015-09-02,2320.8,2464.0,2192.8,2464.0,620267
2015-09-03,2520.8,2556.0,2226.4,2237.6,977510
2015-09-04,2164.0,2362.39,2126.4,2278.4,709246
2015-09-08,2440.0,2576.0,2340.0,2559.2,905853
2015-09-09,2673.6,2676.0,2348.0,2372.0,776530
2015-09-10,2320.8,2575.2,2320.8,2558.4,510179
2015-09-11,2541.6,2683.2,2464.0,2683.2,449343
2015-09-14,2688.8,2712.0,2537.6,2663.2,292586
2015-09-15,2663.2,2776.0,2616.8,2740.0,402395
2015-09-16,2735.2,2823.19,2553.6,2656.81,570468
2015-09-17,2645.6,3006.4,2602.4,2915.2,898301
2015-09-18,2760.0,2922.4,2744.0,2884.8,542566
