Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,39.810001,39.810001,39.810001,39.810001,38.824177,100
2015-08-20,38.639999,38.720001,37.750000,37.750000,36.815189,1600
2015-08-21,36.990002,37.099998,35.230000,35.671001,34.787670,600
2015-08-24,35.671001,35.671001,35.671001,35.671001,34.787670,0
2015-08-25,33.150002,33.150002,33.150002,33.150002,32.329098,700
2015-08-26,28.990000,28.990000,27.969999,27.969999,27.277370,600
2015-08-27,31.139999,33.520000,31.100000,33.520000,32.689938,10500
2015-08-28,31.730000,33.000000,31.730000,33.000000,32.182808,800
2015-08-31,31.709999,32.520000,31.709999,32.520000,31.714697,900
2015-09-01,30.320000,30.320000,29.170000,29.170000,28.447653,1400
2015-09-02,30.670000,31.430000,29.530001,31.430000,30.651691,4300
2015-09-03,32.430000,33.419998,32.430000,33.259998,32.436367,7300
2015-09-04,31.629999,33.869999,30.927000,31.070000,30.300606,4200
2015-09-08,30.330000,32.119999,30.330000,32.119999,31.324600,800
2015-09-09,35.000000,35.000000,32.610001,32.610001,31.802465,2200
2015-09-10,31.770000,32.799999,31.680000,32.799999,31.987770,1100
2015-09-11,32.799999,32.799999,32.799999,32.799999,31.987770,0
2015-09-14,33.660000,33.660000,33.660000,33.660000,32.826466,200
2015-09-15,33.330002,34.000000,33.020000,33.689999,32.855728,4700
2015-09-16,33.349998,33.349998,33.090000,33.349998,32.524139,3500
2015-09-17,33.889999,36.250000,33.889999,34.549999,33.694427,13700
2015-09-18,34.660000,34.660000,32.619999,32.619999,31.812223,1000
2015-09-21,32.950001,34.480000,31.500000,31.886999,31.097374,1700
2015-09-22,31.469999,31.469999,29.049999,29.500000,28.769484,1600
2015-09-23,30.139999,30.139999,30.100000,30.100000,29.354626,600
2015-09-24,28.500000,29.040001,27.790001,29.040001,28.320873,1300
2015-09-25,31.110001,31.110001,31.110001,31.110001,30.339615,200
2015-09-28,28.480000,28.480000,28.000000,28.000000,27.306627,600
2015-09-29,25.150000,25.974001,24.900000,25.040001,24.419928,3400
2015-09-30,25.850000,25.860001,24.611000,24.980000,24.361414,2600
2015-10-01,26.270000,27.270000,26.160000,27.270000,26.594706,2400
2015-10-02,25.990999,27.480000,25.990999,27.480000,26.799503,900
2015-10-05,29.260000,30.466999,29.260000,30.223000,29.474579,1900
2015-10-06,30.132000,30.520000,28.670000,28.827000,28.113148,5600
2015-10-07,29.580000,30.200001,29.330000,30.191000,29.443371,1400
2015-10-08,30.500000,30.500000,30.500000,30.500000,29.744719,200
