Date,Open,High,Low,Close,Volume
2010-07-14,1.3,1.33,1.3,1.31,71765
2010-07-15,1.31,1.33,1.31,1.33,95300
2010-07-16,1.28,1.28,1.25,1.25,60100
2010-07-19,1.24,1.24,1.24,1.24,11500
2010-07-20,1.23,1.28,1.23,1.28,4200
2010-07-21,1.3,1.31,1.27,1.27,3800
2010-07-22,1.3,1.31,1.3,1.31,10200
2010-07-23,1.3,1.35,1.29,1.35,7080
2010-07-26,1.35,1.38,1.35,1.38,3550
2010-07-27,1.39,1.39,1.39,1.39,382
2010-07-28,1.33,1.33,1.33,1.33,200
2010-07-30,1.28,1.28,1.28,1.28,100
2010-08-02,1.37,1.37,1.37,1.37,100
2010-08-03,1.33,1.33,1.33,1.33,100
2010-08-04,1.33,1.37,1.33,1.36,51400
2010-08-05,1.37,1.37,1.37,1.37,100
2010-08-06,1.33,1.33,1.33,1.33,3400
2010-08-09,1.38,1.39,1.38,1.38,1000
2010-08-10,1.35,1.38,1.35,1.36,30600
2010-08-11,1.31,1.32,1.31,1.31,620
2010-08-12,1.3,1.3,1.3,1.3,300
2010-08-13,1.29,1.29,1.28,1.28,1100
2010-08-16,1.29,1.29,1.29,1.29,1000
2010-08-17,1.34,1.34,1.31,1.31,541
2010-08-18,1.35,1.35,1.35,1.35,400
2010-08-19,1.34,1.34,1.3,1.3,11500
2010-08-20,1.29,1.29,1.29,1.29,100
2010-08-23,1.33,1.35,1.3,1.3,13000
2010-08-24,1.27,1.28,1.26,1.28,1750
2010-08-25,1.28,1.32,1.27,1.32,3500
2010-08-26,1.32,1.32,1.32,1.32,1655
2010-08-27,1.29,1.32,1.27,1.32,6400
2010-08-30,1.27,1.27,1.27,1.27,1200
2010-08-31,1.25,1.28,1.25,1.28,2915
2010-09-01,1.33,1.34,1.33,1.34,8300
2010-09-02,1.37,1.4,1.37,1.4,2500
2010-09-03,1.42,1.44,1.41,1.42,1200
2010-09-07,1.42,1.42,1.39,1.39,1740
2010-09-08,1.41,1.41,1.4,1.41,500
2010-09-09,1.43,1.43,1.4,1.4,2800
2010-09-10,1.43,1.43,1.43,1.43,500
2010-09-13,1.46,1.46,1.46,1.46,100
2010-09-14,1.5,1.51,1.5,1.51,200
2010-09-15,1.48,1.5,1.48,1.5,950
2010-09-16,1.5,1.5,1.49,1.49,823
2010-09-17,1.49,1.49,1.49,1.49,100
2010-09-20,1.53,1.55,1.53,1.55,2525
2010-09-21,1.66,1.66,1.55,1.55,1400
2010-09-22,1.56,1.56,1.55,1.55,700
2010-09-24,1.64,1.64,1.64,1.64,1100
2010-09-27,1.57,1.63,1.57,1.62,6099
2010-09-28,1.59,1.65,1.59,1.65,650
2010-09-29,1.64,1.64,1.63,1.63,1100
2010-09-30,1.65,1.65,1.61,1.62,1500
2010-10-01,1.61,1.61,1.61,1.61,300
2010-10-05,1.63,1.65,1.63,1.65,7500
2010-10-07,1.65,1.65,1.65,1.65,200
2010-10-08,1.66,1.66,1.66,1.66,300
2010-10-11,1.67,1.67,1.67,1.67,300
2010-10-12,1.66,1.66,1.66,1.66,500
2010-10-13,1.67,1.69,1.65,1.65,360
2010-10-14,1.64,1.64,1.61,1.61,1100
2010-10-15,1.65,1.66,1.64,1.66,1500
2010-10-18,1.71,1.71,1.65,1.65,4368
2010-10-19,1.63,1.64,1.6,1.61,7868
2010-10-20,1.62,1.64,1.62,1.63,1200
2010-10-21,1.67,1.69,1.65,1.67,9800
2010-10-22,1.68,1.68,1.68,1.68,400
2010-10-25,1.71,1.71,1.69,1.69,753
2010-10-26,1.68,1.71,1.68,1.7,1100
2010-10-27,1.67,1.67,1.64,1.65,7100
2010-10-28,1.68,1.68,1.66,1.66,520
2010-10-29,1.66,1.66,1.66,1.66,900
2010-11-01,1.67,1.68,1.65,1.67,10000
2010-11-02,1.68,1.72,1.68,1.7,15100
2010-11-03,1.7,1.71,1.69,1.71,5700
2010-11-04,1.75,1.77,1.75,1.77,4010
2010-11-05,1.77,1.8,1.77,1.79,13821
2010-11-08,1.78,1.79,1.77,1.78,8200
2010-11-09,1.77,1.78,1.74,1.74,8000
2010-11-10,1.76,1.77,1.73,1.77,1000
2010-11-11,1.74,1.77,1.74,1.77,5600
2010-11-12,1.76,1.76,1.72,1.72,10743
2010-11-15,1.73,1.73,1.7,1.7,8400
2010-11-16,1.7,1.74,1.69,1.7,8700
2010-11-17,1.72,1.72,1.71,1.71,6060
2010-11-18,1.76,1.78,1.74,1.74,9400
2010-11-19,1.73,1.77,1.73,1.77,18900
2010-11-22,1.77,1.81,1.76,1.8,9595
2010-11-23,1.79,1.79,1.76,1.78,5991
2010-11-24,1.81,1.85,1.81,1.85,6670
2010-11-26,1.83,1.84,1.83,1.84,1900
2010-11-29,2.0,2.0,1.8,1.82,4914
2010-11-30,1.78,1.84,1.78,1.84,5620
2010-12-01,1.89,1.89,1.86,1.88,10422
2010-12-02,1.89,1.93,1.88,1.93,10998
2010-12-03,1.92,1.92,1.89,1.92,34320
2010-12-06,1.92,1.93,1.92,1.92,1590
2010-12-07,1.96,1.96,1.93,1.93,2435
2010-12-08,1.92,1.93,1.92,1.93,500
2010-12-09,1.98,1.98,1.92,1.92,1100
2010-12-10,1.93,1.93,1.93,1.93,690
2010-12-13,1.94,1.94,1.92,1.92,2076
2010-12-14,1.89,1.89,1.88,1.89,8940
2010-12-15,1.88,1.9,1.88,1.9,4176
2010-12-16,1.89,1.92,1.82,1.91,1036
2010-12-17,1.92,1.92,1.92,1.92,400
2010-12-20,1.91,1.93,1.91,1.93,4100
2010-12-21,1.93,1.94,1.92,1.93,2690
2010-12-22,1.91,1.93,1.91,1.92,1350
2010-12-23,1.91,1.92,1.91,1.92,2117
2010-12-27,1.92,1.92,1.92,1.92,300
2010-12-28,1.91,1.91,1.9,1.91,5990
2010-12-29,1.91,1.93,1.91,1.93,1800
2010-12-30,1.93,1.93,1.93,1.93,1100
2011-01-03,1.94,1.95,1.94,1.95,600
2011-01-05,1.9,1.91,1.88,1.9,2760
2011-01-06,1.88,1.88,1.8,1.84,8360
2011-01-07,1.85,1.85,1.82,1.84,3016
2011-01-10,1.82,1.85,1.82,1.85,1950
2011-01-11,1.85,1.85,1.84,1.84,1650
2011-01-12,1.86,1.87,1.86,1.87,1260
2011-01-13,1.87,1.87,1.87,1.87,25600
2011-01-14,1.86,1.89,1.86,1.89,18050
2011-01-18,1.89,1.89,1.89,1.89,400
2011-01-19,1.87,1.87,1.86,1.86,4100
2011-01-20,1.89,1.9,1.89,1.9,5400
2011-01-21,1.93,1.93,1.88,1.88,8800
2011-01-24,1.9,1.9,1.9,1.9,350
2011-01-25,1.91,1.91,1.88,1.9,1100
2011-01-26,1.92,1.93,1.92,1.93,1538
2011-01-27,1.96,1.96,1.96,1.96,1300
2011-01-28,1.94,1.94,1.87,1.87,13620
2011-01-31,1.85,1.86,1.85,1.86,1084
2011-02-01,1.88,1.89,1.88,1.89,2875
2011-02-03,1.87,1.89,1.87,1.89,800
2011-02-04,1.89,1.92,1.89,1.92,2278
2011-02-07,1.91,1.93,1.91,1.93,425
2011-02-08,1.96,1.96,1.96,1.96,600
2011-02-09,1.99,1.99,1.99,1.99,1230
2011-02-10,1.97,1.98,1.97,1.98,1500
2011-02-11,1.97,2.01,1.97,2.01,944
2011-02-14,2.0,2.0,2.0,2.0,426
2011-02-15,1.99,2.0,1.99,2.0,1910
2011-02-16,2.04,2.04,2.01,2.02,7250
2011-02-17,2.0,2.03,2.0,2.02,1110
2011-02-18,2.03,2.03,2.03,2.03,624
2011-02-22,1.98,1.98,1.95,1.95,1125
2011-02-23,1.88,1.88,1.88,1.88,100
2011-02-24,1.87,1.87,1.86,1.86,1100
2011-02-25,1.89,1.92,1.89,1.89,2175
2011-03-01,1.89,1.91,1.86,1.86,2700
2011-03-02,1.85,1.87,1.85,1.87,1300
2011-03-03,1.9,1.91,1.9,1.91,600
2011-03-04,1.87,1.87,1.87,1.87,300
2011-03-07,1.84,1.85,1.84,1.85,2915
2011-03-09,1.88,1.91,1.88,1.9,900
2011-03-10,1.87,1.88,1.87,1.87,12300
2011-03-11,1.87,1.9,1.87,1.89,2450
2011-03-14,1.8,1.86,1.8,1.86,1425
2011-03-15,1.84,1.84,1.83,1.83,600
2011-03-16,1.79,1.79,1.79,1.79,1407
2011-03-25,1.9,1.92,1.9,1.9,800
2011-03-28,1.91,1.91,1.87,1.87,2343
2011-03-29,1.89,1.89,1.89,1.89,300
2011-03-30,1.92,1.94,1.91,1.94,1650
2011-03-31,1.93,1.93,1.9,1.91,1850
2011-04-01,1.93,1.95,1.92,1.92,1100
2011-04-04,1.94,1.94,1.93,1.94,600
2011-04-05,1.97,2.01,1.97,1.99,3035
2011-04-06,2.01,2.01,1.99,2.0,2217
2011-04-07,2.02,2.02,2.01,2.02,2417
2011-04-08,2.01,2.01,1.99,1.99,3000
2011-04-11,1.99,2.0,1.99,2.0,1600
2011-04-12,2.0,2.02,2.0,2.0,4800
2011-04-13,2.01,2.01,2.01,2.01,1000
2011-04-14,2.0,2.01,2.0,2.01,1400
2011-04-15,2.02,2.02,2.02,2.02,300
2011-04-18,1.96,1.97,1.96,1.97,602
2011-04-19,1.99,1.99,1.99,1.99,100
2011-04-20,2.05,2.07,2.05,2.05,1800
2011-04-21,2.05,2.05,2.05,2.05,900
2011-04-26,2.03,2.05,2.03,2.05,400
2011-04-27,2.09,2.12,2.09,2.12,1275
2011-04-28,2.11,2.11,2.11,2.11,2495
2011-05-03,2.11,2.11,2.11,2.11,900
2011-05-05,2.09,2.13,2.09,2.1,1920
2011-05-09,2.09,2.12,2.09,2.12,300
2011-05-10,2.14,2.16,2.14,2.16,3785
2011-05-11,2.16,2.16,2.14,2.16,8239
2011-05-12,2.21,2.21,2.2,2.21,1200
2011-05-13,2.22,2.22,2.18,2.18,1878
2011-05-16,2.13,2.13,2.11,2.12,2100
2011-05-17,2.12,2.14,2.11,2.14,1500
2011-05-19,2.13,2.13,2.13,2.13,100
2011-05-23,2.03,2.06,2.03,2.06,596
2011-05-25,2.01,2.02,2.01,2.02,778
2011-05-26,2.03,2.05,2.03,2.05,200
2011-05-31,2.06,2.07,2.06,2.07,1300
2011-06-01,2.05,2.05,2.05,2.05,1200
2011-06-02,2.0,2.0,1.95,1.95,425
2011-06-06,1.88,1.88,1.88,1.88,175
2011-06-09,1.89,1.89,1.89,1.89,157
2011-06-14,1.86,1.89,1.86,1.89,47038
2011-06-15,1.84,1.84,1.84,1.84,1100
2011-06-16,1.84,1.86,1.84,1.84,2800
2011-06-17,1.89,1.89,1.87,1.87,2300
2011-06-21,1.91,1.97,1.9,1.97,1289
2011-06-22,1.95,1.95,1.93,1.93,205
2011-06-23,1.94,1.96,1.91,1.96,25975
2011-06-24,1.97,1.97,1.97,1.97,400
2011-06-27,1.93,1.93,1.93,1.93,100
2011-06-28,1.98,1.98,1.98,1.98,925
2011-06-29,2.0,2.01,1.98,2.01,3950
2011-06-30,2.0,2.01,2.0,2.01,200
2011-07-01,2.02,2.08,2.02,2.08,2200
2011-07-05,2.08,2.09,2.08,2.09,3500
2011-07-06,2.1,2.11,2.09,2.11,4050
2011-07-07,2.19,2.21,2.18,2.2,1154
2011-07-08,2.15,2.15,2.15,2.15,1000
2011-07-11,2.1,2.11,2.1,2.11,704
2011-07-14,2.12,2.12,2.09,2.09,1100
2011-07-15,2.07,2.07,2.07,2.07,800
2011-07-19,2.12,2.12,2.12,2.12,128
2011-07-20,2.1,2.1,2.1,2.1,128
2011-07-21,2.13,2.13,2.12,2.12,1529
