Date,Open,Close
4/30/04,567.25,559.8
5/3/04,559.8,565.48
5/4/04,565.48,569.64
5/5/04,569.63,570.06
5/6/04,570.06,563.09
5/7/04,563.09,548.56
5/10/04,548.56,537.86
5/11/04,537.86,548.67
5/12/04,548.63,548.99
5/13/04,548.99,547.17
5/14/04,547.17,543.76
5/17/04,543.76,535.34
5/18/04,535.34,542.56
5/19/04,542.56,540.86
5/20/04,540.86,540.75
5/21/04,540.75,545.81
5/24/04,545.81,551.72
5/25/04,551.72,565.39
5/26/04,565.39,567.77
5/27/04,567.77,568.56
5/28/04,568.56,568.28
6/1/04,568.28,572.49
6/2/04,572.49,573.56
6/3/04,573.56,562.44
6/4/04,562.44,567.75
6/7/04,567.75,578.9
6/8/04,578.9,577.91
6/9/04,577.91,568.58
6/10/04,568.58,569.12
6/14/04,569.12,557.67
6/15/04,557.67,567.92
6/16/04,567.92,570.07
6/17/04,570.07,569.57
6/18/04,571.38,572.01
6/21/04,570.54,568.74
6/22/04,568.74,571.89
6/23/04,571.89,580.15
6/24/04,580.15,579.05
6/25/04,579.05,587.7
6/28/04,587.7,584.1
6/29/04,584.1,587.83
6/30/04,587.83,591.52
7/1/04,591.52,582.43
7/2/04,582.43,582.72
7/6/04,582.72,572.41
7/7/04,572.41,572.03
7/8/04,572.03,560.71
7/9/04,560.71,563.73
7/12/04,563.73,562.24
7/13/04,562.24,562.69
7/14/04,562.69,559.74
7/15/04,559.74,562.16
7/16/04,562.16,555.48
7/19/04,555.48,554.73
7/20/04,554.73,564.19
7/21/04,564.19,548.57
7/22/04,548.6,546.52
7/23/04,546.52,539.23
7/26/04,539.23,533.49
7/27/04,533.49,544.61
7/28/04,544.61,541.2
7/29/04,541.2,549.83
7/30/04,549.83,551.29
8/2/04,551.29,551.93
8/3/04,551.93,543.63
8/4/04,543.63,542.67
8/5/04,542.67,532.36
8/6/04,532.36,519.65
8/9/04,519.65,518.38
8/10/04,518.38,529.83
8/11/04,529.83,526.63
8/12/04,526.63,517.1
8/13/04,517.1,517.39
8/16/04,517.39,528.06
8/17/04,528.06,530
8/18/04,530,541.61
8/19/04,541.61,537.44
8/20/04,537.44,547.92
8/23/04,547.92,543.47
8/24/04,543.47,545.01
8/25/04,545.01,550.14
8/26/04,550.14,547.25
8/27/04,547.25,551.67
8/30/04,551.67,544.56
8/31/04,544.56,547.93
9/1/04,547.93,552.46
9/2/04,552.46,559.78
9/3/04,559.78,556.24
9/7/04,556.24,562.93
9/8/04,562.93,557.79
9/9/04,557.79,566.18
9/10/04,566.18,569.91
9/13/04,569.91,573.1
9/14/04,573.1,570.96
9/15/04,570.96,568.52
9/16/04,568.52,574.54
9/17/04,574.54,573.17
9/20/04,573.17,570.74
9/21/04,570.74,576.92
9/22/04,576.92,565.89
9/23/04,565.89,565.8
9/24/04,565.81,565.97
9/27/04,565.97,558.36
9/28/04,558.36,565.66
9/29/04,565.66,571.07
9/30/04,571.07,572.94
10/1/04,572.94,585.03
10/4/04,585.03,589.09
10/5/04,589.09,587.34
10/6/04,587.34,592.66
10/7/04,592.66,582.6
10/8/04,582.6,575.65
10/11/04,575.65,577.56
10/12/04,577.56,576.71
10/13/04,576.71,569.42
10/14/04,569.42,564.88
10/15/04,564.88,569.42
10/18/04,569.42,572.03
10/19/04,572.03,566.67
10/20/04,566.67,570.13
10/21/04,570.13,576.66
10/22/04,576.66,567.78
10/25/04,567.78,571.67
10/26/04,571.67,577.61
10/27/04,577.61,587.18
10/28/04,587.19,585.63
10/29/04,585.63,583.79
11/1/04,583.79,587
11/2/04,587,585.44
11/3/04,585.44,595.33
11/4/04,595.33,602.13
11/5/04,602.13,604.29
11/8/04,604.29,602.08
11/9/04,602.08,606.64
11/10/04,606.64,609.61
11/11/04,609.61,616.3
11/12/04,616.3,621.98
11/15/04,621.98,623.86
11/16/04,623.86,617.89
11/17/04,617.89,622.97
11/18/04,622.97,622.06
11/19/04,622.06,613.44
11/22/04,613.44,621.52
11/23/04,621.52,624.53
11/24/04,624.53,629.5
11/26/04,629.5,631.16
11/29/04,631.16,634.46
11/30/04,634.46,633.77
12/1/04,633.77,643.68
12/9/04,631.15,629.19
12/13/04,632.24,638.03
12/14/04,638.03,643.54
12/15/04,643.54,648.61
12/16/04,648.61,642.23
12/20/04,642.08,638.05
12/21/04,638.05,646.2
12/22/04,646.2,648.46
12/23/04,648.46,649.37
12/27/04,649.37,644.34
12/28/04,644.34,654.57
12/29/04,654.57,653.34
12/30/04,653.34,653.06
1/3/05,651.57,640.44
1/4/05,640.44,628.54
1/5/05,628.54,617.48
1/6/05,617.48,619.82
1/10/05,613.21,617.74
1/11/05,617.74,611.53
1/12/05,611.53,613.19
1/13/05,613.19,610.13
1/18/05,617.48,624.87
1/19/05,624.87,617.91
1/20/05,617.91,612.34
1/21/05,612.34,611.08
1/24/05,611.08,604.53
1/25/05,604.53,606.5
1/26/05,606.5,616.57
1/27/05,616.57,616.9
1/28/05,616.9,613
1/31/05,613,624.02
2/1/05,624.02,628.14
2/2/05,628.14,631.98
2/3/05,631.98,629.32
2/4/05,629.33,637.44
2/7/05,637.44,636.62
2/8/05,636.62,638.72
2/9/05,638.72,625.71
2/10/05,625.71,626.81
2/11/05,626.81,634.76
2/14/05,634.76,635.02
2/15/05,635.02,634.94
2/16/05,634.94,638.85
2/17/05,638.85,631.14
2/18/05,631.14,630.13
2/22/05,630.13,617.93
2/23/05,617.92,620.54
2/24/05,620.54,627.56
2/25/05,627.56,637.53
2/28/05,637.53,634.06
3/1/05,634.06,638.53
3/2/05,638.53,637.33
3/3/05,637.33,638.29
3/4/05,638.29,644.95
3/7/05,644.95,643.86
3/8/05,643.86,637.98
3/9/05,637.98,631.08
3/10/05,631.08,626.94
3/11/05,626.94,626.84
3/14/05,626.84,630.3
3/15/05,630.3,626.82
3/16/05,626.82,622.92
3/17/05,622.92,625.46
3/18/05,625.46,622.57
3/21/05,622.57,621.57
3/22/05,621.57,618.58
3/23/05,618.58,612.06
3/24/05,612.06,615.27
3/28/05,615.27,615.12
3/29/05,615.12,604.63
3/30/05,604.63,614.9
3/31/05,614.9,615.07
4/1/05,615.07,611.55
4/4/05,611.54,613.76
4/5/05,613.76,614.5
4/6/05,614.5,616.21
4/7/05,616.21,619.76
4/8/05,619.76,610.75
4/11/05,610.75,607.17
4/12/05,607.17,613.03
4/13/05,613.03,602.54
4/14/05,602.54,591.94
4/15/05,591.94,580.78
4/18/05,580.78,585.33
4/19/05,585.33,594.94
4/20/05,594.94,584.96
4/21/05,584.96,598.98
4/22/05,598.98,589.53
4/25/05,589.53,596.44
4/26/05,596.44,587.66
4/27/05,587.66,587.14
4/28/05,587.14,575.02
4/29/05,575.02,579.38
5/2/05,579.38,585.86
5/3/05,585.86,584.48
5/4/05,584.48,595.22
5/5/05,595.22,595.64
5/6/05,595.64,596.52
5/9/05,596.52,602.91
5/10/05,602.91,595.04
5/11/05,595.04,595.57
5/12/05,595.57,586.89
5/13/05,586.89,582.02
5/16/05,582.02,591.71
5/17/05,591.71,595.27
5/18/05,595.27,607.88
5/19/05,607.88,610.46
5/20/05,610.46,609.41
5/23/05,609.41,612.87
5/24/05,612.87,612.95
5/25/05,612.95,606.4
5/26/05,606.4,614.7
5/27/05,614.7,616.9
5/31/05,616.9,616.71
6/1/05,616.71,623.74
6/2/05,623.76,625.24
6/3/05,625.24,620.3
6/6/05,620.31,622.94
6/7/05,622.94,623.78
6/8/05,623.78,620.47
6/9/05,620.47,626.23
6/10/05,626.23,626.33
6/13/05,626.33,629.02
6/14/05,629.02,634.39
6/15/05,634.39,637.19
6/16/05,637.19,644.03
6/17/05,644.03,644.19
6/20/05,644.19,641.84
6/21/05,641.84,641.04
6/22/05,641.04,643.45
6/23/05,643.45,634.12
6/24/05,634.12,630.41
6/27/05,630.41,628.31
6/28/05,628.31,641.48
6/29/05,641.48,642.76
6/30/05,642.76,639.66
7/1/05,639.66,643.04
7/5/05,643.04,653.23
7/6/05,653.23,648.27
7/7/05,648.27,649.3
7/8/05,649.3,662.14
7/11/05,662.14,671.74
7/12/05,671.74,670.79
7/13/05,670.79,667.65
7/14/05,667.65,663.02
7/15/05,663.02,663.74
7/18/05,663.74,658.56
7/19/05,658.56,668.86
7/20/05,668.86,677.56
7/21/05,677.56,667.1
7/22/05,667.1,677.78
7/25/05,677.78,670.99
7/26/05,670.99,674.58
7/27/05,674.58,674.88
7/28/05,674.88,683.04
7/29/05,683.04,679.75
8/1/05,679.75,682.8
8/2/05,682.8,688.51
8/3/05,688.51,683.38
8/4/05,683.38,671.84
8/5/05,671.84,662.79
8/8/05,662.79,659.6
8/9/05,659.6,660.48
8/10/05,660.48,660.16
8/11/05,660.16,666.37
8/12/05,666.37,660
8/15/05,660,665.64
8/16/05,665.64,654.61
8/17/05,654.61,654.82
8/18/05,654.82,651.19
8/19/05,651.19,652.51
8/22/05,652.51,657.47
8/23/05,657.47,655.47
8/24/05,655.47,655.01
8/25/05,655.01,657.7
8/26/05,657.7,648.64
8/29/05,648.64,655.32
8/30/05,655.32,653.76
8/31/05,653.76,666.51
9/1/05,666.51,668.45
9/2/05,668.45,663.33
9/6/05,663.33,674.48
9/7/05,674.48,677.32
9/8/05,677.32,673.47
9/9/05,673.47,678.05
9/12/05,678.05,680.82
9/13/05,680.82,673.13
9/14/05,673.13,666.35
9/15/05,666.35,665.42
9/16/05,665.42,671.98
9/19/05,671.98,667.02
9/20/05,667.02,660.63
9/21/05,660.63,649.94
9/22/05,649.94,651.16
9/23/05,651.16,655.46
9/26/05,655.46,660.2
9/27/05,660.2,659.17
9/28/05,659.17,656.04
9/29/05,656.04,665.03
9/30/05,665.03,667.8
10/3/05,667.8,670.55
10/4/05,670.55,663.84
10/5/05,663.84,644.98
10/6/05,644.98,639.45
10/7/05,639.45,644.33
10/10/05,644.33,637.97
10/11/05,637.97,630.08
10/12/05,630.08,621.57
10/13/05,621.57,623.28
10/14/05,623.28,633.15
10/17/05,633.15,633.37
10/18/05,633.37,625.36
10/19/05,625.36,638.28
10/20/05,638.28,627.54
10/21/05,627.54,632.73
10/24/05,632.73,646.6
10/25/05,646.6,642.73
10/26/05,642.73,638.41
10/27/05,638.41,624.03
10/28/05,624.03,635.33
10/31/05,635.33,646.61
11/1/05,646.61,643.02
11/2/05,643.02,657.05
11/3/05,657.05,658.77
11/4/05,658.77,658.16
11/7/05,658.16,661.24
11/8/05,661.24,656.23
11/9/05,656.23,659.83
11/10/05,659.81,664.93
11/11/05,664.93,666.66
11/14/05,666.66,663.93
11/15/05,663.93,656.23
11/16/05,656.23,654.64
11/17/05,654.64,667.14
11/18/05,667.14,672.22
11/21/05,672.22,678.96
11/22/05,678.96,682.55
11/23/05,682.55,683.14
11/25/05,683.14,683.58
11/28/05,683.58,671.5
11/29/05,671.5,673.69
11/30/05,673.69,677.29
12/1/05,677.29,690.21
12/2/05,690.21,690.57
12/5/05,690.57,686.57
12/6/05,686.57,687.58
12/7/05,687.57,683.01
12/8/05,683.01,685.22
12/9/05,685.22,688.77
12/12/05,688.77,689.54
12/13/05,689.51,689.03
12/14/05,689.03,690.5
12/15/05,690.5,684.74
12/16/05,684.74,683.09
12/19/05,683.09,672.25
12/20/05,672.25,672.78
12/21/05,672.78,679.74
12/22/05,679.74,684.08
12/23/05,684.08,686.44
12/27/05,686.44,676.58
12/28/05,676.58,680.08
12/29/05,680.08,677.96
12/30/05,677.96,673.22
1/3/06,673.22,684.05
1/4/06,684.05,689.25
1/5/06,689.25,691.77
1/6/06,691.77,699.39
1/9/06,699.39,706.24
1/10/06,706.24,710.99
1/11/06,710.99,711.19
1/12/06,711.19,706.79
1/13/06,706.79,708.44
1/17/06,708.44,703.62
1/18/06,703.62,703.78
1/19/06,703.78,714.94
1/20/06,714.94,704.6
1/23/06,704.6,707.82
1/24/06,707.82,718.02
1/25/06,718.02,716.45
1/26/06,716.45,728.48
1/27/06,728.48,732.22
1/30/06,732.22,730.87
1/31/06,730.87,733.2
2/1/06,733.2,735.48
2/2/06,735.48,726.25
2/3/06,726.25,724.22
2/6/06,724.22,727.89
2/7/06,727.89,717.18
2/8/06,717.18,721.16
2/9/06,721.16,718.16
2/10/06,718.16,717.13
2/13/06,717.13,710.53
2/14/06,710.53,719.7
2/15/06,719.7,725.1
2/16/06,725.1,731.92
2/17/06,731.92,730.94
2/21/06,730.94,726.78
2/22/06,726.78,733.53
2/23/06,733.53,732.45
2/24/06,732.45,736.6
2/27/06,736.6,740.63
2/28/06,740.63,730.64
3/1/06,730.64,742.35
3/2/06,742.35,740.16
3/3/06,740.16,738.44
3/6/06,738.44,731.16
3/7/06,731.16,721.06
3/8/06,721.06,721.84
3/9/06,721.84,718.28
3/10/06,718.28,726.34
3/13/06,726.34,728.04
3/14/06,728.04,736.1
3/15/06,736.1,742.94
3/16/06,742.94,743.79
3/17/06,743.79,746.09
3/20/06,746.09,745.62
3/21/06,745.62,736.1
3/22/06,736.1,744.85
3/23/06,744.85,747.6
3/24/06,747.6,753.83
3/27/06,753.83,754.03
3/28/06,754.03,751.27
3/29/06,751.27,764.17
3/30/06,764.17,762.59
3/31/06,762.59,765.14
4/3/06,765.24,759.22
4/4/06,759.22,762.32
4/5/06,762.32,766.26
4/6/06,766.26,766.23
4/7/06,766.23,756.13
4/10/06,756.13,752.95
4/11/06,752.95,742.11
