Date,Open,High,Low,Close,Volume
2002-04-01,23.47,24.5,23.47,24.33,42700
2002-04-02,24.07,24.07,23.62,23.62,7100
2002-04-03,23.55,23.57,22.93,23.12,79000
2002-04-04,23.38,23.38,22.95,23.2,156000
2002-04-05,23.1,23.12,22.93,23.01,1500
2002-04-08,22.24,23.03,22.08,22.93,11200
2002-04-09,22.85,22.85,22.35,22.42,12300
2002-04-10,22.47,22.57,21.85,22.5,30900
2002-04-11,22.2,22.49,21.91,22.05,8000
2002-04-12,22.2,22.23,21.8,22.17,14100
2002-04-15,22.5,22.67,22.2,22.65,9500
2002-04-16,23.67,23.99,23.62,23.89,15500
2002-04-17,24.3,24.69,24.09,24.41,462200
2002-04-18,23.92,24.08,23.33,23.68,11600
2002-04-19,23.83,23.98,23.3,23.37,12500
2002-04-22,23.03,23.03,22.77,22.95,157100
2002-04-23,23.05,23.28,22.41,22.5,22600
2002-04-24,22.7,22.77,21.73,21.77,13800
2002-04-25,21.73,21.98,21.45,21.95,83800
2002-04-26,22.17,22.2,20.98,21.0,79800
2002-04-29,21.15,21.63,20.86,21.05,69800
2002-04-30,21.12,21.95,21.12,21.5,31100
2002-05-01,21.43,21.83,20.86,21.58,9300
2002-05-02,21.57,21.92,20.66,20.7,29800
2002-05-03,20.42,20.42,19.65,19.85,33100
2002-05-06,20.08,20.27,19.41,19.45,7100
2002-05-07,19.52,19.64,18.95,19.33,180900
2002-05-08,20.73,21.71,20.62,21.6,71700
2002-05-09,21.53,21.61,20.9,21.26,15600
2002-05-10,21.05,21.05,19.91,20.06,24300
2002-05-13,20.38,21.13,20.33,21.13,12600
2002-05-14,22.35,22.53,22.0,22.49,35900
2002-05-15,22.0,23.05,21.82,22.3,29100
2002-05-16,22.33,22.63,22.03,22.63,14200
2002-05-17,22.93,22.95,22.33,22.65,13600
2002-05-20,22.43,22.47,22.17,22.36,5900
2002-05-21,22.43,22.53,21.56,21.75,15000
2002-05-22,21.5,21.83,21.15,21.21,49000
2002-05-23,21.67,21.67,21.0,21.66,13900
2002-05-24,20.9,21.03,20.78,20.9,16500
2002-05-28,21.0,21.0,20.57,20.82,5400
2002-05-29,20.33,20.41,20.13,20.19,12800
2002-05-30,19.73,20.12,19.45,19.96,19100
2002-05-31,20.22,20.47,19.92,19.93,125200
2002-06-03,19.7,19.7,18.92,18.97,26900
2002-06-04,18.9,19.6,18.8,19.38,21800
2002-06-05,19.57,19.57,19.0,19.5,13500
2002-06-06,18.94,19.02,18.63,18.8,30500
2002-06-07,17.6,18.22,17.33,18.21,33600
2002-06-10,18.17,18.41,17.99,18.03,119700
2002-06-11,18.09,18.13,17.25,17.25,108300
2002-06-12,17.45,17.82,17.02,17.78,31600
2002-06-13,17.64,18.11,17.45,17.54,634200
2002-06-14,16.67,17.67,16.6,17.5,14200
2002-06-17,17.95,18.55,17.95,18.38,17900
2002-06-18,18.37,18.9,18.17,18.17,22800
2002-06-19,17.52,17.75,16.92,16.95,117500
2002-06-20,17.25,17.25,16.08,16.2,41900
2002-06-21,16.17,16.38,15.68,15.76,41900
2002-06-24,15.78,16.55,15.57,16.47,20700
2002-06-25,16.58,16.58,15.48,15.57,25600
2002-06-26,14.8,15.57,14.8,15.5,8900
2002-06-27,16.17,16.38,15.75,16.23,80100
2002-06-28,16.27,16.7,15.95,15.97,35000
2002-07-01,16.1,16.22,15.25,15.25,25200
2002-07-02,15.0,15.12,14.57,14.7,17000
2002-07-03,14.42,15.22,14.42,15.2,23400
2002-07-05,16.0,16.45,15.2,15.2,13000
2002-07-08,16.48,16.48,15.83,15.83,5600
2002-07-09,15.6,15.62,15.27,15.27,9800
2002-07-10,15.45,15.45,14.7,14.8,12300
2002-07-11,14.52,15.54,14.38,15.54,35800
2002-07-12,15.67,15.98,15.43,15.84,38000
2002-07-15,15.47,16.0,15.25,15.88,21200
2002-07-16,16.4,16.93,16.0,16.21,79900
2002-07-17,17.18,17.18,15.93,16.28,105700
2002-07-18,16.22,16.43,15.84,15.92,20400
2002-07-19,15.58,16.05,15.37,15.47,49800
2002-07-22,15.5,15.73,15.0,15.12,50100
2002-07-23,15.08,15.27,14.33,14.33,81700
2002-07-24,13.87,14.94,13.87,14.94,34600
2002-07-25,14.38,14.38,12.97,13.53,86500
2002-07-26,13.57,13.6,12.92,13.22,29800
2002-07-29,13.7,14.18,13.47,14.13,25700
2002-07-30,14.18,14.64,13.94,14.52,23000
2002-07-31,14.19,14.22,13.66,13.8,24200
2002-08-01,13.7,13.9,13.04,13.04,17200
2002-08-02,13.0,13.0,12.32,12.5,51300
2002-08-05,12.5,12.5,11.7,11.8,26700
2002-08-06,12.25,12.82,12.23,12.5,25600
2002-08-07,13.22,13.22,12.17,12.76,72600
2002-08-08,12.54,13.33,12.38,13.24,18100
2002-08-09,12.87,13.26,12.77,13.17,26000
2002-08-12,12.77,12.9,12.72,12.85,34800
2002-08-13,12.87,13.27,12.39,12.39,10200
2002-08-14,12.35,13.18,12.2,13.14,28400
2002-08-15,13.38,13.59,13.03,13.42,36400
2002-08-16,13.3,14.45,13.28,14.25,81200
2002-08-19,14.25,15.08,14.23,14.92,43100
2002-08-20,14.67,14.67,14.22,14.28,41400
2002-08-21,14.72,15.0,14.36,14.88,22100
2002-08-22,14.88,15.27,14.68,14.97,56700
2002-08-23,14.47,14.62,14.0,14.08,40000
2002-08-26,14.0,14.21,13.67,14.1,24600
2002-08-27,14.15,14.15,13.37,13.47,45300
2002-08-28,13.02,13.29,12.84,12.91,17100
2002-08-29,12.5,13.0,12.36,12.81,45600
2002-08-30,12.55,12.95,12.55,12.67,50000
2002-09-03,12.41,12.41,11.97,12.03,27800
2002-09-04,12.0,12.22,11.65,12.1,52400
2002-09-05,11.87,11.87,11.56,11.59,47800
2002-09-06,12.3,12.35,12.17,12.27,40000
2002-09-09,11.93,12.26,11.82,12.23,31000
2002-09-10,12.27,12.73,12.23,12.51,33300
2002-09-11,13.07,13.07,12.7,12.72,55400
2002-09-12,12.25,12.31,11.91,11.91,43800
2002-09-13,11.77,12.01,11.63,11.73,56400
2002-09-16,11.53,11.53,11.13,11.22,64100
2002-09-17,11.7,11.7,10.92,10.98,88300
2002-09-18,10.77,11.0,10.6,10.78,282100
2002-09-19,10.56,10.79,10.41,10.52,91600
2002-09-20,10.63,10.69,10.3,10.36,16300
2002-09-23,10.2,10.2,9.72,9.9,64600
2002-09-24,9.8,10.25,9.77,9.93,56200
2002-09-25,10.22,10.78,10.06,10.62,64500
2002-09-26,10.72,10.84,10.19,10.4,22800
2002-09-27,10.22,10.62,10.14,10.15,14100
2002-09-30,9.83,9.9,9.69,9.84,9700
2002-10-01,10.07,10.4,9.72,10.4,19100
2002-10-02,10.33,10.77,10.15,10.2,72600
2002-10-03,10.02,10.07,9.81,9.9,13800
2002-10-04,9.85,9.85,9.28,9.38,145200
2002-10-07,9.12,9.29,8.96,8.96,14800
2002-10-08,9.1,9.1,8.62,8.87,35500
2002-10-09,8.75,9.05,8.65,8.65,20000
2002-10-10,8.7,9.52,8.7,9.34,228900
2002-10-11,9.8,10.41,9.8,10.18,220500
2002-10-14,10.05,10.28,9.92,10.22,33400
2002-10-15,11.15,11.23,10.94,11.23,47800
2002-10-16,10.27,10.33,10.0,10.0,42400
2002-10-17,10.76,10.91,10.62,10.76,94200
2002-10-18,10.5,11.02,10.4,10.94,46800
2002-10-21,10.8,11.62,10.65,11.62,31700
2002-10-22,10.77,11.2,10.7,10.83,35400
2002-10-23,10.99,11.68,10.82,11.67,22300
2002-10-24,11.8,12.1,11.29,11.33,92100
2002-10-25,11.4,11.9,11.4,11.88,26300
2002-10-28,12.27,12.35,11.89,11.96,25300
2002-10-29,11.95,12.07,11.09,11.56,55000
2002-10-30,11.67,12.35,11.6,12.21,34900
2002-10-31,12.4,12.49,12.07,12.17,21500
2002-11-01,12.03,12.88,12.03,12.76,44000
2002-11-04,13.33,13.93,13.27,13.45,190100
2002-11-05,13.17,13.48,12.88,13.2,35800
2002-11-06,13.4,13.7,13.02,13.57,50200
2002-11-07,13.17,13.2,12.6,12.62,142900
2002-11-08,12.67,12.74,12.22,12.4,62700
2002-11-11,12.1,12.1,11.59,11.73,69000
2002-11-12,11.92,12.51,11.85,12.17,32200
2002-11-13,12.15,12.45,11.92,12.11,27000
2002-11-14,12.67,13.13,12.52,13.1,102900
2002-11-15,12.73,13.18,12.67,13.1,61400
2002-11-18,13.42,13.57,13.15,13.15,33400
2002-11-19,13.08,13.18,12.74,12.82,67300
2002-11-20,13.03,13.75,13.03,13.64,31000
2002-11-21,14.12,14.83,14.1,14.83,90100
2002-11-22,14.43,14.9,14.43,14.7,118600
2002-11-25,14.95,15.26,14.8,15.19,75100
2002-11-26,14.87,15.0,14.47,14.55,42300
2002-11-27,15.0,15.5,14.93,15.45,50900
2002-11-29,15.6,15.6,15.07,15.07,27000
2002-12-02,15.95,16.0,15.08,15.27,272200
2002-12-03,14.83,14.88,14.37,14.45,101700
2002-12-04,13.5,13.89,13.39,13.61,429800
2002-12-05,13.75,13.79,13.33,13.53,187500
2002-12-06,13.08,13.63,13.08,13.39,137400
2002-12-09,13.08,13.1,12.47,12.58,122600
2002-12-10,12.73,13.17,12.53,13.15,84200
2002-12-11,12.83,13.33,12.78,13.05,48700
2002-12-12,13.08,13.32,12.83,12.92,235500
2002-12-13,12.6,12.66,12.47,12.5,91000
2002-12-16,12.57,13.12,12.45,13.08,34300
2002-12-17,12.92,13.24,12.73,12.8,519400
2002-12-18,12.33,12.33,11.89,11.99,76100
2002-12-19,12.0,12.19,11.67,11.9,131400
2002-12-20,11.97,12.13,11.84,11.92,173400
2002-12-23,11.97,12.27,11.97,12.15,329400
2002-12-24,12.13,12.17,11.97,11.98,11900
2002-12-26,12.26,12.39,11.9,11.93,20000
2002-12-27,11.99,12.02,11.8,11.85,59900
2002-12-30,12.03,12.03,11.51,11.6,56200
2002-12-31,11.5,11.67,11.35,11.56,39800
2003-01-02,11.77,12.35,11.56,12.33,128700
2003-01-03,12.32,12.58,12.2,12.51,38200
2003-01-06,12.77,13.28,12.72,13.15,43600
2003-01-07,13.27,13.51,13.0,13.08,32400
2003-01-08,12.92,12.93,12.53,12.59,27900
2003-01-09,12.93,13.26,12.93,12.98,116200
2003-01-10,12.83,13.37,12.74,13.27,84900
2003-01-13,13.58,13.58,12.93,13.06,25800
2003-01-14,13.03,13.36,12.97,13.1,32400
2003-01-15,13.08,13.08,12.7,12.83,23600
2003-01-16,12.83,12.83,12.36,12.38,195900
