Date,Open,High,Low,Close,Volume
2011-04-15,5578.75,5631.58,5572.13,5626.78,0
2011-04-18,5626.13,5626.13,5487.33,5546.68,0
2011-04-19,5546.68,5598.84,5546.68,5598.25,0
2011-04-20,5603.01,5713.09,5603.01,5703.18,0
2011-04-21,5710.86,5758.47,5703.15,5758.41,0
2011-04-25,5758.75,5774.49,5729.92,5740.67,0
2011-04-26,5739.78,5809.03,5739.78,5786.82,0
2011-04-27,5787.28,5806.83,5730.3,5797.33,0
2011-04-28,5797.36,5821.49,5771.16,5797.24,0
2011-04-29,5795.98,5823.64,5782.47,5810.23,0
2011-05-02,5812.41,5853.91,5762.32,5777.13,0
2011-05-03,5777.13,5777.13,5658.72,5698.34,0
2011-05-04,5698.58,5700.62,5591.43,5628.06,0
2011-05-05,5625.98,5664.21,5557.07,5590.72,0
2011-05-06,5592.9,5701.21,5581.52,5610.55,0
2011-05-09,5610.87,5672.24,5606.59,5657.05,0
2011-05-10,5659.55,5737.26,5653.98,5723.62,0
2011-05-11,5723.43,5723.43,5586.09,5611.26,0
2011-05-12,5611.26,5655.83,5544.05,5631.14,0
2011-05-13,5631.17,5638.63,5541.74,5550.95,0
2011-05-16,5549.99,5612.27,5496.16,5507.44,0
2011-05-17,5507.32,5507.32,5424.04,5477.29,0
2011-05-18,5477.29,5577.05,5477.29,5566.61,0
2011-05-19,5567.53,5599.38,5532.6,5573.66,0
2011-05-20,5573.64,5573.64,5499.98,5526.29,0
2011-05-23,5523.5,5523.5,5410.27,5427.57,0
2011-05-24,5429.58,5485.98,5398.19,5421.12,0
2011-05-25,5419.96,5504.58,5399.01,5477.67,0
2011-05-26,5477.67,5545.67,5454.22,5533.01,0
2011-05-27,5533.01,5595.83,5533.01,5570.45,0
2011-05-31,5571.96,5647.73,5570.76,5626.67,0
2011-06-01,5626.41,5626.41,5413.33,5418.75,0
2011-06-02,5419.53,5477.78,5392.64,5438.33,0
2011-06-03,5434.3,5434.3,5344.48,5360.3,0
2011-06-06,5360.3,5370.61,5245.27,5250.19,0
2011-06-07,5250.19,5308.64,5247.5,5248.26,0
2011-06-08,5245.79,5246.73,5171.37,5182.2,0
2011-06-09,5182.7,5259.93,5180.35,5239.27,0
2011-06-10,5239.27,5239.27,5114.25,5140.22,0
2011-06-13,5140.22,5171.21,5051.6,5102.1,0
2011-06-14,5103.23,5236.1,5103.23,5211.37,0
2011-06-15,5211.37,5211.37,5063.18,5076.59,0
2011-06-16,5076.61,5112.56,4996.87,5055.86,0
2011-06-17,5059.27,5123.36,5049.91,5079.45,0
2011-06-20,5078.63,5116.11,5052.07,5103.75,0
2011-06-21,5105.08,5241.22,5105.08,5232.28,0
2011-06-22,5230.53,5265.58,5186.07,5188.16,0
2011-06-23,5188.16,5194.05,5055.82,5190.06,0
2011-06-24,5190.06,5199.16,5096.6,5104.65,0
2011-06-27,5104.65,5165.79,5077.03,5150.13,0
2011-06-28,5150.87,5257.05,5150.87,5256.32,0
2011-06-29,5258.54,5349.71,5258.54,5324.46,0
2011-06-30,5324.92,5412.34,5324.92,5394.17,0
2011-07-01,5394.37,5495.72,5367.93,5487.46,0
2011-07-05,5485.96,5489.0,5436.82,5466.95,0
2011-07-06,5464.43,5464.43,5397.66,5447.29,0
2011-07-07,5447.83,5576.56,5447.83,5557.47,0
2011-07-08,5556.87,5556.87,5421.2,5480.11,0
2011-07-11,5478.55,5478.55,5289.38,5301.52,0
2011-07-12,5301.52,5330.56,5258.7,5263.7,0
2011-07-13,5265.86,5387.41,5265.86,5304.36,0
2011-07-14,5305.45,5343.46,5210.29,5226.62,0
2011-07-15,5228.23,5292.25,5223.89,5291.51,0
2011-07-18,5290.6,5290.6,5158.56,5207.63,0
2011-07-19,5211.82,5344.9,5211.82,5336.94,0
2011-07-20,5339.22,5375.11,5334.08,5356.49,0
2011-07-21,5357.13,5458.91,5357.13,5443.32,0
2011-07-22,5443.32,5489.31,5413.43,5479.74,0
2011-07-25,5479.74,5479.74,5401.7,5438.16,0
2011-07-26,5438.03,5438.03,5379.67,5389.06,0
2011-07-27,5388.63,5388.63,5210.41,5218.47,0
2011-07-28,5218.47,5281.83,5171.71,5178.56,0
2011-07-29,5175.34,5207.88,5071.2,5158.15,0
2011-08-01,5160.19,5242.34,5068.42,5116.85,0
2011-08-02,5116.09,5116.09,4912.72,4913.39,0
2011-08-03,4913.53,4939.72,4778.29,4936.87,0
2011-08-04,4934.97,4934.97,4551.13,4554.24,0
2011-08-05,4557.76,4658.79,4325.42,4475.7,0
