Date,Open,High,Low,Close,Volume
2010-11-30,1530.65,1537.34,1523.9,1524.87,0
2010-12-01,1532.49,1557.11,1532.49,1546.78,0
2010-12-02,1545.48,1561.73,1544.11,1561.68,0
2010-12-03,1561.15,1573.46,1554.96,1571.75,0
2010-12-06,1565.84,1569.88,1558.54,1567.28,0
2010-12-07,1575.26,1591.65,1575.26,1578.53,0
2010-12-08,1579.69,1590.33,1576.75,1577.1,0
2010-12-09,1577.95,1579.17,1569.09,1569.97,0
2010-12-10,1571.73,1591.36,1569.47,1587.58,0
2010-12-13,1588.44,1593.63,1575.71,1576.1,0
2010-12-14,1578.6,1592.43,1576.78,1587.5,0
2010-12-15,1585.05,1609.01,1584.08,1592.91,0
2010-12-16,1593.83,1611.91,1589.87,1611.45,0
2010-12-17,1611.15,1626.68,1601.03,1617.45,0
2010-12-20,1617.5,1624.74,1608.86,1618.74,0
2010-12-21,1623.42,1657.49,1623.42,1656.89,0
2010-12-22,1656.13,1661.84,1655.34,1656.44,0
2010-12-23,1655.48,1657.73,1651.27,1657.5,0
2010-12-27,1653.84,1662.35,1646.73,1658.02,0
2010-12-28,1658.78,1658.88,1645.01,1647.87,0
2010-12-29,1648.08,1650.57,1643.31,1643.67,0
2010-12-30,1642.02,1644.48,1634.84,1635.65,0
2010-12-31,1635.75,1637.06,1622.35,1622.78,0
2011-01-03,1626.8,1653.72,1626.8,1645.85,0
2011-01-04,1646.54,1648.1,1625.37,1632.06,0
2011-01-05,1632.7,1650.16,1630.65,1649.92,0
2011-01-06,1649.33,1650.7,1639.3,1644.96,0
2011-01-07,1647.48,1647.48,1627.93,1641.6,0
2011-01-10,1639.8,1643.84,1626.24,1640.31,0
2011-01-11,1640.39,1654.51,1640.39,1653.9,0
2011-01-12,1661.54,1661.64,1642.92,1656.06,0
2011-01-13,1656.3,1660.18,1650.9,1654.57,0
2011-01-14,1654.73,1660.88,1650.56,1657.33,0
2011-01-18,1655.7,1670.08,1655.25,1669.84,0
2011-01-19,1666.82,1666.82,1619.77,1625.29,0
2011-01-20,1625.29,1627.1,1605.4,1623.1,0
2011-01-21,1623.47,1623.47,1601.16,1601.53,0
2011-01-24,1601.53,1619.81,1600.15,1610.94,0
2011-01-25,1609.37,1612.26,1600.78,1612.16,0
2011-01-26,1612.93,1638.9,1612.41,1637.76,0
2011-01-27,1637.85,1647.64,1628.7,1633.92,0
2011-01-28,1636.13,1636.13,1579.88,1580.31,0
2011-01-31,1580.31,1600.44,1578.02,1590.97,0
2011-02-01,1590.97,1609.51,1590.97,1600.71,0
2011-02-02,1600.82,1610.32,1596.38,1606.18,0
2011-02-03,1605.61,1609.78,1588.44,1602.88,0
2011-02-04,1605.08,1619.84,1603.14,1614.83,0
2011-02-07,1616.19,1630.7,1608.97,1610.87,0
2011-02-08,1610.87,1616.89,1603.74,1615.51,0
2011-02-09,1613.31,1613.31,1593.33,1598.91,0
2011-02-10,1598.72,1611.09,1591.47,1609.95,0
2011-02-11,1605.69,1609.46,1592.7,1607.77,0
2011-02-14,1607.87,1621.39,1607.87,1620.51,0
2011-02-15,1618.14,1624.97,1612.95,1618.92,0
2011-02-16,1622.14,1632.62,1620.87,1629.22,0
2011-02-17,1629.41,1636.09,1625.14,1633.57,0
2011-02-18,1633.7,1634.19,1617.6,1628.33,0
2011-02-22,1625.67,1625.67,1585.05,1588.73,0
2011-02-23,1597.95,1600.58,1574.34,1575.72,0
2011-02-24,1575.72,1593.21,1569.88,1583.84,0
2011-02-25,1587.77,1609.32,1586.95,1609.32,0
2011-02-28,1610.67,1626.94,1603.71,1612.58,0
2011-03-01,1614.53,1617.75,1596.05,1601.63,0
2011-03-02,1601.55,1626.33,1597.43,1620.19,0
2011-03-03,1624.3,1624.3,1604.1,1618.9,0
2011-03-04,1619.08,1619.64,1606.65,1615.53,0
2011-03-07,1619.28,1624.93,1596.32,1613.5,0
2011-03-08,1613.5,1637.97,1602.64,1635.6,0
2011-03-09,1635.6,1648.87,1626.69,1640.39,0
2011-03-10,1640.39,1640.39,1609.11,1617.15,0
2011-03-11,1617.15,1633.39,1609.9,1626.9,0
2011-03-14,1625.27,1633.59,1612.05,1618.86,0
2011-03-15,1618.86,1618.86,1582.06,1605.78,0
2011-03-16,1605.78,1614.07,1589.46,1590.61,0
2011-03-17,1596.63,1609.25,1592.34,1592.4,0
2011-03-18,1597.01,1608.0,1593.98,1598.43,0
2011-03-21,1604.73,1620.75,1604.73,1609.81,0
2011-03-22,1608.62,1610.7,1593.64,1599.59,0
2011-03-23,1599.53,1602.52,1582.42,1600.14,0
2011-03-24,1600.14,1632.67,1600.14,1629.0,0
2011-03-25,1632.05,1650.3,1629.56,1632.88,0
2011-03-28,1637.69,1640.69,1630.72,1631.12,0
2011-03-29,1632.06,1661.33,1632.06,1661.33,0
2011-03-30,1661.69,1702.33,1661.69,1700.58,0
2011-03-31,1699.9,1719.32,1699.9,1718.86,0
2011-04-01,1719.62,1731.71,1719.62,1731.71,0
2011-04-04,1732.3,1737.38,1730.01,1733.74,0
2011-04-05,1741.14,1766.41,1741.14,1759.38,0
2011-04-06,1762.75,1775.03,1753.22,1760.89,0
2011-04-07,1760.89,1769.34,1751.09,1753.84,0
2011-04-08,1753.94,1763.62,1747.82,1756.35,0
2011-04-11,1756.27,1764.39,1745.79,1757.33,0
2011-04-12,1752.08,1757.15,1745.55,1754.6,0
2011-04-13,1754.6,1772.84,1754.6,1769.17,0
2011-04-14,1767.43,1795.73,1755.79,1795.45,0
2011-04-15,1795.38,1836.86,1795.38,1836.54,0
2011-04-18,1834.54,1834.54,1797.98,1817.43,0
