Date,Open,High,Low,Close,Volume
2010-11-30,2225.84,2227.96,2206.33,2210.22,0
2010-12-01,2215.38,2245.07,2215.38,2244.91,0
2010-12-02,2244.44,2251.75,2240.77,2246.74,0
2010-12-03,2240.62,2261.21,2239.47,2260.22,0
2010-12-06,2257.61,2268.52,2256.23,2262.36,0
2010-12-07,2263.36,2284.14,2263.36,2270.92,0
2010-12-08,2273.18,2283.35,2266.28,2278.23,0
2010-12-09,2278.23,2291.32,2277.64,2285.53,0
2010-12-10,2287.84,2312.72,2283.01,2309.45,0
2010-12-13,2309.94,2309.94,2291.67,2292.43,0
2010-12-14,2297.22,2323.37,2297.22,2319.06,0
2010-12-15,2318.45,2352.19,2315.79,2338.28,0
2010-12-16,2341.63,2369.43,2335.86,2369.22,0
2010-12-17,2369.22,2369.22,2350.38,2356.04,0
2010-12-20,2359.17,2363.61,2342.27,2354.91,0
2010-12-21,2359.0,2362.7,2349.86,2353.99,0
2010-12-22,2354.28,2357.41,2345.63,2347.2,0
2010-12-23,2346.18,2358.48,2342.86,2352.39,0
2010-12-27,2351.74,2353.43,2338.59,2350.77,0
2010-12-28,2350.96,2353.95,2335.49,2335.54,0
2010-12-29,2335.54,2343.66,2332.33,2335.03,0
2010-12-30,2335.03,2341.52,2329.36,2329.78,0
2010-12-31,2328.66,2330.62,2314.36,2317.3,0
2011-01-03,2321.52,2356.36,2321.52,2340.43,0
2011-01-04,2339.93,2347.54,2311.2,2320.19,0
2011-01-05,2320.03,2337.59,2311.78,2336.57,0
2011-01-06,2336.94,2353.57,2332.28,2350.15,0
2011-01-07,2352.84,2354.89,2324.49,2349.07,0
2011-01-10,2348.85,2365.21,2338.56,2362.36,0
2011-01-11,2365.6,2372.99,2359.1,2362.62,0
2011-01-12,2367.62,2379.91,2363.98,2371.27,0
2011-01-13,2371.27,2375.9,2362.71,2372.6,0
2011-01-14,2370.32,2378.19,2358.72,2377.35,0
2011-01-18,2377.35,2394.71,2377.35,2393.43,0
2011-01-19,2393.43,2393.43,2337.32,2343.2,0
2011-01-20,2344.92,2348.98,2334.96,2340.88,0
2011-01-21,2340.88,2340.88,2314.25,2318.02,0
2011-01-24,2316.76,2343.52,2315.05,2340.86,0
2011-01-25,2337.24,2348.34,2321.53,2348.33,0
2011-01-26,2348.33,2373.3,2348.33,2366.86,0
2011-01-27,2367.18,2369.46,2353.41,2363.53,0
2011-01-28,2363.57,2365.47,2309.23,2311.22,0
2011-01-31,2309.04,2331.92,2309.04,2323.74,0
2011-02-01,2313.54,2349.83,2313.54,2342.35,0
2011-02-02,2342.35,2342.35,2319.54,2322.17,0
2011-02-03,2321.85,2335.56,2296.67,2333.06,0
2011-02-04,2333.29,2340.98,2323.51,2340.44,0
2011-02-07,2329.72,2349.91,2328.53,2332.46,0
2011-02-08,2332.46,2332.46,2319.02,2326.61,0
2011-02-09,2326.61,2331.82,2316.49,2330.45,0
2011-02-10,2330.45,2339.04,2317.36,2329.1,0
2011-02-11,2328.67,2337.42,2316.1,2333.4,0
2011-02-14,2333.81,2343.32,2331.45,2343.31,0
2011-02-15,2338.65,2351.48,2337.14,2347.95,0
2011-02-16,2347.95,2369.98,2347.95,2364.81,0
2011-02-17,2364.84,2372.5,2357.28,2368.98,0
2011-02-18,2369.15,2372.43,2359.66,2365.12,0
2011-02-22,2364.37,2364.37,2314.03,2321.19,0
2011-02-23,2320.62,2320.62,2279.7,2283.36,0
2011-02-24,2283.81,2283.81,2229.49,2238.5,0
2011-02-25,2240.08,2272.83,2240.08,2272.65,0
2011-02-28,2281.23,2319.38,2281.23,2310.97,0
2011-03-01,2310.97,2310.97,2278.39,2283.01,0
2011-03-02,2282.21,2297.65,2274.45,2291.67,0
2011-03-03,2295.7,2334.6,2295.7,2333.14,0
2011-03-04,2333.14,2334.6,2302.1,2315.96,0
2011-03-07,2316.45,2316.45,2262.26,2279.51,0
2011-03-08,2278.04,2318.63,2271.43,2311.82,0
2011-03-09,2311.82,2326.83,2300.42,2321.15,0
2011-03-10,2320.44,2320.44,2288.65,2294.36,0
2011-03-11,2294.21,2309.35,2288.37,2302.13,0
2011-03-14,2302.13,2302.25,2276.78,2285.58,0
2011-03-15,2285.58,2285.58,2243.74,2271.4,0
2011-03-16,2270.73,2270.73,2221.9,2231.2,0
2011-03-17,2236.48,2258.71,2236.48,2249.8,0
2011-03-18,2249.8,2270.27,2247.81,2257.04,0
2011-03-21,2262.48,2285.36,2262.48,2272.64,0
2011-03-22,2273.92,2284.9,2264.97,2269.81,0
2011-03-23,2269.81,2274.43,2246.85,2270.11,0
2011-03-24,2271.43,2298.1,2265.87,2294.81,0
2011-03-25,2295.12,2319.71,2288.41,2304.51,0
2011-03-28,2306.97,2309.35,2292.35,2292.51,0
2011-03-29,2292.22,2316.39,2290.83,2315.67,0
2011-03-30,2315.67,2371.83,2315.67,2363.33,0
2011-03-31,2363.45,2367.31,2352.47,2354.85,0
2011-04-01,2355.38,2379.5,2355.38,2375.63,0
2011-04-04,2392.14,2403.74,2389.29,2392.54,0
2011-04-05,2391.34,2431.36,2391.34,2425.23,0
2011-04-06,2425.23,2442.0,2425.23,2434.82,0
2011-04-07,2434.73,2442.02,2425.81,2441.43,0
2011-04-08,2441.49,2456.62,2435.07,2442.09,0
2011-04-11,2442.47,2472.32,2442.47,2455.25,0
2011-04-12,2455.25,2455.25,2439.2,2443.15,0
2011-04-13,2447.26,2457.73,2441.0,2454.91,0
2011-04-14,2453.58,2469.13,2441.16,2466.17,0
2011-04-15,2465.99,2494.55,2465.99,2494.46,0
2011-04-18,2493.44,2493.44,2435.02,2453.96,0
2011-04-19,2453.95,2468.02,2443.96,2459.67,0
2011-04-20,2459.67,2490.38,2459.67,2489.94,0
2011-04-21,2490.11,2503.51,2485.5,2503.34,0
2011-04-25,2503.67,2504.09,2484.23,2498.0,0
2011-04-26,2498.57,2527.41,2498.57,2521.84,0
2011-04-27,2522.37,2563.05,2509.44,2562.03,0
2011-04-28,2559.06,2562.47,2547.86,2562.06,0
2011-04-29,2557.63,2563.0,2552.47,2553.37,0
2011-05-02,2554.6,2592.33,2554.6,2567.56,0
2011-05-03,2566.55,2566.92,2543.31,2557.12,0
2011-05-04,2556.7,2561.25,2524.71,2540.19,0
2011-05-05,2535.77,2553.21,2517.05,2526.84,0
2011-05-06,2526.84,2571.54,2526.84,2553.34,0
2011-05-09,2554.34,2578.07,2547.88,2571.24,0
2011-05-10,2576.28,2590.62,2566.49,2588.36,0
2011-05-11,2587.25,2587.25,2555.22,2565.8,0
2011-05-12,2565.43,2610.66,2551.89,2605.43,0
2011-05-13,2606.46,2606.46,2573.54,2586.06,0
2011-05-16,2585.21,2595.15,2568.31,2569.37,0
2011-05-17,2569.37,2569.37,2541.94,2564.04,0
2011-05-18,2564.76,2595.38,2561.14,2592.13,0
2011-05-19,2595.97,2600.92,2569.32,2587.82,0
2011-05-20,2585.81,2593.95,2566.39,2577.71,0
2011-05-23,2577.71,2577.71,2533.36,2543.79,0
2011-05-24,2544.05,2560.89,2541.36,2542.42,0
2011-05-25,2541.69,2554.12,2529.54,2551.02,0
2011-05-26,2550.28,2576.97,2546.81,2573.23,0
2011-05-27,2573.23,2587.55,2573.23,2586.5,0
2011-05-31,2587.05,2614.71,2587.05,2614.71,0
2011-06-01,2614.43,2615.32,2578.51,2579.08,0
2011-06-02,2579.14,2580.88,2559.64,2574.14,0
2011-06-03,2565.05,2565.05,2530.59,2542.32,0
2011-06-06,2542.32,2542.32,2492.07,2492.46,0
2011-06-07,2496.81,2520.69,2496.81,2504.56,0
2011-06-08,2504.11,2504.11,2464.87,2471.97,0
2011-06-09,2473.24,2503.84,2468.53,2486.66,0
2011-06-10,2484.8,2484.8,2456.18,2460.59,0
2011-06-13,2459.56,2486.87,2459.56,2468.02,0
2011-06-14,2469.63,2502.76,2469.63,2494.12,0
2011-06-15,2485.13,2498.52,2464.91,2470.84,0
2011-06-16,2470.84,2476.63,2449.68,2467.35,0
2011-06-17,2471.5,2488.98,2455.95,2464.86,0
2011-06-20,2464.19,2484.7,2453.25,2475.66,0
