Date,Open,High,Low,Close,Volume
2008-11-05,4.81,4.9,4.18,4.25,19063
2008-11-06,4.15,4.2,3.55,3.6,360993
2008-11-07,3.71,3.89,3.61,3.85,581532
2008-11-10,4.15,4.16,3.58,3.7,482090
2008-11-11,3.54,3.69,3.29,3.46,956578
2008-11-12,3.33,3.33,3.02,3.07,1109356
2008-11-13,3.05,3.53,2.56,3.52,2672327
2008-11-14,3.27,3.58,3.04,3.07,2858560
2008-11-17,2.93,3.17,2.83,2.85,3710581
2008-11-18,2.84,2.99,2.6,2.88,5094187
2008-11-19,2.87,2.97,2.37,2.41,6266120
2008-11-20,2.32,2.5,1.85,2.0,11420400
2008-11-21,2.27,2.27,1.81,2.22,10381411
2008-11-24,2.37,2.8,2.32,2.6,8182131
2008-11-25,2.83,2.85,2.52,2.74,6671226
2008-11-26,2.59,3.04,2.58,3.03,5103130
2008-12-01,2.87,2.88,2.28,2.31,8487851
2008-12-02,2.42,2.57,2.31,2.55,9105176
2008-12-03,2.39,2.79,2.37,2.74,11347168
2008-12-04,2.65,2.83,2.4,2.52,9121557
2008-12-05,2.41,2.82,2.28,2.78,13932271
2008-12-08,3.03,3.21,2.97,3.09,11899419
2008-12-09,3.01,3.2,2.88,2.92,10523266
2008-12-10,3.02,3.12,2.9,3.01,10478030
2008-12-11,2.95,3.1,2.72,2.79,9487484
2008-12-12,2.54,2.88,2.52,2.86,11839599
2008-12-15,2.9,2.92,2.63,2.74,7601437
2008-12-16,2.82,3.16,2.81,3.16,10173154
2008-12-17,3.05,3.23,2.98,3.07,9993518
2008-12-18,3.12,3.14,2.8,2.9,7874975
2008-12-19,2.94,3.08,2.86,2.9,8101206
2008-12-22,2.91,2.92,2.6,2.77,6362808
2008-12-23,2.8,2.84,2.65,2.68,5748092
2008-12-24,2.71,2.74,2.66,2.71,1496278
2008-12-26,2.77,2.78,2.7,2.77,1599472
2008-12-29,2.79,2.79,2.62,2.75,3887073
2008-12-30,2.8,2.94,2.75,2.93,4762466
2008-12-31,2.94,3.13,2.93,3.03,5448469
2009-01-02,3.09,3.38,3.02,3.33,7264506
2009-01-05,3.29,3.43,3.22,3.33,9313248
2009-01-06,3.42,3.51,3.32,3.41,9968698
2009-01-07,3.23,3.28,3.05,3.12,9702784
2009-01-08,3.05,3.15,3.01,3.15,8695077
2009-01-09,3.18,3.19,2.92,2.95,9535820
2009-01-12,2.92,2.93,2.68,2.73,7149460
2009-01-13,2.7,2.81,2.66,2.74,10303852
2009-01-14,2.61,2.62,2.43,2.48,13180191
2009-01-15,2.46,2.58,2.26,2.51,16695166
2009-01-16,2.63,2.64,2.38,2.56,17475716
2009-01-20,2.48,2.5,2.14,2.16,17301046
2009-01-21,2.26,2.43,2.14,2.42,15075221
2009-01-22,2.28,2.42,2.18,2.3,16748983
2009-01-23,2.14,2.41,2.12,2.34,17787590
2009-01-26,2.39,2.54,2.32,2.37,16963256
2009-01-27,2.42,2.51,2.37,2.46,13815876
2009-01-28,2.63,2.75,2.59,2.68,15766685
2009-01-29,2.58,2.6,2.43,2.45,13133679
2009-01-30,2.48,2.51,2.24,2.29,16719515
2009-02-02,2.19,2.32,2.17,2.28,13047522
2009-02-03,2.32,2.41,2.24,2.36,13361855
2009-02-04,2.41,2.5,2.31,2.33,15378462
2009-02-05,2.28,2.5,2.24,2.45,20222744
2009-02-06,2.48,2.69,2.47,2.65,14534640
2009-02-09,2.65,2.73,2.6,2.67,10255809
2009-02-10,2.6,2.67,2.25,2.3,21826822
2009-02-11,2.33,2.37,2.24,2.34,14178506
2009-02-12,2.23,2.36,2.14,2.35,18886820
2009-02-13,2.33,2.39,2.27,2.28,11465512
2009-02-17,2.07,2.09,1.96,1.97,21881224
2009-02-18,2.03,2.03,1.91,1.96,16467895
2009-02-19,2.02,2.05,1.89,1.9,15613960
2009-02-20,1.79,1.94,1.72,1.84,24409296
2009-02-23,1.91,1.92,1.64,1.66,22283156
2009-02-24,1.68,1.86,1.66,1.83,23162532
2009-02-25,1.8,1.89,1.7,1.78,28652734
2009-02-26,1.85,1.89,1.69,1.7,24771072
2009-02-27,1.59,1.7,1.57,1.59,27831074
2009-03-02,1.49,1.52,1.36,1.37,27685056
2009-03-03,1.43,1.43,1.31,1.34,27452816
2009-03-04,1.43,1.5,1.36,1.42,30188292
2009-03-05,1.34,1.39,1.22,1.26,31850308
2009-03-06,1.29,1.35,1.17,1.26,33051334
2009-03-09,1.21,1.33,1.2,1.22,29262320
2009-03-10,1.3,1.44,1.29,1.43,32141692
2009-03-11,1.49,1.53,1.42,1.46,37332692
