Date,Open,High,Low,Close,Volume
2018-11-29,24.77,24.96,24.77,24.93,500
2018-12-03,26.21,26.21,26.21,26.21,400
2018-12-04,25.96,25.96,24.38,24.38,370
2018-12-06,22.65,23.73,22.65,23.73,1108
2018-12-07,23.45,23.45,21.69,21.69,685
2018-12-10,21.18,21.96,21.18,21.96,320
2018-12-11,21.95,21.95,21.95,21.95,103
2018-12-12,23.09,23.38,22.68,22.68,335
2018-12-13,22.85,22.85,22.0,22.33,1584
2018-12-14,21.75,21.75,21.21,21.21,650
2018-12-17,20.34,20.34,19.42,19.42,561
2018-12-18,20.07,20.07,20.07,20.07,963
2018-12-19,20.56,20.72,18.91,18.91,1609
2018-12-20,18.14,18.56,17.39,17.39,1560
2018-12-21,16.38,16.38,16.38,16.38,82
2018-12-24,15.7,15.7,15.5,15.5,100
2018-12-26,16.25,18.13,16.2,18.13,2393
2018-12-27,17.69,18.12,16.68,18.11,3632
2018-12-28,18.77,18.78,18.36,18.36,2361
2018-12-31,18.91,18.91,18.72,18.72,1748
2019-01-02,17.81,19.38,17.81,19.38,1267
2019-01-03,18.6,18.9,18.19,18.19,4610
2019-01-04,19.18,20.19,19.15,19.95,4018
2019-01-07,20.66,21.6,20.45,21.37,4947
2019-01-08,22.55,22.55,21.41,22.01,5579
2019-01-09,22.3,22.57,21.81,22.27,6258
2019-01-10,21.75,22.14,21.24,22.14,4158
2019-01-11,22.13,22.17,22.13,22.17,271
2019-01-14,22.12,22.12,21.46,21.8,2011
2019-01-15,22.14,22.41,21.92,22.34,9085
2019-01-16,22.64,22.64,22.22,22.22,2482
2019-01-17,22.15,22.84,22.14,22.58,11457
2019-01-18,23.04,23.88,23.04,23.5,10688
2019-01-22,23.62,23.62,22.0,22.49,21413
2019-01-23,23.11,23.11,22.53,22.62,892
2019-01-24,22.63,22.96,22.6,22.96,1247
2019-01-25,24.87,24.87,23.61,23.63,4437
2019-01-28,23.24,23.24,22.66,23.18,3110
2019-01-29,22.82,22.82,22.76,22.76,1630
2019-01-30,23.5,24.1,23.49,24.1,1244
2019-01-31,24.1,24.83,24.1,24.83,2870
2019-02-01,24.34,24.34,23.59,23.74,3464
2019-02-04,23.59,24.12,23.59,24.11,4994
2019-02-05,24.82,24.92,24.77,24.86,3169
2019-02-06,25.11,25.11,24.32,24.49,5277
2019-02-07,23.73,24.12,23.46,23.84,920
2019-02-08,23.16,23.53,23.16,23.49,5623
2019-02-11,24.15,24.15,23.7,23.79,2697
2019-02-12,24.62,24.87,24.62,24.87,712
2019-02-13,25.17,25.38,24.98,25.29,1924
2019-02-14,24.36,25.34,24.36,25.09,4457
2019-02-15,25.51,25.51,18.55,25.49,2797
2019-02-19,25.62,26.0,25.46,25.85,5275
2019-02-20,25.87,26.04,25.87,25.92,1294
2019-02-21,25.68,25.81,25.68,25.81,2489
2019-02-22,26.22,26.25,26.12,26.25,907
2019-02-25,26.93,26.93,25.98,25.98,1849
2019-02-26,25.61,26.17,25.61,26.1,1470
2019-02-27,25.8,26.0,25.59,26.0,875
2019-02-28,25.38,25.61,25.38,25.55,806
2019-03-01,26.4,26.4,25.93,26.19,594
2019-03-04,26.45,26.45,25.59,25.92,3317
2019-03-05,26.29,26.29,26.22,26.22,468
2019-03-06,25.78,25.78,25.78,25.78,5
2019-03-07,25.1,25.26,24.79,24.79,3852
2019-03-08,23.92,24.23,23.85,24.23,10287
2019-03-11,24.75,25.33,24.74,25.29,3223
2019-03-12,25.4,25.5,25.2,25.44,1345
2019-03-13,25.9,26.1,25.77,25.77,501
2019-03-14,25.42,25.59,25.42,25.5,3216
2019-03-15,25.93,25.93,25.93,25.93,62
2019-03-18,26.64,26.72,26.64,26.72,604
2019-03-19,27.0,27.69,26.98,26.98,3727
2019-03-20,26.91,27.37,26.66,27.19,3369
2019-03-21,27.5,28.34,27.47,28.3,7411
2019-03-22,27.44,27.59,26.63,26.63,9166
2019-03-25,26.66,27.04,26.6,27.04,803
2019-03-26,27.8,27.86,27.14,27.34,1381
2019-03-27,27.62,27.63,27.18,27.18,3269
2019-03-28,27.99,27.99,27.32,27.74,879
2019-03-29,28.38,28.38,28.0,28.11,1836
2019-04-01,28.82,29.09,28.62,29.09,7853
2019-04-02,29.08,29.08,28.89,29.04,674
2019-04-03,29.64,29.93,29.62,29.7,1944
2019-04-04,29.99,30.35,29.87,30.35,2727
2019-04-05,30.76,30.99,30.74,30.88,5607
2019-04-08,30.8,31.19,30.79,31.19,1302
2019-04-09,30.79,30.79,30.28,30.28,8853
2019-04-10,31.0,31.0,30.57,30.74,1022
2019-04-11,30.99,30.99,30.83,30.92,1635
2019-04-12,31.64,31.64,31.38,31.48,15848
2019-04-15,31.71,31.71,31.23,31.68,1908
2019-04-16,32.04,32.17,31.92,32.06,3926
2019-04-17,32.46,32.52,32.28,32.29,6017
2019-04-18,32.27,32.43,31.94,32.18,9884
2019-04-22,31.75,32.06,31.51,31.88,7432
2019-04-23,32.11,33.15,32.11,32.94,5209
