Date,Open,High,Low,Close,Volume
1998-12-22,15.47,15.47,15.31,15.37,45400
1998-12-23,15.31,15.6,15.31,15.6,64000
1998-12-24,15.6,15.7,15.55,15.7,35600
1998-12-28,15.69,15.69,15.45,15.5,42200
1998-12-29,15.52,15.66,15.33,15.66,81900
1998-12-30,15.58,15.68,15.5,15.6,125600
1998-12-31,15.6,15.62,15.45,15.45,53100
1999-01-04,15.27,15.71,15.27,15.45,203600
1999-01-05,15.39,15.62,15.39,15.6,38800
1999-01-06,15.89,16.11,15.78,16.09,105500
1999-01-07,15.93,16.34,15.89,16.34,73100
1999-01-08,16.53,16.53,16.27,16.44,141100
1999-01-11,16.46,16.46,16.04,16.2,51100
1999-01-12,16.11,16.11,15.74,15.74,95400
1999-01-13,14.98,15.74,14.98,15.54,291800
1999-01-14,15.5,15.61,15.0,15.15,64900
1999-01-15,15.35,15.58,15.28,15.58,64900
1999-01-19,15.82,15.82,15.29,15.5,38900
1999-01-20,15.66,15.86,15.52,15.61,58500
1999-01-21,15.47,15.55,15.29,15.33,354300
1999-01-22,15.25,15.33,15.15,15.23,82600
1999-01-25,15.31,15.37,15.12,15.35,136000
1999-01-26,15.41,15.44,15.25,15.36,87100
1999-01-27,15.45,15.45,15.17,15.17,32800
1999-01-28,15.12,15.41,15.12,15.39,28500
1999-01-29,15.48,15.74,15.27,15.72,52900
1999-02-01,15.78,15.78,15.45,15.45,36300
1999-02-02,15.33,15.41,15.13,15.29,83900
1999-02-03,15.21,15.52,15.09,15.4,46500
1999-02-04,15.29,15.37,15.04,15.04,29900
1999-02-05,15.01,15.08,14.82,14.92,66100
1999-02-08,15.02,15.04,14.77,14.88,104400
1999-02-09,14.88,14.92,14.57,14.67,213000
1999-02-10,14.71,14.79,14.55,14.79,23200
1999-02-11,14.86,15.41,14.86,15.39,47700
1999-02-12,15.31,15.39,15.0,15.17,76900
1999-02-16,15.32,15.5,15.29,15.39,372300
1999-02-17,15.45,15.76,15.31,15.45,394000
1999-02-18,15.54,15.7,15.41,15.61,47600
1999-02-19,15.72,15.95,15.63,15.66,43500
1999-02-22,15.78,16.23,15.78,16.11,52100
1999-02-23,16.23,16.38,16.09,16.32,81600
1999-02-24,16.38,16.4,15.72,15.78,181300
1999-02-25,15.56,15.76,15.35,15.68,127600
1999-02-26,15.68,16.01,15.61,15.97,69100
1999-03-01,15.91,16.14,15.85,16.03,150200
1999-03-02,16.15,16.3,15.97,16.07,59800
1999-03-03,16.15,16.18,15.84,15.92,36000
1999-03-04,15.97,16.32,15.97,16.28,31200
1999-03-05,16.9,16.9,16.46,16.69,345000
1999-03-08,16.69,16.73,16.49,16.58,75300
1999-03-09,16.61,16.87,16.48,16.71,65100
1999-03-10,16.87,17.03,16.73,17.02,57800
1999-03-11,17.06,17.29,16.94,17.1,137000
1999-03-12,17.16,17.27,17.0,17.13,130500
1999-03-15,17.14,17.27,17.04,17.18,49000
1999-03-16,17.35,17.35,16.94,16.94,120800
1999-03-17,16.86,16.86,16.63,16.79,91100
1999-03-18,16.67,17.18,16.67,17.18,135400
1999-03-19,17.18,17.18,16.79,16.81,167700
1999-03-22,16.77,16.92,16.71,16.86,336500
1999-03-23,16.63,16.69,16.24,16.28,202700
1999-03-24,16.32,16.4,16.15,16.24,101200
1999-03-25,16.81,16.81,16.44,16.61,55100
1999-03-26,16.49,16.61,16.39,16.46,44200
1999-03-29,16.71,16.9,16.67,16.83,44500
1999-03-30,16.71,16.75,16.56,16.64,107000
1999-03-31,16.65,16.77,16.38,16.44,72700
1999-04-01,16.4,16.5,16.32,16.48,34100
1999-04-05,16.71,16.88,16.59,16.81,55400
1999-04-06,16.77,16.97,16.63,16.69,103200
1999-04-07,16.84,17.23,16.83,17.14,211600
1999-04-08,17.31,17.49,17.27,17.45,122400
1999-04-09,17.39,17.51,17.23,17.41,93800
1999-04-12,17.31,17.74,17.29,17.72,122600
1999-04-13,17.93,17.93,17.66,17.7,139000
1999-04-14,17.8,17.95,17.47,17.47,86800
1999-04-15,17.58,18.22,17.21,17.31,74000
1999-04-16,17.39,17.39,17.08,17.23,49600
1999-04-19,17.55,17.82,17.23,17.23,81400
1999-04-20,17.33,19.31,17.31,17.45,53700
1999-04-21,17.47,17.72,17.45,17.72,52800
1999-04-22,17.68,17.91,17.68,17.91,43900
1999-04-23,18.01,18.01,17.72,17.84,117400
1999-04-26,17.86,17.86,17.49,17.58,133300
1999-04-27,17.73,17.96,17.58,17.89,51900
1999-04-28,17.91,17.99,17.68,17.78,136700
1999-04-29,17.78,18.05,17.76,17.84,62100
1999-04-30,17.84,17.93,17.29,17.6,320600
1999-05-03,17.54,17.8,17.45,17.8,195100
1999-05-04,17.68,17.76,17.25,17.25,274800
1999-05-05,17.27,17.39,17.02,17.35,172200
1999-05-06,17.16,17.33,16.98,17.06,153000
1999-05-07,17.29,17.49,17.25,17.39,628900
1999-05-10,17.51,17.58,17.29,17.33,39200
1999-05-11,17.47,17.76,17.45,17.54,39300
1999-05-12,17.49,17.8,17.29,17.78,24400
1999-05-13,17.8,17.99,17.79,17.95,25000
1999-05-14,17.51,17.62,17.18,17.39,134400
1999-05-17,17.14,17.25,16.88,17.06,173000
1999-05-18,17.18,17.33,16.83,17.1,124800
1999-05-19,17.14,17.23,17.0,17.23,61000
1999-05-20,17.21,17.33,17.0,17.0,133500
1999-05-21,16.96,17.06,16.82,16.96,71600
1999-05-24,16.71,16.79,16.4,16.59,413900
1999-05-25,16.48,16.59,16.15,16.15,67000
1999-05-26,16.24,16.68,16.07,16.68,173400
1999-05-27,16.54,16.54,16.21,16.28,37700
1999-05-28,16.4,16.59,16.29,16.54,33900
1999-06-01,16.44,16.53,16.11,16.3,197700
1999-06-02,16.22,16.32,15.93,16.2,36700
1999-06-03,16.4,16.4,16.13,16.19,58200
1999-06-04,16.38,16.55,16.28,16.48,71500
1999-06-07,16.59,16.81,16.53,16.79,44800
1999-06-08,16.75,16.75,16.49,16.49,186900
1999-06-09,16.55,16.7,16.39,16.45,29500
1999-06-10,16.26,16.26,16.03,16.14,92100
1999-06-11,16.18,16.4,16.05,16.18,78100
1999-06-14,16.24,16.24,16.03,16.09,16700
1999-06-15,16.2,16.3,16.11,16.18,119300
1999-06-16,16.57,16.74,16.55,16.6,160100
1999-06-17,16.67,16.98,16.57,16.92,143900
1999-06-18,16.77,16.94,16.76,16.9,47100
1999-06-21,16.96,17.02,16.81,17.0,103800
1999-06-22,16.98,17.0,16.81,16.81,63000
1999-06-23,16.81,16.81,16.48,16.65,29200
1999-06-24,16.59,16.59,16.19,16.38,47200
1999-06-25,16.48,16.53,16.38,16.42,72900
1999-06-28,16.54,16.86,16.54,16.8,45700
1999-06-29,16.75,16.94,16.65,16.86,35100
1999-06-30,16.94,17.35,16.65,17.21,119100
1999-07-01,17.25,17.39,16.98,17.39,161200
1999-07-02,17.31,17.56,17.31,17.39,51100
1999-07-06,17.37,17.7,17.37,17.54,98900
1999-07-07,17.39,17.56,17.37,17.47,66600
1999-07-08,17.35,17.58,17.29,17.41,41700
1999-07-09,17.4,17.51,17.33,17.43,55500
1999-07-12,17.43,17.49,17.29,17.29,61000
1999-07-13,17.14,17.21,17.06,17.1,20800
1999-07-14,17.29,17.29,17.04,17.14,455000
1999-07-15,17.31,17.34,17.21,17.3,128700
1999-07-16,17.29,17.45,17.14,17.39,8900
1999-07-19,17.47,17.49,17.25,17.27,111200
1999-07-20,17.21,17.33,17.0,17.05,33800
1999-07-21,17.04,17.12,16.77,16.86,40800
1999-07-22,16.79,17.08,16.75,16.88,46100
1999-07-23,16.96,16.96,16.53,16.69,54300
1999-07-26,16.53,16.86,16.53,16.75,103100
1999-07-27,16.94,17.04,16.81,16.98,49400
1999-07-28,16.86,16.98,16.75,16.77,33900
1999-07-29,16.55,16.63,16.4,16.53,106900
1999-07-30,16.44,16.53,16.13,16.15,269700
1999-08-02,16.24,16.42,16.03,16.07,164300
1999-08-03,16.11,16.18,15.78,15.87,439700
1999-08-04,15.87,16.07,15.62,15.66,121700
1999-08-05,15.58,15.74,15.34,15.72,116800
1999-08-06,15.58,15.65,15.19,15.31,117900
1999-08-09,15.28,15.52,15.28,15.35,183700
1999-08-10,15.35,15.35,14.94,15.08,150200
1999-08-11,15.31,15.45,15.19,15.37,272400
1999-08-12,15.5,15.65,15.39,15.44,122100
1999-08-13,15.76,15.99,15.71,15.95,100600
1999-08-16,15.93,15.97,15.8,15.89,61900
1999-08-17,16.22,16.46,16.22,16.46,107700
1999-08-18,16.34,16.39,16.16,16.29,151300
1999-08-19,16.07,16.24,16.04,16.07,24600
1999-08-20,16.13,16.32,16.04,16.3,33400
1999-08-23,16.48,16.73,16.48,16.73,55000
1999-08-24,16.69,17.01,16.59,16.77,168200
1999-08-25,16.34,16.65,16.24,16.64,189300
1999-08-26,16.7,16.7,16.26,16.26,233900
1999-08-27,16.24,16.35,15.99,15.99,214500
1999-08-30,16.02,16.05,15.38,15.46,144700
1999-08-31,15.5,15.64,15.29,15.44,247500
1999-09-01,15.52,15.52,15.32,15.52,119700
1999-09-02,15.22,15.34,15.15,15.22,394000
1999-09-03,15.79,15.99,15.71,15.99,320500
