Date,Open,Close
1999-01-29,37.38,37.81
1999-02-01,38.16,37.84
1999-02-02,38,37.2
1999-02-03,37.06,37.47
1999-02-04,37.75,36.19
1999-02-05,36,35.31
1999-02-08,35.75,35.91
1999-02-09,36,34.5
1999-02-10,34.66,34.75
1999-02-11,35.38,36.22
1999-02-12,35.38,34.78
1999-02-16,35.75,34.63
1999-02-17,33.75,33.84
1999-02-18,34.31,34.03
1999-02-19,34.63,34.34
1999-02-22,34.59,35.56
1999-02-23,36,36.03
1999-02-24,36.38,35.03
1999-02-25,34.38,35.13
1999-02-26,35.06,34.06
1999-03-01,33.63,33.91
1999-03-02,34.19,33
1999-03-03,33.5,33.56
1999-03-04,34.38,33.91
1999-03-05,34.88,34.69
1999-03-08,35.5,35.69
1999-03-09,35.5,35.31
1999-03-10,35.31,35.31
1999-03-11,35.5,35.25
1999-03-12,35.56,34.94
1999-03-15,35.19,35.5
1999-03-16,35.53,36.11
1999-03-17,36.09,35.88
1999-03-18,35.75,36.38
1999-03-19,36.69,35.5
1999-03-22,35.5,35.5
1999-03-23,35.25,34.47
1999-03-24,34.69,35.14
1999-03-25,35.84,35.97
1999-03-26,35.81,35.78
1999-03-29,36.25,37.13
1999-03-30,36.94,37.06
1999-03-31,37.5,36.59
1999-04-01,37.5,37.17
1999-04-05,37.63,38.45
1999-04-06,38.69,38.78
1999-04-07,39.5,38.69
1999-04-08,38.69,39.06
1999-04-09,38.98,39
1999-04-12,37.63,38.41
1999-04-13,38.56,37.81
1999-04-14,38.38,36.88
1999-04-15,37.31,37.19
1999-04-16,37.19,36.19
1999-04-19,36.56,34.44
1999-04-20,34.81,35.31
1999-04-21,35.31,36.25
1999-04-22,37.81,37.92
1999-04-23,37.72,38
1999-04-26,38.44,38.97
1999-04-27,39.44,38
1999-04-28,38,37.5
1999-04-29,37.5,37.11
1999-04-30,37.75,36.81
1999-05-03,37,37.13
1999-05-04,36.97,36.56
1999-05-05,36.75,37.31
1999-05-06,37,36.38
1999-05-07,36.94,37
1999-05-10,37.38,37.31
1999-05-11,37.53,37.88
1999-05-12,38.47,38.63
1999-05-13,38.88,38.52
1999-05-14,37.88,37.5
1999-05-17,37.28,38.03
1999-05-18,38.44,38.38
1999-05-19,38.56,38.5
1999-05-20,38.72,38
1999-05-21,37.75,37.56
1999-05-24,37.56,36.75
1999-05-25,37,35.98
1999-05-26,36.44,36.73
1999-05-27,36.73,36.47
