Date,Open,High,Low,Close,Volume
1998-12-22,24.81,25.06,24.81,25.03,5700
1998-12-23,25.19,25.59,25.19,25.59,18100
1998-12-24,25.63,25.75,25.52,25.75,4900
1998-12-28,25.67,25.75,25.38,25.38,15500
1998-12-29,25.38,25.94,25.38,25.94,5300
1998-12-30,26.0,26.03,25.72,25.72,17300
1998-12-31,25.81,26.0,25.75,26.0,6600
1999-01-04,26.25,26.38,25.78,25.94,249200
1999-01-05,26.0,26.34,26.0,26.34,4400
1999-01-06,26.53,26.78,26.47,26.78,38500
1999-01-07,26.53,26.69,26.34,26.66,15900
1999-01-08,26.72,26.98,26.72,26.98,24400
1999-01-11,26.97,27.25,26.81,27.05,7700
1999-01-12,27.13,27.25,26.91,26.94,270700
1999-01-13,25.78,26.88,25.78,26.69,7100
1999-01-14,26.78,26.86,26.38,26.47,7600
1999-01-15,26.56,26.91,26.56,26.83,7600
1999-01-19,27.28,27.66,27.13,27.59,17200
1999-01-20,27.75,28.13,27.59,27.75,20700
1999-01-21,27.69,27.69,26.72,26.78,22300
1999-01-22,26.59,26.88,26.41,26.67,64400
1999-01-25,26.69,26.91,26.69,26.89,493300
1999-01-26,26.94,27.03,26.67,27.02,184700
1999-01-27,27.09,27.09,26.75,26.75,5500
1999-01-28,27.0,27.34,27.0,27.25,23800
1999-01-29,27.28,27.28,26.91,27.25,11800
1999-02-01,27.38,27.47,27.16,27.41,30000
1999-02-02,26.97,27.05,26.63,27.0,141400
1999-02-03,26.94,27.52,26.94,27.52,38500
1999-02-04,27.34,27.44,27.13,27.31,6700
1999-02-05,27.31,27.31,26.81,27.0,15300
1999-02-08,27.13,27.13,26.88,26.98,6400
1999-02-09,27.06,27.09,26.5,26.5,218600
1999-02-10,26.31,26.56,26.19,26.56,17400
1999-02-11,26.47,27.28,26.38,27.28,5200
1999-02-12,27.13,27.13,26.72,26.88,8000
1999-02-16,27.0,27.31,27.0,27.13,18500
1999-02-17,27.06,27.25,26.81,26.84,12800
1999-02-18,26.94,27.2,26.77,27.19,10700
1999-02-19,27.19,27.38,27.19,27.27,13700
1999-02-22,27.38,27.86,27.31,27.84,16700
1999-02-23,27.91,27.91,27.5,27.8,12900
1999-02-24,27.88,27.98,27.47,27.47,25500
1999-02-25,27.34,27.34,26.88,27.2,97800
1999-02-26,27.31,27.36,26.89,27.28,9900
1999-03-01,27.22,27.25,26.91,27.23,6900
1999-03-02,27.41,27.64,27.05,27.22,11000
1999-03-03,27.31,27.31,27.0,27.05,11200
1999-03-04,27.44,27.53,27.23,27.53,8700
1999-03-05,27.94,28.22,27.84,28.16,24500
1999-03-08,28.09,28.19,27.94,28.19,41200
1999-03-09,27.84,28.25,27.81,27.97,11200
1999-03-10,27.94,28.22,27.78,28.22,3000
1999-03-11,28.22,28.56,28.22,28.41,18700
1999-03-12,28.53,28.66,28.25,28.25,15900
1999-03-15,28.44,28.55,28.22,28.34,142300
1999-03-16,28.44,28.44,28.23,28.28,8400
1999-03-17,28.19,28.36,28.02,28.13,2400
1999-03-18,27.97,28.52,27.97,28.52,7200
1999-03-19,28.53,28.66,28.28,28.39,5700
1999-03-22,28.31,28.59,28.28,28.31,39900
1999-03-23,28.25,28.25,27.44,27.53,15000
1999-03-24,27.47,27.66,27.34,27.66,12100
1999-03-25,27.91,28.13,27.75,28.13,8600
1999-03-26,27.92,28.03,27.84,27.91,6100
1999-03-29,27.94,28.33,27.94,28.25,7600
1999-03-30,28.22,28.36,28.09,28.16,36800
1999-03-31,28.25,28.25,28.0,28.0,5200
1999-04-01,28.0,28.08,27.66,28.0,20500
1999-04-05,28.44,28.75,28.44,28.63,11400
1999-04-06,28.75,28.88,28.56,28.66,7500
1999-04-07,28.84,29.34,28.84,29.2,13300
1999-04-08,29.13,29.5,29.09,29.5,22400
1999-04-09,29.5,29.59,29.28,29.59,6300
1999-04-12,29.28,30.34,29.28,30.34,85200
1999-04-13,30.44,30.47,30.03,30.03,21900
1999-04-14,30.25,30.31,29.75,29.75,65300
1999-04-15,29.81,29.81,28.78,29.0,15000
1999-04-16,29.0,29.0,28.53,28.72,5700
1999-04-19,28.94,29.09,27.88,27.94,21400
1999-04-20,28.13,28.47,27.91,28.47,13100
1999-04-21,28.41,29.13,28.41,29.13,14000
1999-04-22,29.25,29.84,29.25,29.72,17900
1999-04-23,29.91,30.39,29.91,30.39,6300
1999-04-26,30.53,30.53,30.19,30.34,32800
1999-04-27,30.58,30.59,30.09,30.38,12500
1999-04-28,30.25,30.25,29.56,29.56,19200
1999-04-29,29.63,29.81,29.03,29.22,9300
1999-04-30,29.44,29.59,29.0,29.0,4700
1999-05-03,29.34,29.59,29.25,29.56,12300
1999-05-04,29.69,29.69,29.0,29.0,20600
1999-05-05,29.09,29.31,28.81,29.25,14300
1999-05-06,29.38,29.59,29.31,29.38,14500
1999-05-07,29.63,29.63,29.19,29.28,5600
1999-05-10,29.31,29.56,29.16,29.22,21300
1999-05-11,29.56,29.75,29.5,29.69,35100
1999-05-12,29.47,30.06,29.41,29.97,6600
1999-05-13,30.09,30.09,29.75,29.78,7900
1999-05-14,29.13,29.31,29.13,29.25,3600
1999-05-17,28.91,29.06,28.69,29.06,4300
1999-05-18,28.94,29.22,28.75,28.75,6000
1999-05-19,28.97,29.19,28.91,29.09,7800
1999-05-20,29.25,29.63,29.25,29.48,11900
1999-05-21,29.38,29.38,29.06,29.16,8400
1999-05-24,29.22,29.25,28.47,28.47,11000
1999-05-25,28.5,28.75,28.19,28.19,5900
1999-05-26,28.38,28.38,27.97,28.22,7200
1999-05-27,28.11,28.11,27.73,27.91,5800
1999-05-28,28.0,28.13,27.95,28.11,5500
1999-06-01,27.97,28.19,27.84,28.19,4200
1999-06-02,28.34,28.34,27.78,28.09,8700
1999-06-03,28.28,28.44,28.28,28.31,3900
1999-06-04,28.88,29.03,28.81,29.0,700
1999-06-07,28.75,28.75,28.53,28.75,3700
1999-06-08,28.63,28.77,28.52,28.52,5300
1999-06-09,28.53,28.75,28.48,28.53,3000
1999-06-10,28.22,28.3,27.94,28.3,11100
1999-06-11,28.44,28.47,27.97,27.97,2200
1999-06-14,28.25,28.25,28.06,28.13,12100
1999-06-15,28.31,28.69,28.31,28.44,3400
1999-06-16,28.94,29.0,28.91,29.0,13200
1999-06-17,29.06,29.27,28.97,29.14,11000
1999-06-18,29.0,29.16,28.94,29.0,5800
1999-06-21,29.09,29.09,28.84,28.86,13400
1999-06-22,29.09,29.09,28.81,28.81,3900
1999-06-23,28.7,28.88,28.47,28.88,7700
1999-06-24,28.56,28.66,28.2,28.34,12600
1999-06-25,28.63,28.63,28.38,28.38,2500
1999-06-28,28.44,28.69,28.41,28.69,2400
1999-06-29,28.75,29.03,28.66,28.97,2000
1999-06-30,29.03,29.47,28.75,29.34,19900
1999-07-01,29.22,29.5,29.13,29.44,3100
1999-07-02,29.53,29.53,29.22,29.44,15400
1999-07-06,29.13,29.41,29.13,29.38,5100
1999-07-07,29.38,29.56,29.34,29.56,1700
1999-07-08,29.38,29.58,29.31,29.5,9400
1999-07-09,29.41,29.63,29.41,29.63,10200
1999-07-12,29.69,29.78,29.5,29.69,3600
1999-07-13,29.63,29.75,29.56,29.63,4500
1999-07-14,29.75,29.75,29.44,29.69,15800
1999-07-15,29.91,29.91,29.66,29.83,7000
1999-07-16,29.84,29.94,29.66,29.84,4800
1999-07-19,30.03,30.03,29.69,29.72,5700
1999-07-20,29.63,29.78,29.53,29.59,15200
1999-07-21,29.44,29.66,29.38,29.53,13800
1999-07-22,29.38,29.5,29.03,29.06,9600
1999-07-23,29.0,29.19,28.75,28.81,16600
1999-07-26,28.56,28.97,28.56,28.84,16900
1999-07-27,29.28,29.47,29.03,29.38,8400
1999-07-28,29.28,29.34,29.09,29.16,4600
1999-07-29,28.84,28.88,28.56,28.66,7700
1999-07-30,28.69,28.84,28.47,28.47,2400
1999-08-02,28.5,28.66,28.25,28.28,69700
1999-08-03,28.31,28.31,27.92,28.16,4600
1999-08-04,28.09,28.16,27.75,27.75,2000
1999-08-05,27.75,27.75,27.19,27.67,29900
1999-08-06,27.41,27.53,27.25,27.38,6900
1999-08-09,27.38,27.5,27.31,27.41,5700
1999-08-10,27.16,27.16,26.69,26.86,5800
1999-08-11,26.8,27.13,26.8,27.13,11000
1999-08-12,27.19,27.31,27.03,27.13,9800
1999-08-13,27.5,27.69,27.47,27.59,7800
1999-08-16,27.63,27.84,27.56,27.59,17100
1999-08-17,27.88,28.03,27.73,27.94,14400
1999-08-18,28.06,28.27,27.92,28.13,7700
1999-08-19,27.75,28.0,27.7,28.0,4600
1999-08-20,28.06,28.13,27.94,27.94,2700
1999-08-23,28.22,28.25,28.08,28.2,5000
1999-08-24,28.13,28.13,27.63,27.81,10900
1999-08-25,27.66,28.38,27.64,28.38,9600
1999-08-26,28.19,28.34,28.03,28.16,5100
1999-08-27,28.19,28.19,27.83,27.95,5000
1999-08-30,27.92,27.92,27.28,27.28,12900
1999-08-31,27.19,27.33,26.88,27.19,15400
1999-09-01,27.06,27.34,27.03,27.22,3500
1999-09-02,26.94,27.11,26.91,26.94,6200
1999-09-03,27.58,27.89,27.56,27.8,5700
1999-09-07,28.05,28.22,28.05,28.13,9900
1999-09-08,28.0,28.25,28.0,28.0,10700
1999-09-09,27.97,28.05,26.75,27.81,6600
1999-09-10,27.95,28.06,27.8,27.97,7800
1999-09-13,27.94,27.98,27.77,27.92,4500
1999-09-14,27.73,27.86,27.64,27.64,5000
1999-09-15,27.81,27.84,27.31,27.38,5900
1999-09-16,27.22,27.39,27.06,27.39,7000
1999-09-17,27.52,28.17,27.52,28.17,9700
1999-09-20,28.31,28.31,27.31,27.83,7500
1999-09-21,27.59,28.42,27.27,27.33,9200
1999-09-22,27.36,27.44,27.09,27.27,4600
1999-09-23,27.33,27.48,26.97,26.97,3500
1999-09-24,27.02,27.02,26.53,26.55,5500
1999-09-27,26.88,26.88,26.7,26.75,3000
1999-09-28,26.63,26.73,26.22,26.5,15900
1999-09-29,26.66,26.84,26.58,26.58,3800
1999-09-30,26.63,26.91,26.47,26.81,9000
1999-10-01,26.77,26.86,26.36,26.72,9700
1999-10-04,26.75,27.13,26.75,27.13,5900
1999-10-05,27.0,27.09,26.77,26.77,8400
1999-10-06,26.81,27.44,26.81,27.44,21300
1999-10-07,27.39,27.52,27.16,27.19,7800
1999-10-08,27.08,27.48,27.08,27.48,4300
1999-10-11,27.31,27.56,27.31,27.41,3300
1999-10-12,27.19,27.25,26.94,26.94,4300
1999-10-13,26.89,26.94,26.34,26.34,12500
1999-10-14,26.17,26.41,26.09,26.25,4800
1999-10-15,25.81,26.0,25.63,25.8,6700
1999-10-18,25.55,25.75,25.33,25.67,3800
1999-10-19,26.05,26.16,25.69,25.69,6300
1999-10-20,26.16,26.38,25.95,26.31,44100
1999-10-21,26.17,26.36,26.09,26.36,3800
1999-10-22,26.5,26.72,26.5,26.69,25700
1999-10-25,26.63,26.69,26.44,26.69,19200
1999-10-26,26.75,26.81,26.5,26.5,28000
1999-10-27,26.55,26.58,26.22,26.5,32200
1999-10-28,26.95,27.66,26.95,27.64,5600
1999-10-29,28.19,28.5,28.11,28.17,30800
1999-11-01,28.3,28.3,28.13,28.19,18400
1999-11-02,28.03,28.33,27.8,27.83,17700
1999-11-03,28.03,28.03,27.73,27.95,4900
1999-11-04,28.13,28.38,28.13,28.27,6500
1999-11-05,28.66,28.66,28.14,28.14,18000
1999-11-08,28.0,28.25,28.0,28.19,11600
1999-11-09,28.31,28.33,27.94,28.0,8400
1999-11-10,27.67,28.19,27.67,28.17,15500
1999-11-11,28.42,28.59,28.34,28.5,7000
1999-11-12,28.89,29.13,28.53,29.06,36400
1999-11-15,29.0,29.34,29.0,29.19,15100
1999-11-16,29.25,29.61,29.25,29.56,16400
1999-11-17,29.5,29.5,29.25,29.27,3300
1999-11-18,29.28,29.66,29.28,29.45,7400
1999-11-19,29.47,29.47,29.27,29.31,8700
1999-11-22,29.0,29.09,28.88,29.0,15000
1999-11-23,28.91,28.91,28.47,28.52,6600
1999-11-24,28.44,28.92,28.44,28.92,20600
1999-11-26,28.81,28.81,28.69,28.69,9400
1999-11-29,28.52,28.72,28.52,28.52,30600
1999-11-30,28.56,28.81,28.41,28.5,5300
1999-12-01,28.47,28.59,28.38,28.44,35700
1999-12-02,28.5,28.69,28.5,28.69,18200
1999-12-03,28.94,29.66,28.94,29.25,24600
1999-12-06,29.36,29.44,29.25,29.42,36300
1999-12-07,29.44,29.56,29.34,29.34,11200
1999-12-08,29.41,29.73,29.41,29.63,37300
1999-12-09,29.83,30.13,29.83,30.08,10700
1999-12-10,30.25,30.25,29.77,29.89,12100
1999-12-13,29.69,29.95,29.69,29.69,6700
1999-12-14,29.53,29.83,29.53,29.75,11100
1999-12-15,29.56,29.91,29.45,29.5,5800
1999-12-16,29.63,29.73,29.38,29.73,9200
1999-12-17,29.97,30.25,29.81,30.25,485200
1999-12-20,30.16,30.41,29.97,29.97,295400
1999-12-21,29.81,30.06,29.72,29.78,557600
1999-12-22,29.86,30.0,29.78,29.81,152900
1999-12-23,30.0,30.53,30.0,30.44,443700
1999-12-27,30.75,30.75,30.44,30.44,498800
1999-12-28,30.41,30.67,30.41,30.5,109700
1999-12-29,30.31,30.48,30.31,30.48,21000
1999-12-30,30.41,30.75,30.41,30.72,6100
1999-12-31,30.59,30.89,30.59,30.89,7000
2000-01-03,31.0,31.0,30.06,30.3,240300
2000-01-04,30.19,30.2,29.53,29.61,32800
2000-01-05,29.78,29.78,29.22,29.34,135800
2000-01-06,29.31,29.56,29.16,29.44,48900
2000-01-07,29.47,29.8,29.36,29.8,18600
2000-01-10,32.25,32.94,31.63,32.84,28300
2000-01-11,32.53,32.53,31.95,31.97,14400
2000-01-12,32.22,32.22,31.31,31.44,8800
2000-01-13,31.72,32.44,31.59,32.38,447900
2000-01-14,32.59,32.59,31.91,32.09,17700
2000-01-18,31.88,31.88,31.47,31.5,401700
2000-01-19,31.59,32.25,31.5,32.25,8900
2000-01-20,32.41,32.5,31.88,32.0,53400
2000-01-21,31.88,32.05,31.69,31.94,35000
2000-01-24,32.03,32.19,30.98,30.98,70300
2000-01-25,31.25,31.44,31.0,31.2,18800
2000-01-26,31.19,31.3,31.0,31.06,9400
2000-01-27,31.2,31.39,30.88,30.88,9600
2000-01-28,30.94,31.03,30.25,30.25,17600
2000-01-31,30.38,30.38,29.86,30.11,27300
2000-02-01,30.22,30.53,30.16,30.5,125000
2000-02-02,30.72,31.25,30.72,31.25,7700
2000-02-03,31.2,31.61,31.02,31.53,30300
2000-02-04,31.73,31.81,31.44,31.64,10500
2000-02-07,31.63,31.63,30.98,31.13,29700
2000-02-08,31.19,31.53,31.19,31.47,264400
2000-02-09,31.44,31.44,30.77,30.91,17900
2000-02-10,30.88,31.06,30.63,30.64,3400
2000-02-11,30.64,30.88,30.58,30.66,9200
2000-02-14,30.31,30.47,29.91,30.09,12700
2000-02-15,30.03,30.03,29.63,29.86,15200
2000-02-16,29.63,29.75,29.0,29.02,31800
2000-02-17,29.16,29.3,28.88,29.0,14500
2000-02-18,28.94,28.98,28.2,28.2,105500
2000-02-22,28.45,28.45,27.84,28.0,34100
2000-02-23,27.94,28.63,27.94,28.44,11900
2000-02-24,28.47,28.59,27.75,28.22,169400
2000-02-25,28.16,28.19,27.0,27.34,16500
2000-02-28,27.47,27.83,27.28,27.83,100500
2000-02-29,27.94,28.36,27.83,28.14,15500
2000-03-01,28.27,28.53,28.03,28.38,21900
2000-03-02,28.34,28.44,28.16,28.25,46100
2000-03-03,28.47,28.7,28.34,28.64,324300
2000-03-06,28.45,28.61,28.08,28.08,311100
2000-03-07,28.09,28.25,27.5,27.56,436200
2000-03-08,27.31,27.69,27.31,27.42,181200
2000-03-09,27.47,28.16,27.38,28.06,12400
2000-03-10,28.0,28.2,27.81,27.83,164100
2000-03-13,27.22,27.84,27.22,27.63,60800
2000-03-14,27.81,28.09,27.7,27.7,35500
2000-03-15,27.84,28.06,27.56,27.84,40400
2000-03-16,28.13,29.28,28.13,29.28,104600
2000-03-17,29.16,29.59,29.06,29.31,60200
2000-03-20,29.81,30.0,29.7,29.88,7100
2000-03-21,30.0,30.13,29.72,30.06,18100
2000-03-22,30.31,31.05,30.31,30.83,23500
2000-03-23,30.63,31.16,30.63,30.95,23500
2000-03-24,31.0,31.38,31.0,31.22,7800
2000-03-27,31.05,31.36,31.0,31.0,8100
2000-03-28,31.0,31.17,30.88,31.03,11100
2000-03-29,30.78,30.83,30.41,30.56,5700
2000-03-30,30.5,30.63,29.98,30.13,10700
2000-03-31,30.34,30.67,30.06,30.67,10100
2000-04-03,30.92,30.92,30.66,30.66,7000
2000-04-04,30.83,31.13,29.44,30.31,5900
2000-04-05,30.0,30.34,29.92,30.11,5000
2000-04-06,30.28,30.84,30.28,30.69,23100
2000-04-07,30.81,30.91,30.55,30.77,4300
2000-04-10,30.81,30.86,30.56,30.56,5200
2000-04-11,30.5,30.83,30.48,30.83,7600
2000-04-12,30.88,30.94,30.27,30.27,10900
2000-04-13,30.02,30.06,29.38,29.5,16500
2000-04-14,28.47,28.59,27.72,27.72,6900
2000-04-17,27.78,28.06,27.14,27.95,11600
2000-04-18,27.89,28.72,27.89,28.72,48600
2000-04-19,29.19,29.5,29.09,29.47,6100
2000-04-20,29.47,29.59,29.25,29.59,3700
2000-04-24,29.0,29.31,28.88,29.17,15100
2000-04-25,29.31,29.91,29.31,29.91,3300
2000-04-26,30.0,30.47,30.0,30.22,10200
2000-04-27,29.63,30.19,29.63,30.03,4300
2000-04-28,30.58,30.58,30.19,30.31,4000
2000-05-01,30.41,30.56,30.28,30.41,2500
2000-05-02,29.94,29.94,29.64,29.8,3500
2000-05-03,29.31,29.41,28.69,28.97,9800
2000-05-04,28.88,29.06,28.77,28.88,17100
2000-05-05,28.78,29.03,28.78,28.84,4600
2000-05-08,28.67,28.91,28.58,28.91,5400
2000-05-09,28.94,28.94,28.66,28.7,5900
2000-05-10,28.94,29.09,28.47,28.66,7900
2000-05-11,28.66,28.75,28.56,28.63,3700
2000-05-12,28.88,29.22,28.84,29.13,4900
2000-05-15,29.0,29.63,29.0,29.61,4500
2000-05-16,29.84,30.16,29.84,30.0,9800
2000-05-17,29.66,29.91,29.59,29.66,6600
2000-05-18,29.81,29.81,29.56,29.63,2000
2000-05-19,29.16,29.16,28.81,28.84,3800
2000-05-22,28.81,28.81,28.38,28.52,10600
2000-05-23,28.56,28.66,28.28,28.28,6300
2000-05-24,28.81,28.81,28.08,28.47,5600
2000-05-25,28.5,28.69,28.25,28.25,112100
2000-05-26,28.5,28.5,27.97,28.03,34500
2000-05-30,28.28,29.25,28.28,29.19,2000
2000-05-31,29.25,29.5,29.13,29.5,40900
2000-06-01,29.56,29.66,29.25,29.31,18700
2000-06-02,29.84,30.25,29.81,30.03,26100
2000-06-05,30.16,30.2,29.88,29.94,2300
2000-06-06,29.88,29.97,29.59,29.69,15500
2000-06-07,29.59,29.81,29.41,29.61,6900
2000-06-08,29.75,29.75,29.38,29.38,6500
2000-06-09,29.59,29.97,29.59,29.81,9900
2000-06-12,29.75,29.75,29.38,29.53,15300
2000-06-13,29.28,29.41,29.13,29.13,4000
2000-06-14,29.69,29.84,29.47,29.63,9500
2000-06-15,30.0,30.47,30.0,30.47,56600
2000-06-16,30.31,30.5,30.06,30.13,1118500
2000-06-19,30.31,30.41,30.16,30.31,21100
2000-06-20,30.06,30.38,29.94,30.27,4700
2000-06-21,30.03,30.25,30.0,30.13,93400
2000-06-22,30.0,30.22,30.0,30.06,19800
2000-06-23,30.06,30.06,29.31,29.5,1800
2000-06-26,29.5,29.5,29.13,29.22,4600
2000-06-27,29.16,29.38,29.06,29.16,59000
2000-06-28,29.34,29.48,29.03,29.03,39800
2000-06-29,29.0,29.47,28.91,29.47,30700
2000-06-30,29.38,29.56,29.33,29.56,16300
2000-07-03,29.25,29.5,29.25,29.5,2300
2000-07-05,29.56,29.78,29.41,29.69,83000
2000-07-06,29.72,29.84,29.41,29.63,12200
2000-07-07,29.5,29.91,29.5,29.88,9000
2000-07-10,29.84,29.84,29.41,29.63,14900
2000-07-11,29.28,29.5,29.22,29.3,3700
2000-07-12,29.73,30.0,29.56,29.84,48600
2000-07-13,29.66,30.06,29.66,29.94,5400
2000-07-14,30.16,30.41,29.97,30.41,3400
2000-07-17,30.44,30.44,30.0,30.03,25600
2000-07-18,29.78,29.91,29.55,29.56,56400
2000-07-19,29.69,29.97,29.63,29.75,7500
2000-07-20,29.91,30.28,29.91,30.22,1800
2000-07-21,30.09,30.09,29.44,29.47,6300
2000-07-24,29.5,29.5,29.16,29.19,54000
2000-07-25,29.44,29.44,29.09,29.2,8400
2000-07-26,29.25,29.28,28.97,28.97,26800
2000-07-27,29.13,29.34,29.08,29.16,2000
2000-07-28,29.22,29.22,28.63,28.84,6300
2000-07-31,29.0,29.13,28.94,29.13,33800
2000-08-01,29.03,29.59,29.03,29.38,5400
2000-08-02,29.31,29.63,29.31,29.5,8100
2000-08-03,29.44,29.66,29.28,29.66,11100
2000-08-04,30.16,30.5,30.03,30.27,53300
2000-08-07,30.28,30.34,30.03,30.03,3000
2000-08-08,30.28,30.31,30.03,30.13,2900
2000-08-09,29.97,30.06,29.84,29.84,4500
2000-08-10,29.78,29.91,29.66,29.91,28500
2000-08-11,29.88,30.34,29.88,30.09,8400
2000-08-14,30.34,30.44,30.16,30.44,2700
2000-08-15,30.28,30.66,30.06,30.28,31300
2000-08-16,30.41,30.41,29.78,29.84,3200
2000-08-17,29.91,30.22,29.91,30.13,60200
2000-08-18,30.03,30.13,29.95,30.13,2100
2000-08-21,30.13,30.31,30.13,30.22,3500
2000-08-22,29.97,29.97,29.81,29.84,3400
2000-08-23,29.78,30.05,29.72,29.88,38800
2000-08-24,30.0,30.0,29.75,29.8,1800
2000-08-25,30.0,30.3,30.0,30.3,4700
2000-08-28,30.22,30.22,29.95,30.0,13100
2000-08-29,30.14,30.34,30.05,30.14,23200
2000-08-30,30.14,30.45,30.14,30.34,8300
2000-08-31,30.25,30.44,30.13,30.16,2900
2000-09-01,30.03,30.28,30.03,30.13,68100
2000-09-05,30.0,30.0,29.27,29.53,234100
2000-09-06,29.53,29.78,29.41,29.41,36400
2000-09-07,29.59,29.59,29.13,29.17,35700
2000-09-08,29.31,29.47,29.19,29.19,956000
2000-09-11,29.16,29.5,29.06,29.3,534400
2000-09-12,29.41,29.53,29.13,29.28,559100
2000-09-13,29.31,29.59,29.14,29.59,8900
2000-09-14,29.67,29.67,29.28,29.28,41700
2000-09-15,29.52,29.52,29.16,29.16,21200
2000-09-18,29.38,29.5,28.97,29.11,22400
2000-09-19,28.97,29.03,28.77,28.92,12300
2000-09-20,28.67,28.67,28.13,28.36,11000
2000-09-21,28.41,28.63,28.14,28.63,10100
2000-09-22,28.34,28.38,28.0,28.38,4300
2000-09-25,28.66,28.94,28.66,28.8,2600
2000-09-26,28.97,28.97,28.69,28.8,5400
2000-09-27,28.63,28.69,28.31,28.31,6900
2000-09-28,28.56,29.14,28.5,29.14,54500
2000-09-29,29.03,29.06,28.88,29.06,2600
2000-10-02,29.25,29.44,29.22,29.44,2500
2000-10-03,29.63,29.81,29.44,29.55,13400
2000-10-04,29.63,29.78,29.41,29.78,1100
2000-10-05,29.94,30.47,29.88,30.05,18500
2000-10-06,30.13,30.13,29.34,29.34,600
2000-10-09,29.28,29.28,29.08,29.16,4000
2000-10-10,29.16,29.58,29.16,29.19,2000
2000-10-11,28.91,29.05,28.44,28.45,23100
2000-10-12,28.59,28.59,27.38,27.5,7500
2000-10-13,27.25,28.33,27.09,28.02,5000
2000-10-16,27.84,27.94,27.66,27.75,4700
2000-10-17,27.66,27.84,26.13,26.38,11100
2000-10-18,25.38,27.0,25.19,26.81,7000
2000-10-19,27.06,27.19,26.84,27.13,5700
2000-10-20,27.39,28.28,27.39,27.69,9200
2000-10-23,27.94,28.19,27.84,28.09,3800
2000-10-24,28.31,28.81,28.06,28.16,102900
2000-10-25,28.25,28.27,27.66,27.66,5500
2000-10-26,28.06,28.19,27.64,28.05,4400
2000-10-27,27.94,28.3,27.94,28.3,2800
2000-10-30,28.56,28.84,28.25,28.84,3600
2000-10-31,29.03,29.5,28.69,29.5,21900
2000-11-01,29.55,29.7,29.34,29.7,5900
2000-11-02,29.63,29.97,29.63,29.97,15700
2000-11-03,30.0,30.08,29.84,29.86,4400
2000-11-06,29.81,30.19,29.81,30.06,6500
2000-11-07,29.97,30.19,29.84,30.19,25000
2000-11-08,30.25,30.38,29.94,29.94,14100
2000-11-09,29.16,29.16,28.16,28.56,14100
2000-11-10,28.38,28.67,28.38,28.45,11200
2000-11-13,27.88,28.0,27.53,27.84,15400
2000-11-14,28.19,28.56,28.16,28.52,3500
2000-11-15,28.63,28.75,28.36,28.66,3000
2000-11-16,28.66,28.67,28.31,28.31,3700
2000-11-17,28.25,28.64,27.97,28.13,9600
2000-11-20,27.97,28.09,27.72,27.97,3200
2000-11-21,27.06,27.31,27.0,27.31,7000
2000-11-22,27.13,27.14,26.94,27.05,3000
2000-11-24,26.72,27.19,26.72,27.17,4400
2000-11-27,27.59,27.59,27.31,27.34,2700
2000-11-28,27.38,27.59,27.0,27.0,15400
2000-11-29,27.06,27.22,26.84,27.06,120000
2000-11-30,26.75,27.0,26.38,26.81,2700
2000-12-01,26.88,27.34,26.88,27.0,5600
2000-12-04,26.94,27.13,26.91,27.02,24800
2000-12-05,27.09,27.84,27.09,27.72,5900
2000-12-06,28.13,28.22,27.91,28.02,8200
2000-12-07,27.81,27.81,27.5,27.55,3300
2000-12-08,28.13,28.38,27.94,28.14,3500
2000-12-11,28.09,28.5,27.91,28.44,2500
2000-12-12,28.13,28.56,28.13,28.5,3200
2000-12-13,28.66,28.81,28.53,28.66,6700
2000-12-14,28.41,28.59,28.19,28.41,7600
2000-12-15,27.72,28.02,27.47,27.69,6800
2000-12-18,27.92,28.0,27.31,27.53,12300
2000-12-19,27.69,28.09,27.56,27.56,20600
2000-12-20,26.63,26.91,26.16,26.31,66000
2000-12-21,26.22,26.53,25.97,26.5,8300
2000-12-22,26.72,27.03,26.63,26.95,2600
2000-12-26,27.16,27.28,26.72,27.0,13500
2000-12-27,26.75,27.09,26.75,27.09,5300
2000-12-28,26.88,27.56,26.88,27.56,6600
