Date,Open,High,Low,Close,Volume
2006-06-22,18.53,18.57,18.46,18.56,5100
2006-06-23,18.65,18.65,18.65,18.65,25000
2006-06-27,18.35,18.39,18.29,18.3,71000
2006-06-28,18.35,18.35,18.18,18.29,41500
2006-06-29,18.46,18.76,18.34,18.76,139000
2006-06-30,18.86,18.86,18.77,18.81,379100
2006-07-05,18.66,18.66,18.42,18.57,117000
2006-07-06,18.59,18.68,18.56,18.68,85200
2006-07-07,18.53,18.65,18.49,18.53,127000
2006-07-10,18.66,18.78,18.59,18.65,348600
2006-07-11,18.5,18.66,18.38,18.65,96500
2006-07-12,18.58,18.58,18.2,18.22,125000
2006-07-13,18.04,18.11,17.9,17.95,281100
2006-07-14,17.88,17.88,17.61,17.7,132400
2006-07-17,17.73,17.88,17.7,17.76,56300
2006-07-18,17.74,17.74,17.29,17.51,199600
2006-07-19,17.64,17.98,17.64,17.93,147400
2006-07-20,17.99,18.0,17.7,17.7,254600
2006-07-21,17.57,17.58,17.43,17.48,165300
2006-07-24,17.7,17.89,17.68,17.86,130900
2006-07-25,18.01,18.1,17.81,18.04,634100
2006-07-26,17.84,17.85,17.68,17.68,239900
2006-07-27,17.66,17.73,17.43,17.44,36300
2006-07-28,17.51,17.69,17.5,17.65,464300
2006-07-31,17.78,17.91,17.72,17.81,803300
2006-08-01,17.59,17.6,17.36,17.45,157800
2006-08-02,17.56,17.61,17.44,17.52,692600
2006-08-03,17.42,18.03,17.42,17.92,960200
2006-08-04,18.18,18.26,17.84,17.95,478200
2006-08-07,17.79,17.93,17.76,17.88,465500
2006-08-08,17.82,17.9,17.6,17.6,344600
2006-08-09,17.8,17.81,17.41,17.41,842400
2006-08-10,17.45,17.83,17.43,17.81,641600
2006-08-11,17.81,17.82,17.7,17.7,146000
2006-08-14,17.89,18.0,17.82,17.84,96400
2006-08-15,18.02,18.2,18.0,18.2,281000
2006-08-16,18.31,18.62,18.23,18.56,562400
2006-08-17,18.57,18.83,18.56,18.66,422100
2006-08-18,18.75,18.75,18.52,18.67,427500
2006-08-21,18.4,18.42,18.35,18.4,211500
2006-08-22,18.39,18.39,18.26,18.31,203100
2006-08-23,18.23,18.26,18.0,18.06,522700
2006-08-24,17.88,17.88,17.75,17.81,321200
2006-08-25,17.77,17.79,17.66,17.76,745900
2006-08-28,17.93,18.07,17.93,17.93,311600
2006-08-29,18.05,18.09,17.89,18.08,510000
2006-08-30,18.08,18.15,18.04,18.14,263900
2006-08-31,18.23,18.24,18.15,18.17,500500
2006-09-01,18.21,18.3,18.11,18.27,215400
2006-09-05,18.29,18.41,18.29,18.41,266100
2006-09-06,18.31,18.33,18.17,18.17,559400
2006-09-07,18.18,18.34,18.05,18.2,495700
2006-09-08,18.22,18.5,18.2,18.5,927200
2006-09-11,18.41,18.76,18.35,18.7,136600
2006-09-12,18.77,19.23,18.77,19.18,391400
2006-09-13,19.17,19.31,19.12,19.26,775400
2006-09-14,19.27,19.31,19.12,19.27,550500
2006-09-15,19.47,19.47,19.23,19.31,371000
2006-09-18,19.28,19.43,19.2,19.35,405100
2006-09-19,19.46,19.49,19.21,19.49,829900
2006-09-20,19.7,19.87,19.68,19.8,229100
2006-09-21,19.93,19.93,19.49,19.57,233900
2006-09-22,19.43,19.54,19.31,19.53,720800
2006-09-25,19.63,19.86,19.51,19.86,502700
2006-09-26,19.86,19.93,19.75,19.9,184200
2006-09-27,19.92,20.0,19.75,19.82,259100
2006-09-28,19.9,19.92,19.65,19.92,412300
2006-09-29,19.94,19.94,19.63,19.65,491500
2006-10-02,19.65,19.88,19.59,19.7,98500
2006-10-03,19.61,20.02,19.59,19.98,329000
2006-10-04,19.91,20.36,19.85,20.35,497000
2006-10-05,20.22,20.34,20.08,20.33,1060300
2006-10-06,20.13,20.18,20.01,20.11,413900
2006-10-09,20.02,20.31,19.99,20.25,149600
2006-10-10,20.26,20.35,20.2,20.23,799700
2006-10-11,20.23,20.3,20.17,20.21,44700
2006-10-12,20.3,20.67,20.3,20.67,120700
2006-10-13,20.64,20.71,20.62,20.69,65700
2006-10-16,20.68,20.77,20.62,20.73,133000
2006-10-17,20.71,20.71,20.34,20.53,135100
2006-10-18,20.79,20.79,20.46,20.53,362500
2006-10-19,20.55,20.64,20.4,20.43,134700
2006-10-20,20.53,20.53,20.35,20.43,88500
2006-10-23,20.46,20.86,20.42,20.8,407100
2006-10-24,20.83,20.85,20.62,20.75,316500
2006-10-25,20.8,20.83,20.49,20.58,250300
2006-10-26,20.69,20.95,20.55,20.95,44900
2006-10-27,20.77,20.89,20.65,20.65,319800
2006-10-30,20.51,20.89,20.51,20.86,259800
2006-10-31,20.95,20.95,20.6,20.7,217100
2006-11-01,20.68,20.68,20.23,20.24,271500
2006-11-02,19.91,20.23,19.9,20.11,753000
2006-11-03,20.22,20.22,19.74,19.93,153900
2006-11-06,19.98,20.22,19.98,20.15,99200
2006-11-07,20.25,20.45,20.25,20.31,57700
2006-11-08,20.2,20.49,20.2,20.43,147100
2006-11-09,20.52,20.52,20.24,20.29,328700
2006-11-10,20.4,20.65,20.36,20.65,286600
2006-11-13,20.67,20.84,20.52,20.52,88700
2006-11-14,20.73,20.94,20.57,20.94,153400
2006-11-15,20.95,21.07,20.85,20.85,299100
2006-11-16,20.79,20.88,20.68,20.84,1367900
2006-11-17,20.85,20.85,20.56,20.65,383100
2006-11-20,20.66,20.7,20.51,20.55,123900
2006-11-21,20.55,20.68,20.55,20.66,18700
2006-11-22,20.68,20.8,20.68,20.8,107300
2006-11-24,20.67,20.74,20.61,20.72,5600
2006-11-27,20.66,20.72,20.32,20.32,273200
2006-11-28,20.23,20.31,20.17,20.24,137100
2006-11-29,20.5,20.63,20.45,20.6,448800
2006-11-30,20.33,20.47,20.24,20.39,505100
2006-12-01,20.53,20.53,20.05,20.27,1589200
2006-12-04,20.39,20.76,20.39,20.73,356400
2006-12-05,20.74,20.9,20.69,20.79,493100
2006-12-06,20.78,20.84,20.71,20.71,506000
2006-12-07,20.86,20.89,20.7,20.7,160400
2006-12-08,20.67,20.74,20.62,20.65,128500
2006-12-11,20.63,20.73,20.63,20.71,281700
2006-12-12,20.73,20.73,20.43,20.52,635000
2006-12-13,20.68,20.7,20.52,20.6,177600
2006-12-14,20.73,20.93,20.73,20.89,125400
2006-12-15,21.0,21.02,20.78,20.79,356100
